scr_h1_adx_min,scr_m15_compression_atr_max,stop_atr_multiple,scr_take_profit_rr_cap,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
18.0,0.55,0.8,0.6,-18.414474385268967,-19.811268740931112,-19.826933616594843,0.3180013268686114,-2.5560104039525413,-1.1762055429448743,4.91830896908721,0.0,0.3277584089889491,100000.0,95441.51967898587,-4.558480321014125,5.120696288898978,-1.0568964044549143,0.4813305890817818,33,19,14,0,57.57575757575758,2.0625,0.5,-284.90502006338426,-138.135767303459,11.666666666666666,10.0,7,3
22.0,0.55,0.6,0.6,-19.240779493610063,-19.886681316914128,-19.74858317576832,0.26277811145158375,-1.037648797210533,-0.9609911800508698,1.5741708721799172,0.0,0.26054898214411654,100000.0,97935.2137182545,-2.064786281745501,2.456784910847723,-0.9400308838798012,0.3527483480226804,16,10,6,0,62.5,1.4545454545454546,0.5454545454545454,-187.70784379505002,-129.04914260909692,7.5,5.0,4,2
22.0,0.55,0.8,0.6,-22.070895083162764,-20.658530568476746,-22.80127602925175,0.340086394636851,-1.1391529932103572,-0.8003717668944711,2.1323989169367574,0.0,0.32081431134960764,100000.0,97732.91552184298,-2.267084478157022,2.8754472969978626,-0.811051535077782,0.4370170438901838,16,9,7,0,56.25,1.4545454545454546,0.5454545454545454,-206.09858892336922,-141.6927798848163,11.5625,10.0,5,2
22.0,0.55,0.6,0.8,-25.572859427013846,-24.46273312444427,-26.262517277605095,0.31988114439157145,-1.0182516924266916,-0.8566581600440476,1.6511228442923294,0.0,0.31122938597730276,100000.0,97973.53746405612,-2.026462535943885,2.6363231658574624,-0.8410323594705629,0.44830707264393627,16,8,8,0,50.0,1.4545454545454546,0.45454545454545453,-184.22386690399182,-126.65390849649438,10.0,5.0,2,2
18.0,0.55,0.6,0.6,-28.554090853889882,-30.425910517261613,-30.735138173394603,0.15278537152895108,-3.0622983720192787,-1.7218637325663892,4.342094762978866,0.0,0.16303913693430716,100000.0,94329.82862153531,-5.670171378464683,5.952114300773917,-1.5635822353159634,0.2930032465767808,33,18,15,0,54.54545454545454,2.0625,0.25,-354.3857111540427,-171.82337510499036,7.2727272727272725,5.0,3,4
22.0,0.55,0.8,0.8,-30.621143866107627,-33.42375776904013,-31.727595055398957,0.30027928960577305,-1.4292960117177012,-0.9094611568423782,2.1324152402853103,0.0,0.2812456849849892,100000.0,97161.56743038788,-2.838432569612126,3.7298553481104015,-0.8910241891652863,0.44037894806287137,16,7,9,0,43.75,1.4545454545454546,0.36363636363636365,-258.03932451019233,-177.40203560075724,13.4375,10.0,4,4
18.0,0.55,0.8,0.8,-33.66725966067242,-31.295522472095755,-36.53167158680283,0.24616752615895432,-3.1362829835008545,-1.3522563492269293,5.10488630166928,0.0,0.2547729596209625,100000.0,94373.4216540464,-5.626578345953604,6.4765465809613465,-1.1955952255051716,0.4599149960181642,33,15,18,0,45.45454545454545,2.0625,0.25,-351.6611466221003,-170.5023741198062,14.393939393939394,15.0,5,5
18.0,0.7,0.8,0.6,-34.70012356659561,-41.234379183954594,-39.34174665640052,0.1572931793597267,-5.8011353023922245,-2.1543085334189893,6.799270127712186,0.0,0.16058955303021288,100000.0,89216.07128998394,-10.783928710016056,10.860294984115828,-1.985763134631783,0.3159530697914483,45,20,25,0,44.44444444444444,2.3684210526315788,0.2631578947368421,-567.5751952640005,-239.64286022257798,12.444444444444445,10.0,6,5
18.0,0.55,0.6,0.8,-35.00609128687219,-31.94620169460531,-37.941081656385236,0.23455391860130675,-3.1355279350653023,-1.587357667293241,4.9858098723683515,0.0,0.24006648879304954,100000.0,94230.12752303305,-5.7698724769669525,6.5248555316200445,-1.4463316883912345,0.37758510845565313,33,15,18,0,45.45454545454545,2.0625,0.4375,-360.6170298104308,-174.84462051414823,9.242424242424242,10.0,3,4
18.0,0.85,0.8,0.6,-39.33951589585952,-53.64292759951941,-47.279743918972535,0.12883617274965817,-8.001259306004162,-2.532859244025151,10.567626515655327,0.0,0.11227988924880299,100000.0,84790.03727453282,-15.209962725467175,15.422546048240374,-2.4795770807904716,0.23514429295781264,51,21,30,0,41.17647058823529,2.55,0.3,-760.4981362733607,-298.23456324445516,11.176470588235293,10.0,5,6
