trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
632,2017-10-03T11:27:00+00:00,2017-10-03T11:43:08.649000,SHORT,BE_STOP,0.0,-0.0694,0.0694
633,2017-10-04T12:18:00+00:00,2017-10-04T14:00:02.057000,SHORT,TP,1.4,1.3673,0.0327
634,2017-10-05T17:51:00+00:00,2017-10-05T19:43:12.529000,LONG,BE_STOP,0.0,-0.0862,0.0862
635,2017-10-06T12:21:00+00:00,2017-10-06T20:59:59.195000,LONG,TIME_EXIT,0.3681,0.357,0.0111
636,2017-10-09T11:18:00+00:00,2017-10-09T13:33:58.094000,SHORT,TP,1.4,1.3286,0.0714
637,2017-10-10T11:42:00+00:00,2017-10-10T12:35:26.874000,LONG,BE_STOP,0.0,-0.0312,0.0312
638,2017-10-11T14:06:00+00:00,2017-10-11T14:45:41.749000,SHORT,TP,1.4,1.3242,0.0758
639,2017-10-12T13:51:00+00:00,2017-10-12T14:30:31.178000,SHORT,BE_STOP,0.0,-0.0435,0.0435
640,2017-10-13T14:09:00+00:00,2017-10-13T14:57:05.433000,SHORT,TP,1.4,1.3669,0.0331
641,2017-10-16T14:06:00+00:00,2017-10-16T15:01:59.088000,SHORT,BE_STOP,0.0,-0.0667,0.0667
642,2017-10-18T13:15:00+00:00,2017-10-18T14:44:44.679000,SHORT,SL,-1.0,-1.0316,0.0316
643,2017-10-19T14:00:00+00:00,2017-10-19T14:56:25.423000,LONG,BE_STOP,0.0,-0.051,0.051
644,2017-10-20T13:00:00+00:00,2017-10-20T13:00:58.991000,SHORT,BE_STOP,0.0,-0.2,0.2
645,2017-10-23T14:51:00+00:00,2017-10-23T15:47:09.764000,SHORT,BE_STOP,0.0,-0.0455,0.0455
646,2017-10-24T14:51:00+00:00,2017-10-24T15:07:57.644000,SHORT,BE_STOP,0.0,-0.0376,0.0376
647,2017-10-25T13:03:00+00:00,2017-10-25T13:37:12.512000,LONG,BE_STOP,0.0,-0.0379,0.0379
648,2017-10-26T13:30:00+00:00,2017-10-26T16:30:55.008000,SHORT,TP,1.4,1.3879,0.0121
649,2017-10-27T14:00:00+00:00,2017-10-27T14:17:24.334000,LONG,BE_STOP,0.0,-0.0152,0.0152
650,2017-10-31T15:03:00+00:00,2017-10-31T23:44:59.130000,SHORT,TIME_EXIT,-0.6351,-0.652,0.0169
