,open,high,low,close,volume
2015-12-31 20:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2015-12-31 21:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2015-12-31 22:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2015-12-31 23:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 00:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 01:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 02:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 03:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 04:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 05:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 06:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 07:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 08:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 09:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 10:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 11:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 12:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 13:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 14:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 15:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 16:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-01 17:00:00-05:00,120.23,120.23,120.23,120.23,0.0
2016-01-03 18:00:00-05:00,120.188,120.319,120.183,120.285,1766.4199895858765
2016-01-03 19:00:00-05:00,120.286,120.36,120.232,120.318,2787.849995613098
2016-01-03 20:00:00-05:00,120.315,120.39,120.269,120.375,4205.490009307861
2016-01-03 21:00:00-05:00,120.37,120.464,120.009,120.045,6674.789930343628
2016-01-03 22:00:00-05:00,120.027,120.027,119.646,119.819,8200.749980926514
2016-01-03 23:00:00-05:00,119.817,119.817,119.648,119.702,4410.600019454956
2016-01-04 00:00:00-05:00,119.685,119.731,119.472,119.56,5970.049989700317
2016-01-04 01:00:00-05:00,119.538,119.567,119.239,119.385,6373.790006637573
2016-01-04 02:00:00-05:00,119.379,119.462,119.307,119.423,4602.6499700546265
2016-01-04 03:00:00-05:00,119.423,119.423,118.906,119.017,8557.81997680664
2016-01-04 04:00:00-05:00,118.976,119.133,118.703,119.042,10999.34994506836
2016-01-04 05:00:00-05:00,119.012,119.07,118.867,118.903,6956.889991760254
2016-01-04 06:00:00-05:00,118.874,119.062,118.849,119.001,6303.259994506836
2016-01-04 07:00:00-05:00,118.999,118.999,118.717,118.833,6077.900001525879
2016-01-04 08:00:00-05:00,118.794,119.11,118.763,119.068,6152.240005493164
2016-01-04 09:00:00-05:00,119.067,119.341,119.041,119.299,7400.319957733154
2016-01-04 10:00:00-05:00,119.259,119.259,119.04,119.132,8464.939975738525
2016-01-04 11:00:00-05:00,119.079,119.337,119.006,119.315,10313.969955444336
2016-01-04 12:00:00-05:00,119.3,119.406,119.186,119.321,8248.419960021973
2016-01-04 13:00:00-05:00,119.311,119.424,119.281,119.415,5176.509971618652
2016-01-04 14:00:00-05:00,119.409,119.496,119.359,119.368,4702.759998321533
2016-01-04 15:00:00-05:00,119.361,119.404,119.291,119.321,4113.139976501465
2016-01-04 16:00:00-05:00,119.302,119.47,119.282,119.425,5170.41996383667
2016-01-04 17:00:00-05:00,119.425,119.466,119.377,119.453,1588.2099916934967
2016-01-04 18:00:00-05:00,119.437,119.437,119.31,119.323,3512.6499621868134
2016-01-04 19:00:00-05:00,119.311,119.47,119.286,119.47,2515.9000025987625
2016-01-04 20:00:00-05:00,119.475,119.513,119.183,119.241,5860.419973373413
2016-01-04 21:00:00-05:00,119.225,119.595,119.097,119.587,8221.770027160645
2016-01-04 22:00:00-05:00,119.582,119.636,119.478,119.628,4918.050003051758
2016-01-04 23:00:00-05:00,119.626,119.687,119.52,119.533,3792.350019454956
2016-01-05 00:00:00-05:00,119.523,119.557,119.408,119.549,4351.669996261597
2016-01-05 01:00:00-05:00,119.542,119.557,119.34,119.433,5779.099967956543
2016-01-05 02:00:00-05:00,119.42,119.475,119.302,119.459,5037.960006713867
2016-01-05 03:00:00-05:00,119.46,119.567,119.384,119.431,6432.449987411499
2016-01-05 04:00:00-05:00,119.426,119.426,119.161,119.178,9966.310028076172
2016-01-05 05:00:00-05:00,119.171,119.171,118.96,119.075,9306.5
2016-01-05 06:00:00-05:00,119.051,119.134,118.829,119.134,10153.290008544922
2016-01-05 07:00:00-05:00,119.116,119.165,118.899,118.955,6797.879962921143
2016-01-05 08:00:00-05:00,118.952,119.018,118.794,118.929,8258.350051879883
2016-01-05 09:00:00-05:00,118.921,119.147,118.865,119.147,9161.560047149658
2016-01-05 10:00:00-05:00,119.144,119.175,119.026,119.115,10249.949974060059
2016-01-05 11:00:00-05:00,119.113,119.265,118.947,119.165,11827.929962158203
2016-01-05 12:00:00-05:00,119.15,119.15,118.942,118.964,8909.669982910156
2016-01-05 13:00:00-05:00,118.956,118.99,118.839,118.99,5701.350017547607
2016-01-05 14:00:00-05:00,118.988,119.033,118.856,119.028,4965.879941940308
2016-01-05 15:00:00-05:00,119.025,119.047,118.96,118.983,3976.8300075531006
2016-01-05 16:00:00-05:00,118.983,119.068,118.942,119.039,4540.629989624023
2016-01-05 17:00:00-05:00,119.03,119.063,119.004,119.061,1568.2399891614914
2016-01-05 18:00:00-05:00,119.059,119.12,119.026,119.12,2734.170013666153
2016-01-05 19:00:00-05:00,119.118,119.154,119.088,119.126,3781.589991211891
2016-01-05 20:00:00-05:00,119.109,119.147,118.993,119.047,6187.979984283447
2016-01-05 21:00:00-05:00,119.044,119.131,118.356,118.604,12818.790050506592
2016-01-05 22:00:00-05:00,118.565,118.666,118.407,118.528,11022.92007446289
2016-01-05 23:00:00-05:00,118.491,118.659,118.383,118.659,7932.699981689453
2016-01-06 00:00:00-05:00,118.654,118.806,118.623,118.727,6220.589958190918
2016-01-06 01:00:00-05:00,118.721,118.78,118.608,118.763,5996.629997253418
2016-01-06 02:00:00-05:00,118.749,118.795,118.562,118.666,4986.360023498535
2016-01-06 03:00:00-05:00,118.658,118.767,118.603,118.747,6917.789970397949
2016-01-06 04:00:00-05:00,118.737,118.738,118.431,118.577,9998.949913024902
2016-01-06 05:00:00-05:00,118.555,118.608,118.408,118.486,8452.340003967285
2016-01-06 06:00:00-05:00,118.475,118.528,118.338,118.409,7127.969982147217
2016-01-06 07:00:00-05:00,118.409,118.417,118.251,118.417,9129.969982147217
2016-01-06 08:00:00-05:00,118.401,118.462,118.301,118.37,7390.239994049072
2016-01-06 09:00:00-05:00,118.368,118.718,118.318,118.718,11050.730018615723
2016-01-06 10:00:00-05:00,118.717,118.717,118.524,118.631,10873.31005859375
2016-01-06 11:00:00-05:00,118.56,118.762,118.556,118.659,10685.98999786377
2016-01-06 12:00:00-05:00,118.648,118.704,118.54,118.559,8387.209999084473
2016-01-06 13:00:00-05:00,118.543,118.629,118.512,118.615,4722.770004272461
2016-01-06 14:00:00-05:00,118.609,118.671,118.544,118.621,4925.940010070801
2016-01-06 15:00:00-05:00,118.614,118.641,118.353,118.391,11129.060005187988
2016-01-06 16:00:00-05:00,118.355,118.514,118.355,118.491,5714.369983673096
2016-01-06 17:00:00-05:00,118.476,118.498,118.438,118.49,2132.4200098514557
2016-01-06 18:00:00-05:00,118.463,118.484,118.457,118.476,1248.7699944972992
2016-01-06 19:00:00-05:00,118.475,118.645,118.472,118.622,3358.740001678467
2016-01-06 20:00:00-05:00,118.623,118.686,118.562,118.636,6617.509967803955
2016-01-06 21:00:00-05:00,118.631,118.748,117.66,117.96,15365.629936218262
2016-01-06 22:00:00-05:00,117.88,118.07,117.82,118.002,11173.780033111572
2016-01-06 23:00:00-05:00,117.985,118.23,117.944,118.23,7345.939987182617
2016-01-07 00:00:00-05:00,118.209,118.225,117.944,117.974,5417.899984359741
2016-01-07 01:00:00-05:00,117.974,118.063,117.954,118.009,4803.080007553101
2016-01-07 02:00:00-05:00,118.01,118.031,117.84,118.031,6461.899963378906
2016-01-07 03:00:00-05:00,118.026,118.188,117.889,118.032,10005.459991455078
2016-01-07 04:00:00-05:00,118.024,118.135,117.51,117.588,12920.779998779297
2016-01-07 05:00:00-05:00,117.572,117.588,117.328,117.553,13253.810081481934
2016-01-07 06:00:00-05:00,117.546,117.682,117.516,117.641,9796.060020446777
2016-01-07 07:00:00-05:00,117.625,117.661,117.467,117.553,8599.540042877197
2016-01-07 08:00:00-05:00,117.508,117.661,117.432,117.625,7293.220027923584
2016-01-07 09:00:00-05:00,117.608,117.834,117.523,117.834,9032.250045776367
2016-01-07 10:00:00-05:00,117.834,118.159,117.773,118.121,13772.559951782227
2016-01-07 11:00:00-05:00,118.079,118.248,117.827,118.133,13450.060028076172
2016-01-07 12:00:00-05:00,118.079,118.111,117.951,118.029,12289.239944458008
2016-01-07 13:00:00-05:00,118.013,118.03,117.884,117.976,7140.119983673096
2016-01-07 14:00:00-05:00,117.966,117.966,117.581,117.636,8733.900039672852
2016-01-07 15:00:00-05:00,117.627,117.667,117.449,117.483,8328.81997680664
2016-01-07 16:00:00-05:00,117.467,117.658,117.447,117.596,8031.740036010742
2016-01-07 17:00:00-05:00,117.562,117.668,117.528,117.668,2099.5100026130676
2016-01-07 18:00:00-05:00,117.665,117.665,117.585,117.627,2499.2499961853027
2016-01-07 19:00:00-05:00,117.6,117.663,117.501,117.539,3740.280019760132
2016-01-07 20:00:00-05:00,117.531,117.834,117.505,117.793,8917.899978637695
2016-01-07 21:00:00-05:00,117.777,118.518,117.489,118.272,18418.630001068115
2016-01-07 22:00:00-05:00,118.266,118.287,118.145,118.215,8092.570049285889
2016-01-07 23:00:00-05:00,118.208,118.347,118.202,118.257,5200.15998840332
2016-01-08 00:00:00-05:00,118.252,118.36,118.182,118.36,5121.359983444214
2016-01-08 01:00:00-05:00,118.342,118.409,118.215,118.314,6952.659996032715
2016-01-08 02:00:00-05:00,118.313,118.56,118.28,118.47,5104.650020599365
2016-01-08 03:00:00-05:00,118.46,118.526,118.222,118.255,7012.159965515137
2016-01-08 04:00:00-05:00,118.241,118.438,118.167,118.392,10075.580017089844
2016-01-08 05:00:00-05:00,118.375,118.381,118.242,118.306,6655.390029907227
2016-01-08 06:00:00-05:00,118.296,118.34,118.251,118.34,5680.409980773926
2016-01-08 07:00:00-05:00,118.331,118.34,118.2,118.257,6875.819984436035
2016-01-08 08:00:00-05:00,118.257,118.37,118.243,118.367,5479.329999923706
2016-01-08 09:00:00-05:00,118.361,118.748,118.199,118.279,14756.84994506836
2016-01-08 10:00:00-05:00,118.269,118.319,117.928,118.21,14720.870025634766
2016-01-08 11:00:00-05:00,118.188,118.188,117.683,117.745,14802.550048828125
2016-01-08 12:00:00-05:00,117.684,117.781,117.449,117.76,13652.54997253418
2016-01-08 13:00:00-05:00,117.755,117.946,117.717,117.817,8439.319969177246
2016-01-08 14:00:00-05:00,117.8,117.838,117.712,117.76,6655.630020141602
2016-01-08 15:00:00-05:00,117.761,117.825,117.624,117.674,6760.099990844727
2016-01-08 16:00:00-05:00,117.648,117.681,117.469,117.516,7076.26997756958
2016-01-08 17:00:00-05:00,117.496,117.586,117.222,117.244,3147.8100061416626
2016-01-10 18:00:00-05:00,117.222,117.222,116.695,116.809,4735.979977607727
2016-01-10 19:00:00-05:00,116.809,117.126,116.808,117.072,6026.8300132751465
2016-01-10 20:00:00-05:00,117.06,117.209,117.01,117.075,7587.060009002686
2016-01-10 21:00:00-05:00,117.059,117.366,116.971,117.237,12440.86001586914
2016-01-10 22:00:00-05:00,117.214,117.335,117.18,117.273,8484.650024414062
2016-01-10 23:00:00-05:00,117.256,117.431,117.166,117.372,7224.660022735596
2016-01-11 00:00:00-05:00,117.352,117.441,117.341,117.39,5631.539962768555
2016-01-11 01:00:00-05:00,117.386,117.392,117.224,117.321,6793.189994812012
2016-01-11 02:00:00-05:00,117.322,117.367,117.094,117.139,7614.650039672852
2016-01-11 03:00:00-05:00,117.133,117.372,117.129,117.322,9118.179996490479
2016-01-11 04:00:00-05:00,117.317,117.893,117.317,117.873,12758.279998779297
2016-01-11 05:00:00-05:00,117.863,117.863,117.685,117.856,7722.979991912842
2016-01-11 06:00:00-05:00,117.846,117.846,117.579,117.653,7421.82999420166
2016-01-11 07:00:00-05:00,117.613,117.738,117.532,117.678,7186.409980773926
2016-01-11 08:00:00-05:00,117.663,117.754,117.651,117.73,6459.779991149902
2016-01-11 09:00:00-05:00,117.727,117.995,117.691,117.916,10067.210021972656
2016-01-11 10:00:00-05:00,117.903,117.951,117.573,117.617,12325.920097351074
2016-01-11 11:00:00-05:00,117.614,117.708,117.312,117.389,13423.630020141602
2016-01-11 12:00:00-05:00,117.367,117.524,117.277,117.49,12925.649978637695
2016-01-11 13:00:00-05:00,117.48,117.48,117.257,117.377,9371.169967651367
2016-01-11 14:00:00-05:00,117.372,117.384,117.193,117.299,7080.400016784668
2016-01-11 15:00:00-05:00,117.289,117.548,117.276,117.5,8279.309951782227
2016-01-11 16:00:00-05:00,117.494,117.785,117.413,117.776,7049.16996383667
2016-01-11 17:00:00-05:00,117.748,117.768,117.683,117.764,2306.4499989748
2016-01-11 18:00:00-05:00,117.755,117.818,117.681,117.726,3673.389992237091
2016-01-11 19:00:00-05:00,117.703,117.714,117.594,117.686,3227.2900021076202
2016-01-11 20:00:00-05:00,117.682,117.847,117.532,117.832,8295.930042266846
2016-01-11 21:00:00-05:00,117.832,117.998,117.565,117.789,11531.799987792969
2016-01-11 22:00:00-05:00,117.793,117.793,117.481,117.591,7801.989978790283
2016-01-11 23:00:00-05:00,117.583,117.663,117.419,117.513,6337.810001373291
2016-01-12 00:00:00-05:00,117.509,117.558,117.446,117.498,5346.470010757446
2016-01-12 01:00:00-05:00,117.495,117.567,117.414,117.547,7156.440010070801
2016-01-12 02:00:00-05:00,117.534,117.534,117.227,117.338,6950.440010070801
2016-01-12 03:00:00-05:00,117.317,117.446,117.273,117.422,7554.870002746582
2016-01-12 04:00:00-05:00,117.399,117.535,117.252,117.488,10702.050003051758
2016-01-12 05:00:00-05:00,117.463,117.758,117.415,117.746,9950.069999694824
2016-01-12 06:00:00-05:00,117.732,117.843,117.67,117.826,8810.359954833984
2016-01-12 07:00:00-05:00,117.806,117.843,117.675,117.716,7929.1300048828125
2016-01-12 08:00:00-05:00,117.717,117.895,117.661,117.884,7139.710033416748
2016-01-12 09:00:00-05:00,117.883,117.977,117.742,117.784,9102.489967346191
2016-01-12 10:00:00-05:00,117.774,117.885,117.639,117.845,12230.219993591309
2016-01-12 11:00:00-05:00,117.824,118.071,117.715,117.983,14784.370010375977
2016-01-12 12:00:00-05:00,117.956,117.956,117.681,117.805,11963.240020751953
