pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason
AUDUSD,long,2025-01-02 11:55:00-05:00,2025-01-02 12:50:00-05:00,0.6204700000000001,0.6199191761854979,1468000,-808.6093596892612,-845.0271859020675,-1.126869150740178,36.41782621280622,stop_loss
USDCAD,long,2025-01-02 13:15:00-05:00,2025-01-02 14:30:00-05:00,1.441075,1.4401403841664382,1205000,-781.9505363212933,-830.1505363212933,-1.1159541502948727,48.2,stop_loss
GBPJPY,short,2025-01-02 12:40:00-05:00,2025-01-02 15:30:00-05:00,194.94750000000002,195.13320387749079,657000,-774.2031430185324,-806.7237232185324,-1.080478699364687,32.520580200000005,stop_loss
GBPUSD,short,2025-01-02 16:20:00-05:00,2025-01-02 16:45:00-05:00,1.23773,1.2381920920159493,1575000,-727.7949251200955,-805.7864710185979,-1.212082765031801,77.99154589850241,stop_loss
EURUSD,short,2025-01-02 17:05:00-05:00,2025-01-02 17:50:00-05:00,1.026308,1.0266595041290854,1884000,-662.2337791968107,-739.5895947523946,-1.2403107672003824,77.35581555558394,stop_loss
USDJPY,long,2025-01-02 18:05:00-05:00,2025-01-02 18:35:00-05:00,157.4875,157.5359964066526,1919000,590.7438482545059,513.9838482545059,1.4602202960508326,76.76,take_profit
GBPJPY,short,2025-01-03 11:40:00-05:00,2025-01-03 12:25:00-05:00,195.1545,194.93966594436952,925000,1265.9033090725152,1219.9518990725153,1.686357325365604,45.95141,take_profit
GBPUSD,short,2025-01-03 12:50:00-05:00,2025-01-03 14:20:00-05:00,1.242,1.2426562536718804,1189000,-780.285615865772,-839.3707415780893,-1.1455457860393787,59.08512571231732,stop_loss
USDCHF,long,2025-01-03 12:55:00-05:00,2025-01-03 14:35:00-05:00,0.909145,0.9086718035791422,1556000,-810.2179132605459,-872.4579132605459,-1.1905076228251974,62.24,stop_loss
EURUSD,short,2025-01-03 14:55:00-05:00,2025-01-03 15:10:00-05:00,1.02997,1.0303661251192706,1864000,-738.3772223203291,-815.1865530647756,-1.1944873999473768,76.80933074444641,stop_loss
USDCAD,long,2025-01-03 15:45:00-05:00,2025-01-03 16:15:00-05:00,1.444655,1.4442273993853671,1903000,-563.3724986820342,-639.4924986820342,-1.2688246863153836,76.12,stop_loss
