config_id,timestamp_utc,wick_to_body,level_val,atr_m15
cfg_r1_expansion_opt1,2025-01-03 15:27:00+00:00,4.7499999999930616,1.02847,0.00015
cfg_r1_expansion_opt1,2025-01-03 15:42:00+00:00,5.333333333343202,1.02847,0.00015
cfg_r1_expansion_opt1,2025-01-07 13:57:00+00:00,7.999999999944489,1.03909,0.00015
cfg_r1_expansion_opt1,2025-01-09 13:45:00+00:00,5.999999999994449,1.03125,0.00015
cfg_r1_expansion_opt1,2025-01-13 15:00:00+00:00,4.0,1.02074,0.00015
cfg_r1_expansion_opt1,2025-01-16 13:51:00+00:00,2.047619047621515,1.02809,0.00015
cfg_r1_expansion_opt1,2025-01-16 13:54:00+00:00,3.3333333333358004,1.02809,0.00015
cfg_r1_expansion_opt1,2025-01-16 14:00:00+00:00,4.0,1.02809,0.00015
cfg_r1_expansion_opt1,2025-01-17 13:48:00+00:00,2.750000000013878,1.02951,0.00015
cfg_r1_expansion_opt1,2025-01-21 15:21:00+00:00,5.199999999987566,1.03923,0.00015
cfg_r1_expansion_opt1,2025-01-22 15:36:00+00:00,3.4999999999988898,1.04196,0.00015
cfg_r1_expansion_opt1,2025-01-22 15:51:00+00:00,10.333333333343202,1.04196,0.00015
cfg_r1_expansion_opt1,2025-01-23 14:03:00+00:00,3.500000000006939,1.04121,0.00015
