pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
USDCAD,short,2022-01-17 16:10:00-05:00,2022-01-17 16:25:00-05:00,1.252085,1.2519007028545972,2000000,294.4349579472146,214.43495794721463,0.9522748436544141,80.0,take_profit,session_mean_reversion,,,0,0.0,0.0
USDCAD,short,2022-01-18 11:50:00-05:00,2022-01-18 12:05:00-05:00,1.2535749999999999,1.2541692259530346,2004000,-949.011252605223,-1029.1712526052231,-1.1723111522446164,80.16000000000001,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDCAD,short,2022-01-19 11:05:00-05:00,2022-01-19 11:15:00-05:00,1.250785,1.2514050590921373,1983000,-982.4827644491918,-1061.8027644491917,-1.164867121506451,79.32000000000001,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDCAD,long,2022-01-31 14:25:00-05:00,2022-01-31 15:15:00-05:00,1.269805,1.270875,1962000,1651.8270229438613,1573.3470229438612,2.350809042627165,78.48,news_flatten,session_mean_reversion,,,0,0.0,0.0
USDCAD,long,2022-02-14 13:25:00-05:00,2022-02-14 13:55:00-05:00,1.2726250000000001,1.2738871474657534,1993000,1974.0089769567746,1894.2889769567748,2.5455179123974965,79.72000000000001,take_profit,session_mean_reversion,,,0,0.0,0.0
USDCAD,long,2022-02-15 17:10:00-05:00,2022-02-15 18:15:00-05:00,1.2718275,1.2714733296119263,2031000,-565.7255667935231,-646.9655667935231,-1.310714973740776,81.24000000000001,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDCAD,short,2022-03-22 11:50:00-04:00,2022-03-22 11:55:00-04:00,1.260155,1.2606982103317903,2018000,-869.3226296634406,-950.0426296634406,-1.1910632483313863,80.72000000000001,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDCAD,short,2022-03-29 12:20:00-04:00,2022-03-29 12:30:00-04:00,1.2516349999999998,1.2521907871371603,1999000,-887.2603096843831,-967.2203096843831,-1.185893720709763,79.96000000000001,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDCAD,short,2022-03-31 17:05:00-04:00,2022-03-31 17:10:00-04:00,1.249645,1.2501004430623188,1980000,-721.1218240343829,-800.321824034383,-1.3276733675266355,79.2,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDCAD,short,2022-04-01 13:35:00-04:00,2022-04-01 14:35:00-04:00,1.252875,1.2513590816621492,1964000,2379.0892143699502,2300.52921436995,3.7044168558925095,78.56,take_profit,session_mean_reversion,,,0,0.0,0.0
