pair,year,trades,wins,losses,net_pnl_usd,profit_factor
USDCAD,2022,7,5,2,753.9942240374216,1.455388928869888
USDCAD,2023,4,3,1,-217.1748532960287,0.8062729171792938
USDCAD,2024,1,0,1,-558.1387781226525,0.0
