pair,year,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020,140,67,73,-16967.769395803945,0.4878441719221984
GBPUSD,2020,137,59,78,-21262.405463650728,0.4465876531346453
USDJPY,2020,141,65,76,-21644.786916720477,0.39025077980690376
