candidate_name,stage,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,win_rate_pct,trades_per_month,robustness_score,whitelist_weekdays,whitelist_times,whitelist_regimes,whitelist_extensions,whitelist_directions
base,design,99675.88394485741,-0.324116055142587,2.3408959099739337,-0.07365882898367264,0.8848020358234017,16,11,5,68.75,1.0666666666666667,1.0772016437408358,,,,,
base,oos,101159.7136861587,1.1597136861587032,0.5551189273248557,0.5395370747605722,3.053712225399705,6,5,1,83.33333333333334,1.0,8.670878524560605,,,,,
core_only,design,100392.45193528138,0.39245193528139044,1.4657279533320888,0.1227073471592389,1.2570284473136066,12,9,3,75.0,1.0,2.0363393770413416,,core,,,
core_only,oos,100877.15310108002,0.8771531010800304,0.5550322139502527,0.42740185498407485,2.5579273694095446,5,4,1,80.0,1.0,6.593195880208572,,core,,,
wed_thu_fri_core,design,100470.47795386497,0.47047795386496727,0.9748098722681656,0.1664514562922365,1.4658540882336104,8,6,2,75.0,1.0,2.3818306090277637,"wed_thu,fri",core,,,
wed_thu_fri_core,oos,100959.05986266251,0.9590598626625146,0.2932470422366721,0.7658745507507694,inf,3,3,0,100.0,1.0,17.775975924293224,"wed_thu,fri",core,,,
short_only,design,100210.63772422918,0.21063772422917904,0.7519177756514137,0.08100526530719027,1.2077202081365312,7,5,2,71.42857142857143,1.0,1.7808520472974918,,,,,short
short_only,oos,100606.78303968257,0.6067830396825791,0.25712940912788323,0.6210514004999008,inf,2,2,0,100.0,1.0,16.267049286912734,,,,,short
core_short_only,design,100478.38507170926,0.47838507170925304,0.49725819098671065,0.22106421611762914,1.9527410483044207,5,4,1,80.0,1.0,3.7547597260574306,,core,,,short
core_short_only,oos,100606.78303968257,0.6067830396825791,0.25712940912788323,0.6210514004999008,inf,2,2,0,100.0,1.0,16.267049286912734,,core,,,short
