family_id,scenario,PF,Total_R,WR,Avg_Trade_R
F06,BASELINE,2.200000000000028,6.000000000000139,0.5,0.6000000000000141
F06,FTMO_COST,1.4925130728057445,3.0450701857661056,0.5,0.30450701857661056
F06,SLIPPAGE_05,1.8681873398174054,4.768779244069292,0.5,0.4768779244069292
F06,SLIPPAGE_10,1.5910115490290355,3.5375584881384436,0.5,0.35375584881384436
F06,STRESS_COMBO,1.152637746043195,1.0751169762767487,0.4,0.10751169762767487
F08,BASELINE,1.0,0.0,0.33333333333333326,0.0
F08,FTMO_COST,0.5730175050765699,-1.9560118831342124,0.33333333333333326,-0.3260019805223687
F08,SLIPPAGE_05,0.8078764757779462,-0.8150049513059217,0.33333333333333326,-0.13583415855098693
F08,SLIPPAGE_10,0.6364973864366965,-1.6300099026118442,0.33333333333333326,-0.27166831710197403
F08,STRESS_COMBO,0.34384297687597287,-3.260019805223688,0.33333333333333326,-0.543336634203948
F12,BASELINE,0.7727532913566166,-2.64666666666662,0.33333333333333326,-0.1470370370370344
F12,FTMO_COST,0.6670564196797253,-4.181890258256861,0.33333333333333326,-0.2323272365698256
F12,SLIPPAGE_05,0.7267613046125391,-3.286343163162554,0.33333333333333326,-0.18257462017569742
F12,SLIPPAGE_10,0.6835915684635574,-3.926019659658487,0.33333333333333326,-0.2181122033143604
F12,STRESS_COMBO,0.6047398182018969,-5.205372652650356,0.33333333333333326,-0.28918736959168645
