pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
EURUSD,short,2020-01-02 18:40:00-05:00,2020-01-02 18:45:00-05:00,1.11704,1.11711,1790000,-125.30000000002595,-205.28257000002594,-1.2584869792519486,79.98257000000001,session_close,trend_pullback,,,0,0.0,0.0
EURUSD,short,2020-01-09 13:35:00-05:00,2020-01-09 13:45:00-05:00,1.11047,1.1107052763002383,1797000,-422.7915115280987,-502.6205509583292,-1.3625528394636846,79.82903943023058,stop_loss,trend_pullback,,,0,0.0,0.0
EURUSD,short,2020-01-10 12:45:00-05:00,2020-01-10 13:05:00-05:00,1.11217,1.1119978897668945,1785000,307.21676609348435,227.8139724288062,0.5051772920123188,79.40279366467814,take_profit,trend_pullback,,,0,0.0,0.0
EURUSD,short,2020-01-13 12:35:00-05:00,2020-01-13 12:40:00-05:00,1.11373,1.1135848715955452,1787000,259.34445876092127,179.74022525009647,0.4594667887763929,79.6042335108248,take_profit,trend_pullback,,,0,0.0,0.0
EURUSD,short,2020-01-16 16:35:00-05:00,2020-01-16 16:45:00-05:00,1.11361,1.113568086017493,1790000,75.02602868747488,-4.706946791951374,-0.029252494401943368,79.73297547942624,take_profit,trend_pullback,,,0,0.0,0.0
EURUSD,short,2020-01-20 12:50:00-05:00,2020-01-20 13:25:00-05:00,1.10837,1.1083069903948086,1798000,113.29127013423657,33.579565559639235,0.16063773495340286,79.71170457459733,take_profit,trend_pullback,,,0,0.0,0.0
EURUSD,short,2020-01-22 12:35:00-05:00,2020-01-22 14:05:00-05:00,1.1085,1.1087558086628648,1799000,-460.19978449375196,-539.9766484894418,-1.3292394331998714,79.77686399568988,stop_loss,trend_pullback,,,0,0.0,0.0
EURUSD,short,2020-01-23 16:45:00-05:00,2020-01-23 16:50:00-05:00,1.10558,1.1057067594177319,1794000,-227.40639541099438,-306.7473643389026,-1.7671163895796491,79.34096892790822,stop_loss,trend_pullback,,,0,0.0,0.0
EURUSD,short,2020-01-24 15:05:00-05:00,2020-01-24 15:15:00-05:00,1.10283,1.1029934208788614,1793000,-293.01363579858577,-372.11446367130173,-1.555508770816159,79.10082787271597,stop_loss,trend_pullback,,,0,0.0,0.0
EURUSD,short,2020-01-26 18:05:00-05:00,2020-01-26 18:10:00-05:00,1.10272,1.1029784456297558,1786000,-461.5838947439563,-540.3714432218512,-1.3244271689144096,78.78754847789489,stop_loss,trend_pullback,,,0,0.0,0.0
