event_id,event_name_normalized,currency,impact_level,timestamp_original,timezone_original,timestamp_utc,timestamp_ny,source_name,dedupe_key,validation_status
d81f7a205dc31969,ism manufacturing pmi,USD,HIGH,2020-01-03T18:30:00+03:30,UTC+03:30,2020-01-03T15:00:00+00:00,2020-01-03T10:00:00-05:00,forex_factory_fixed_schedule_validated,35dd00791f16bcca,approved_raw_schedule
fd8cf7e25db0abde,fomc meeting minutes,USD,HIGH,2020-01-03T22:30:00+03:30,UTC+03:30,2020-01-03T19:00:00+00:00,2020-01-03T14:00:00-05:00,forex_factory_fixed_schedule_validated,50908b42a36da374,approved_raw_schedule
62ca2b6a58ca2489,adp non-farm employment change,USD,HIGH,2020-01-08T16:45:00+03:30,UTC+03:30,2020-01-08T13:15:00+00:00,2020-01-08T08:15:00-05:00,forex_factory_fixed_schedule_validated,dc5c1fb0c5a30ddf,approved_raw_schedule
586ce8d9802fe499,core cpi m/m,USD,HIGH,2020-01-14T17:00:00+03:30,UTC+03:30,2020-01-14T13:30:00+00:00,2020-01-14T08:30:00-05:00,forex_factory_fixed_schedule_validated,842fa0e88a385dcf,approved_raw_schedule
f41b00d54cdd445b,main refinancing rate,EUR,HIGH,2020-01-23T16:15:00+03:30,UTC+03:30,2020-01-23T12:45:00+00:00,2020-01-23T07:45:00-05:00,forex_factory_fixed_schedule_validated,1988588fa45b8dcb,approved_raw_schedule
e545d23bf49ea0f5,ecb press conference,EUR,HIGH,2020-01-23T17:00:00+03:30,UTC+03:30,2020-01-23T13:45:00+00:00,2020-01-23T08:45:00-05:00,forex_factory_fixed_schedule_validated,3745f89c8982c2c0,approved_fixed_anchor_correction
45db2f49dfd1c270,federal funds rate,USD,HIGH,2020-01-29T22:30:00+03:30,UTC+03:30,2020-01-29T19:00:00+00:00,2020-01-29T14:00:00-05:00,forex_factory_fixed_schedule_validated,aca275a12f850309,approved_raw_schedule
34a2983112115b71,fomc press conference,USD,HIGH,2020-01-29T23:00:00+03:30,UTC+03:30,2020-01-29T19:30:00+00:00,2020-01-29T14:30:00-05:00,forex_factory_fixed_schedule_validated,4c50a51596801290,approved_raw_schedule
0f8e2326a77dd03d,advance gdp q/q,USD,HIGH,2020-01-30T17:00:00+03:30,UTC+03:30,2020-01-30T13:30:00+00:00,2020-01-30T08:30:00-05:00,forex_factory_fixed_schedule_validated,12b6283cf93eece7,approved_raw_schedule
553f99348f80a042,ism manufacturing pmi,USD,HIGH,2020-02-03T18:30:00+03:30,UTC+03:30,2020-02-03T15:00:00+00:00,2020-02-03T10:00:00-05:00,forex_factory_fixed_schedule_validated,9a7af7b6aba47089,approved_raw_schedule
8d12a5990ea76424,adp non-farm employment change,USD,HIGH,2020-02-05T16:45:00+03:30,UTC+03:30,2020-02-05T13:15:00+00:00,2020-02-05T08:15:00-05:00,forex_factory_fixed_schedule_validated,8ba7e76cd35a2982,approved_raw_schedule
fd749d09dee633a2,ism services pmi,USD,HIGH,2020-02-05T18:30:00+03:30,UTC+03:30,2020-02-05T15:00:00+00:00,2020-02-05T10:00:00-05:00,forex_factory_fixed_schedule_validated,38576032cd21ae53,approved_raw_schedule
d1a9ed31422aff9f,core cpi m/m,USD,HIGH,2020-02-13T17:00:00+03:30,UTC+03:30,2020-02-13T13:30:00+00:00,2020-02-13T08:30:00-05:00,forex_factory_fixed_schedule_validated,85780f0879ce6523,approved_raw_schedule
9acc2fa3e18dad32,core retail sales m/m,USD,HIGH,2020-02-14T17:00:00+03:30,UTC+03:30,2020-02-14T13:30:00+00:00,2020-02-14T08:30:00-05:00,forex_factory_fixed_schedule_validated,dcaf076f7e5ed87a,approved_raw_schedule
5b8f27179165c06e,fomc meeting minutes,USD,HIGH,2020-02-19T22:30:00+03:30,UTC+03:30,2020-02-19T19:00:00+00:00,2020-02-19T14:00:00-05:00,forex_factory_fixed_schedule_validated,03e4621da05fb8ff,approved_raw_schedule
e25e3051adeeac6f,fed announcement,USD,HIGH,2020-02-28T23:00:00+03:30,UTC+03:30,2020-02-28T19:00:00+00:00,2020-02-28T14:00:00-05:00,forex_factory_fixed_schedule_validated,84ee15a2122cf290,approved_fixed_anchor_correction
2e9d67e0df32902c,ism manufacturing pmi,USD,HIGH,2020-03-02T18:30:00+03:30,UTC+03:30,2020-03-02T15:00:00+00:00,2020-03-02T10:00:00-05:00,forex_factory_fixed_schedule_validated,aad35d482d40ab29,approved_raw_schedule
918dae9fb16c1ec1,federal funds rate,USD,HIGH,2020-03-03T18:30:00+03:30,UTC+03:30,2020-03-03T19:00:00+00:00,2020-03-03T14:00:00-05:00,forex_factory_fixed_schedule_validated,99b0c45bebf094ac,approved_fixed_anchor_correction
88abe4190b473bc8,fomc press conference,USD,HIGH,2020-03-03T19:30:00+03:30,UTC+03:30,2020-03-03T19:30:00+00:00,2020-03-03T14:30:00-05:00,forex_factory_fixed_schedule_validated,8cf0cf66f93092cf,approved_fixed_anchor_correction
c0e3b040ef796e45,adp non-farm employment change,USD,HIGH,2020-03-04T16:45:00+03:30,UTC+03:30,2020-03-04T13:15:00+00:00,2020-03-04T08:15:00-05:00,forex_factory_fixed_schedule_validated,a2e77f735a0bc4a5,approved_raw_schedule
d81a22453ca169e5,main refinancing rate,EUR,HIGH,2020-03-12T16:15:00+03:30,UTC+03:30,2020-03-12T11:45:00+00:00,2020-03-12T07:45:00-04:00,forex_factory_fixed_schedule_validated,ed626b02559d0ad7,approved_fixed_anchor_correction
ed900f9a937ee11a,ecb press conference,EUR,HIGH,2020-03-12T17:00:00+03:30,UTC+03:30,2020-03-12T12:45:00+00:00,2020-03-12T08:45:00-04:00,forex_factory_fixed_schedule_validated,e11ec9aea7957211,approved_fixed_anchor_correction
d34e01ab42e9e31d,fed announcement,USD,HIGH,2020-03-17T18:15:00+03:30,UTC+03:30,2020-03-17T18:00:00+00:00,2020-03-17T14:00:00-04:00,forex_factory_fixed_schedule_validated,36f0f8db9a3a4e20,approved_fixed_anchor_correction
0895bdebbb2971c8,fed announcement,USD,HIGH,2020-03-20T17:30:00+03:30,UTC+03:30,2020-03-20T18:00:00+00:00,2020-03-20T14:00:00-04:00,forex_factory_fixed_schedule_validated,675a19078dc3ba65,approved_fixed_anchor_correction
6878c84c2b8b38c7,fed announcement,USD,HIGH,2020-03-23T16:30:00+04:30,UTC+04:30,2020-03-23T18:00:00+00:00,2020-03-23T14:00:00-04:00,forex_factory_fixed_schedule_validated,977b299ebc41b455,approved_fixed_anchor_correction
b7924f73aadc69f0,unemployment claims,USD,HIGH,2020-03-26T17:00:00+04:30,UTC+04:30,2020-03-26T12:30:00+00:00,2020-03-26T08:30:00-04:00,forex_factory_fixed_schedule_validated,720f02521cec194c,approved_raw_schedule
