file,exists,size_mb,last_modified,sha256,status,notes
news_eurusd_am_fortress_v3.csv,YES,0.10,2026-05-13,4F047DDA813D00E3882D3C6307060626A405C27B94F32BED29D99C432710BE67,OK,Restored file
NEWS_RESTORE_MANIFEST.json,YES,0.0006,2026-05-14,58DB78DEF82ED67D4E6717F7DFB3382ADE1DF153D2D1D3933884368D17507253,OK,Governance manifest
