pair,year,trades,wins,losses,net_pnl_usd,profit_factor
USDCAD,2022,2,1,1,460.0581405405379,6.285327077074478
USDCAD,2023,3,2,1,-495.7569467347838,0.5577685647236668
USDCAD,2024,2,0,2,-1513.4609797102032,0.0
