pair,entry_time_ny,exit_time_ny,direction,entry_side,signal_time_ny,fill_time_ny,signal_price,fill_price,entry_price,exit_price,exit_signal_price,exit_fill_price,sl,tp,spread_applied,slippage_applied,commission_applied,entry_spread_pips,exit_spread_pips,entry_slippage_pips,exit_slippage_pips,entry_commission_usd,exit_commission_usd,price_source_used,data_source_used,pnl_r,pnl_usd,result,exit_reason,forced_close_flag,intrabar_ambiguity_flag,execution_mode_used,intrabar_policy_used,cost_profile_used,entry_cost_regime,exit_cost_regime,blocked_by_news,blocking_event_name,blocking_event_time_ny,blocking_rule_used,gap_exit_flag,gap_exit_type,date,signal_time,source_kind,source_level_name,sweep_time_ny,extreme_time_ny
EURUSD,2020-01-08 07:00:00,2020-01-08 07:45:00,long,buy,2020-01-08 07:00:00,2020-01-08 07:00:00,1.1127250000000002,1.112891,1.112891,1.111854375,1.1118750000000002,1.111854375,1.1118750000000002,1.1144466249999998,0.5999999999994898,0.31625000000000003,33.98883224084078,0.3999999999981796,0.20000000000131024,0.11000000000000001,0.20625000000000004,16.99441612042039,16.99441612042039,bid_ask_real,dukascopy_m1_bid_ask_full,-1.0406652100026128,-520.3326050013064,loss,stop_loss,False,False,high_precision_mode,standard,precision,precision|opening|normal_vol|entry,precision|opening|high_vol|stop_loss,False,,,,False,no_gap,2020-01-08,2020-01-08 07:00:00-05:00,london,london_low,2020-01-08 07:00:00-05:00,2020-01-08 06:21:00-05:00
EURUSD,2020-01-13 18:00:00,2020-01-13 19:00:00,short,sell,2020-01-13 18:00:00,2020-01-13 18:00:00,1.1136,1.11356,1.11356,1.113503,1.11347,1.113503,1.11406,1.1127525000000003,0.7999999999985796,0.53,66.30844865259982,0.5999999999994898,0.1999999999990898,0.2,0.33000000000000007,33.15422432629991,33.15422432629991,bid_ask_real,dukascopy_m1_bid_ask_full,0.04190476190514386,20.839798148145398,win,forced_session_close,True,False,high_precision_mode,standard,precision,precision|late|normal_vol|entry,precision|late|high_vol|forced_session_close,False,,,,False,no_gap,2020-01-13,2020-01-13 18:00:00-05:00,london,london_high,2020-01-13 18:00:00-05:00,2020-01-13 17:12:00-05:00
EURUSD,2020-02-03 07:00:00,2020-02-03 09:14:00,long,buy,2020-02-03 07:00:00,2020-02-03 07:00:00,1.10616,1.1062065,1.1062065,1.105719375,1.1057400000000002,1.105719375,1.1057400000000002,1.1069536875000003,0.3999999999981796,0.3712500000000001,71.45522297858395,0.09999999999843467,0.2999999999997449,0.16500000000000004,0.20625000000000004,35.727611489291974,35.727611489291974,bid_ask_real,dukascopy_m1_bid_ask_full,-1.0718501411342012,-532.9794042527926,loss,stop_loss,False,False,high_precision_mode,standard,precision,precision|opening|high_vol|entry,precision|opening|high_vol|stop_loss,False,,,,False,no_gap,2020-02-03,2020-02-03 07:00:00-05:00,london,london_low,2020-02-03 07:00:00-05:00,2020-02-03 06:57:00-05:00
EURUSD,2020-02-07 12:00:00,2020-02-07 12:50:00,long,buy,2020-02-07 12:00:00,2020-02-07 12:00:00,1.09492,1.0949859999999998,1.0949859999999998,1.0945112500000003,1.0945250000000002,1.0945112500000003,1.0945250000000002,1.095709124999999,0.5000000000010552,0.24750000000000003,72.89853193885202,0.10000000000065512,0.40000000000040004,0.11000000000000001,0.1375,36.44926596942601,36.44926596942601,bid_ask_real,dukascopy_m1_bid_ask_full,-1.0737230121117116,-530.8575236542162,loss,stop_loss,False,False,high_precision_mode,standard,precision,precision|opening|normal_vol|entry,precision|opening|normal_vol|stop_loss,False,,,,False,no_gap,2020-02-07,2020-02-07 12:00:00-05:00,london,london_low,2020-02-07 12:00:00-05:00,2020-02-07 11:30:00-05:00
EURUSD,2020-02-25 10:00:00,2020-02-25 10:24:00,long,buy,2020-02-25 10:00:00,2020-02-25 10:00:00,1.08362,1.0837709999999998,1.0837709999999998,1.084792624999999,1.0848091249999992,1.084792624999999,1.0831000000000002,1.0848091249999992,0.40000000000040004,0.275,50.25194693185654,0.20000000000131024,0.1999999999990898,0.11000000000000001,0.16500000000000004,25.12597346592827,25.12597346592827,bid_ask_real,dukascopy_m1_bid_ask_full,1.4408543263963078,708.2832448800744,win,take_profit,False,False,high_precision_mode,standard,precision,precision|opening|normal_vol|entry,precision|opening|high_vol|take_profit,False,,,,False,no_gap,2020-02-25,2020-02-25 10:00:00-05:00,london,london_low,2020-02-25 10:00:00-05:00,2020-02-25 09:57:00-05:00
EURUSD,2020-02-26 09:00:00,2020-02-26 09:34:00,long,buy,2020-02-26 09:00:00,2020-02-26 09:00:00,1.08663,1.086946,1.086946,1.0855162500000002,1.08553,1.0855162500000002,1.08553,1.0891016249999996,0.700000000000145,0.24750000000000003,24.23439461903633,0.40000000000040004,0.2999999999997449,0.11000000000000001,0.1375,12.117197309518165,12.117197309518165,bid_ask_real,dukascopy_m1_bid_ask_full,-1.0244798041615704,-507.10470740326093,loss,stop_loss,False,False,high_precision_mode,standard,precision,precision|opening|normal_vol|entry,precision|opening|normal_vol|stop_loss,False,,,,False,no_gap,2020-02-26,2020-02-26 09:00:00-05:00,asia,asia_low,2020-02-26 09:00:00-05:00,2020-02-26 08:48:00-05:00
EURUSD,2020-03-10 12:00:00,2020-03-10 12:15:00,long,buy,2020-03-10 12:00:00,2020-03-10 12:00:00,1.134665,1.1348665,1.1348665,1.133589375,1.13361,1.133589375,1.13361,1.1367986875000002,0.8000000000008001,0.3712500000000001,26.988272909785493,0.40000000000040004,0.40000000000040004,0.16500000000000004,0.20625000000000004,13.494136454892747,13.494136454892747,bid_ask_real,dukascopy_m1_bid_ask_full,-1.0274053048840146,-505.88553702507164,loss,stop_loss,False,False,high_precision_mode,standard,precision,precision|opening|high_vol|entry,precision|opening|high_vol|stop_loss,False,,,,False,no_gap,2020-03-10,2020-03-10 12:00:00-04:00,london,london_low,2020-03-10 12:00:00-04:00,2020-03-10 12:00:00-04:00
EURUSD,2020-03-19 10:00:00,2020-03-19 10:17:00,long,buy,2020-03-19 10:00:00,2020-03-19 10:00:00,1.0804,1.080491,1.080491,1.0781962500000002,1.0782100000000001,1.0781962500000002,1.0782100000000001,1.083944125,0.9999999999998899,0.24750000000000003,14.940893410696598,0.40000000000040004,0.5999999999994898,0.11000000000000001,0.1375,7.470446705348299,7.470446705348299,bid_ask_real,dukascopy_m1_bid_ask_full,-1.015252206122672,-497.26494890812745,loss,stop_loss,False,False,high_precision_mode,standard,precision,precision|opening|normal_vol|entry,precision|opening|normal_vol|stop_loss,False,,,,False,no_gap,2020-03-19,2020-03-19 10:00:00-04:00,prev_day,prev_day_low,2020-03-19 10:00:00-04:00,2020-03-19 09:09:00-04:00
EURUSD,2020-03-20 11:00:00,2020-03-20 11:52:00,long,buy,2020-03-20 11:00:00,2020-03-20 11:00:00,1.072085,1.0724015,1.0724015,1.070424375,1.070445,1.070424375,1.070445,1.0753836875,0.5999999999972694,0.3712500000000001,17.251796303081196,0.09999999999843467,0.4999999999988347,0.16500000000000004,0.20625000000000004,8.625898151540598,8.625898151540598,bid_ask_real,dukascopy_m1_bid_ask_full,-1.0177024720237717,-495.89672337625234,loss,stop_loss,False,False,high_precision_mode,standard,precision,precision|opening|high_vol|entry,precision|opening|high_vol|stop_loss,False,,,,False,no_gap,2020-03-20,2020-03-20 11:00:00-04:00,london,london_low,2020-03-20 11:00:00-04:00,2020-03-20 10:03:00-04:00
EURUSD,2020-03-27 02:00:00,2020-03-27 02:31:00,short,sell,2020-03-27 02:00:00,2020-03-27 02:00:00,1.10723,1.1068034999999998,1.1068034999999998,1.1056903124999993,1.1056738124999992,1.1056903124999993,1.107525,1.1056738124999992,1.4999999999987246,0.33000000000000007,45.72326070160436,0.7999999999985796,0.700000000000145,0.16500000000000004,0.16500000000000004,22.86163035080218,22.86163035080218,bid_ask_real,dukascopy_m1_bid_ask_full,1.4528381337376015,704.2606878248071,win,take_profit,False,False,high_precision_mode,standard,precision,precision|opening|high_vol|entry,precision|opening|high_vol|take_profit,False,,,,False,no_gap,2020-03-27,2020-03-27 02:00:00-04:00,prev_day,prev_day_high,2020-03-27 02:00:00-04:00,2020-03-27 02:00:00-04:00
