pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,long,2022-01-07 11:50:00-05:00,2022-01-07 12:00:00-05:00,115.6605,115.61370643838134,2000000,-809.4931602023416,-889.4931602023416,-1.1881225127155586,80.0,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDJPY,short,2022-01-24 16:45:00-05:00,2022-01-24 18:10:00-05:00,113.9675,113.99484674331555,1982000,-475.37862995355965,-554.6586299535596,-1.337503808543544,79.28,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDJPY,long,2022-02-15 13:35:00-05:00,2022-02-15 14:10:00-05:00,115.63850000000001,115.61434847015845,1971000,-411.7200920066431,-490.5600920066431,-1.3936265823536609,78.84,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDJPY,long,2022-04-22 16:35:00-04:00,2022-04-22 17:00:00-04:00,128.5215,128.48532935180998,1961000,-551.8691732590154,-630.3091732590154,-1.3381383039701018,78.44000000000001,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDJPY,long,2022-04-25 12:20:00-04:00,2022-04-25 14:15:00-04:00,127.6315,127.88287493119672,1796000,3530.1934225987757,3458.3534225987755,3.4594364626018432,71.84,take_profit,session_mean_reversion,,,0,0.0,0.0
USDJPY,long,2022-05-08 17:35:00-04:00,2022-05-08 17:40:00-04:00,130.48625,130.51340386861327,2017000,419.49887018845243,338.81887018845237,0.8518212113149563,80.68,take_profit,session_mean_reversion,,,0,0.0,0.0
USDJPY,short,2022-05-23 12:15:00-04:00,2022-05-23 12:25:00-04:00,127.8215,127.87121934779543,2024000,-786.5681809779169,-867.5281809779169,-1.1853911328357938,80.96000000000001,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDJPY,short,2022-05-26 13:05:00-04:00,2022-05-26 13:30:00-04:00,127.2915,127.2410948614093,2007000,795.0324820938071,714.7524820938071,1.260877442680277,80.28,take_profit,session_mean_reversion,,,0,0.0,0.0
USDJPY,short,2022-05-27 12:15:00-04:00,2022-05-27 13:15:00-04:00,127.1125,127.1612698979533,2021000,-775.1176766564354,-855.9576766564353,-1.1895309557032647,80.84,stop_loss,session_mean_reversion,,,0,0.0,0.0
USDJPY,long,2022-06-22 18:40:00-04:00,2022-06-22 18:45:00-04:00,136.0965,136.0865,2004000,-147.255492688528,-227.41549268852802,-0.39076038320523004,80.16000000000001,session_close,session_mean_reversion,,,0,0.0,0.0
