timestamp,currency,importance,event,country,source,hard_event,event_tier
2022-01-31 15:30:00-05:00,USD,3,JOLTS Job Openings,,csv,False,standard
2022-01-31 15:30:00-05:00,EUR,1,Italian Monthly Unemployment Rate,,csv,True,hard
2022-02-01 02:00:00-05:00,EUR,1,German Retail Sales m/m,,csv,True,hard
2022-02-01 02:45:00-05:00,EUR,1,French Prelim CPI m/m,,csv,True,hard
2022-02-01 03:15:00-05:00,EUR,1,Spanish Manufacturing PMI,,csv,True,hard
2022-02-01 03:45:00-05:00,EUR,1,Italian Manufacturing PMI,,csv,True,hard
2022-02-01 03:50:00-05:00,EUR,1,French Final Manufacturing PMI,,csv,True,hard
2022-02-01 03:55:00-05:00,EUR,1,German Final Manufacturing PMI,,csv,True,hard
2022-02-01 04:00:00-05:00,EUR,1,Final Manufacturing PMI,,csv,True,hard
2022-02-01 05:00:00-05:00,EUR,1,Unemployment Rate,,csv,True,hard
2022-02-01 09:45:00-05:00,USD,1,Final Manufacturing PMI,,csv,True,hard
2022-02-01 10:00:00-05:00,USD,3,ISM Manufacturing PMI,,csv,True,hard
2022-02-01 15:30:00-05:00,EUR,1,CPI Flash Estimate y/y,,csv,True,hard
2022-02-01 15:30:00-05:00,EUR,1,Italian Prelim CPI m/m,,csv,True,hard
2022-02-02 03:00:00-05:00,EUR,2,Spanish Unemployment Change,,csv,True,hard
2022-02-02 05:00:00-05:00,EUR,1,Core CPI Flash Estimate y/y,,csv,True,hard
2022-02-02 08:15:00-05:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2022-02-02 15:30:00-05:00,EUR,3,Monetary Policy Statement,,csv,True,hard
2022-02-03 03:15:00-05:00,EUR,1,Spanish Services PMI,,csv,True,hard
2022-02-03 03:45:00-05:00,EUR,1,Italian Services PMI,,csv,True,hard
2022-02-03 03:50:00-05:00,EUR,1,French Final Services PMI,,csv,True,hard
2022-02-03 03:55:00-05:00,EUR,1,German Final Services PMI,,csv,True,hard
2022-02-03 04:00:00-05:00,EUR,1,Final Services PMI,,csv,True,hard
2022-02-03 07:45:00-05:00,EUR,3,Main Refinancing Rate,,csv,False,standard
2022-02-03 08:30:00-05:00,EUR,3,ECB Press Conference,,csv,False,standard
2022-02-03 09:45:00-05:00,USD,1,Final Services PMI,,csv,True,hard
2022-02-03 10:00:00-05:00,USD,3,ISM Services PMI,,csv,True,hard
2022-02-03 15:30:00-05:00,USD,3,Unemployment Rate,,csv,True,hard
2022-02-03 15:30:00-05:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2022-02-03 15:30:00-05:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2022-02-04 05:00:00-05:00,EUR,1,Retail Sales m/m,,csv,True,hard
2022-02-08 04:00:00-05:00,EUR,1,Italian Retail Sales m/m,,csv,True,hard
2022-02-08 15:30:00-05:00,USD,2,FOMC Member Mester Speaks,,csv,True,hard
2022-02-08 15:30:00-05:00,USD,1,FOMC Member Bowman Speaks,,csv,True,hard
2022-02-09 15:30:00-05:00,USD,3,CPI y/y,,csv,True,hard
2022-02-09 15:30:00-05:00,USD,3,CPI m/m,,csv,True,hard
2022-02-10 08:30:00-05:00,USD,3,Core CPI m/m,,csv,True,hard
2022-02-11 02:00:00-05:00,EUR,1,German Final CPI m/m,,csv,True,hard
2022-02-14 08:30:00-05:00,USD,3,FOMC Member Bullard Speaks,,csv,True,hard
2022-02-14 15:30:00-05:00,EUR,1,Flash GDP q/q,,csv,True,hard
2022-02-14 15:30:00-05:00,EUR,1,Flash Employment Change q/q,,csv,True,hard
2022-02-15 08:30:00-05:00,USD,3,PPI m/m,,csv,False,standard
2022-02-15 15:30:00-05:00,USD,3,Core Retail Sales m/m,,csv,True,hard
2022-02-15 15:30:00-05:00,USD,3,Retail Sales m/m,,csv,True,hard
2022-02-16 14:00:00-05:00,USD,3,FOMC Meeting Minutes,,csv,True,hard
2022-02-17 11:00:00-05:00,USD,2,FOMC Member Bullard Speaks,,csv,True,hard
2022-02-17 17:00:00-05:00,USD,2,FOMC Member Mester Speaks,,csv,True,hard
2022-02-18 02:45:00-05:00,EUR,1,French Final CPI m/m,,csv,True,hard
2022-02-18 10:45:00-05:00,USD,2,FOMC Member Waller Speaks,,csv,True,hard
2022-02-18 11:00:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2022-02-18 13:30:00-05:00,USD,2,FOMC Member Brainard Speaks,,csv,True,hard
2022-02-20 15:30:00-05:00,EUR,1,Flash Services PMI,,csv,True,hard
2022-02-20 15:30:00-05:00,EUR,3,German Flash Services PMI,,csv,True,hard
2022-02-20 15:30:00-05:00,EUR,1,French Flash Manufacturing PMI,,csv,True,hard
2022-02-21 03:15:00-05:00,EUR,2,French Flash Services PMI,,csv,True,hard
2022-02-21 03:30:00-05:00,EUR,3,German Flash Manufacturing PMI,,csv,True,hard
2022-02-21 04:00:00-05:00,EUR,1,Flash Manufacturing PMI,,csv,True,hard
2022-02-21 11:15:00-05:00,USD,1,FOMC Member Bowman Speaks,,csv,True,hard
2022-02-21 15:30:00-05:00,USD,2,Flash Services PMI,,csv,True,hard
2022-02-22 09:45:00-05:00,USD,2,Flash Manufacturing PMI,,csv,True,hard
2022-02-22 15:30:00-05:00,EUR,1,Final CPI y/y,,csv,True,hard
2022-02-23 05:00:00-05:00,EUR,1,Final Core CPI y/y,,csv,True,hard
