pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag
EURUSD,short,2022-01-04 11:05:00-05:00,2022-01-04 11:05:00-05:00,1.13089,1.1312592543843139,2708160,-999.9999534235302,-1122.5251959185987,-1.1225251959185987,122.52524249506847,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-01-04 14:20:00-05:00,2022-01-04 14:20:00-05:00,1.12851,1.1286804061652806,4694665,799.9998599277304,588.0648039645318,0.5880648039645319,211.93505596319855,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2022-01-11 14:30:00-05:00,2022-01-11 14:30:00-05:00,1.13682,1.1366453525373459,4580656,799.9999476910682,591.720693533222,0.591720693533222,208.2792541578462,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2022-01-12 15:10:00-05:00,2022-01-12 15:30:00-05:00,1.1446,1.1447961816765257,5097316,-999.9999986612052,-1233.3955144051783,-1.2333955144051783,233.39551574397325,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-01-20 16:15:00-05:00,2022-01-20 16:15:00-05:00,1.13073,1.130873395266316,5578984,799.9998964521694,547.6509133214404,0.5476509133214403,252.34898313072907,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2022-01-26 12:45:00-05:00,2022-01-26 12:45:00-05:00,1.12835,1.1285554199831098,4868075,-999.9998842775111,-1219.7355813251966,-1.2197355813251967,219.73569704768556,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-01-27 13:10:00-05:00,2022-01-27 13:10:00-05:00,1.11432,1.1140240849080765,3379347,-999.9997781464184,-1150.6067361124556,-1.1506067361124557,150.60695796603707,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-01-27 17:45:00-05:00,2022-01-27 18:00:00-05:00,1.11429,1.1143834783894713,8558127,799.9999288505808,418.53451545880375,0.41853451545880377,381.465413391777,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-02-01 12:15:00-05:00,2022-02-01 12:20:00-05:00,1.12416,1.1244439490686433,2817406,799.9998096899419,673.2952045353481,0.6732952045353482,126.70460515459382,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2022-02-03 11:50:00-05:00,2022-02-03 12:05:00-05:00,1.14265,1.1421489606217166,1596680,799.999554517516,727.0376984286063,0.7270376984286063,72.96185608890966,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2022-02-06 18:00:00-05:00,2022-02-06 18:10:00-05:00,1.14565,1.1455066215353995,5579638,799.999929466895,544.3234384774843,0.5443234384774843,255.6764909894107,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-02-08 13:50:00-05:00,2022-02-08 13:55:00-05:00,1.14158,1.1417871737751235,3861492,799.9998752490798,623.6557937571747,0.6236557937571747,176.344081491905,take_profit,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-02-10 16:45:00-05:00,2022-02-10 16:45:00-05:00,1.14276,1.1423974240647543,2758042,-999.9996575968942,-1126.0508606405422,-1.1260508606405422,126.05120304364809,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-02-14 14:35:00-05:00,2022-02-14 14:35:00-05:00,1.12879,1.1284012574454654,2572396,-999.9997923145417,-1116.1275875522954,-1.1161275875522954,116.1277952377537,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-02-14 14:45:00-05:00,2022-02-14 14:45:00-05:00,1.1297,1.1292662678994063,2305570,-999.9997191656071,-1104.1638163312239,-1.104163816331224,104.1640971656167,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,short,2022-02-16 14:45:00-05:00,2022-02-16 14:55:00-05:00,1.13854,1.1388223345523523,3541897,-999.9999039724556,-1161.3235603857352,-1.1613235603857353,161.32365641327948,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-02-17 15:25:00-05:00,2022-02-17 15:25:00-05:00,1.13623,1.1360546225333448,5701986,-999.9998595839993,-1259.1305616980076,-1.2591305616980075,259.13070211400833,stop_loss,fast_indicator_combo,,bb_vwap_rsi7
EURUSD,long,2022-02-18 11:30:00-05:00,2022-02-18 11:30:00-05:00,1.13331,1.1336981719083212,2060942,799.9997890792874,706.5563419627058,0.7065563419627058,93.4434471165816,take_profit,fast_indicator_combo,,bb_vwap_rsi7
