pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason
AUDUSD,long,2025-01-02 11:55:00-05:00,2025-01-02 12:50:00-05:00,0.6204700000000001,0.6199096584629084,1441000,-807.4521549491745,-843.1998967060755,-1.1245481833557311,35.74774175690102,stop_loss
USDCAD,long,2025-01-02 13:15:00-05:00,2025-01-02 14:30:00-05:00,1.441075,1.4401248122892392,1184000,-781.12441471745,-828.4844147174499,-1.1139688356412556,47.36000000000001,stop_loss
GBPJPY,short,2025-01-02 12:40:00-05:00,2025-01-02 15:30:00-05:00,194.94750000000002,195.13938136497816,636000,-774.3878021340029,-805.868911734003,-1.077817831005777,31.481109600000003,stop_loss
GBPUSD,short,2025-01-02 16:20:00-05:00,2025-01-02 16:45:00-05:00,1.23773,1.2382047787810146,1575000,-747.7765800980751,-825.7685256296771,-1.20589481245326,77.99194553160197,stop_loss
EURUSD,short,2025-01-02 17:05:00-05:00,2025-01-02 17:50:00-05:00,1.026308,1.026671351325062,1884000,-684.553896416892,-761.9101583748204,-1.2316408712897327,77.35626195792834,stop_loss
USDJPY,long,2025-01-02 18:05:00-05:00,2025-01-02 18:35:00-05:00,157.4875,157.5384792150548,1918000,620.6638047650085,543.9438047650085,1.475678689301761,76.72000000000001,take_profit
GBPJPY,short,2025-01-03 11:40:00-05:00,2025-01-03 14:30:00-05:00,195.1545,195.28894246633595,889000,-760.68350234947,-804.8543563494701,-1.1125644671123005,44.170854000000006,stop_loss
USDCHF,long,2025-01-03 12:55:00-05:00,2025-01-03 14:35:00-05:00,0.909145,0.9086624527702974,1502000,-797.5548428773351,-857.634842877335,-1.1864456967294503,60.080000000000005,stop_loss
EURUSD,short,2025-01-03 14:55:00-05:00,2025-01-03 15:10:00-05:00,1.02997,1.0303726288497455,1841000,-741.2397123812835,-817.1015279755311,-1.191093235603246,75.86181559424763,stop_loss
USDCAD,long,2025-01-03 15:45:00-05:00,2025-01-03 16:15:00-05:00,1.444655,1.4442127484978997,1879000,-575.3268339678501,-650.4868339678502,-1.2589161340992243,75.16000000000001,stop_loss
