pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason
USDJPY,long,2020-01-07 16:50:00-05:00,2020-01-07 17:05:00-05:00,108.47030000000001,108.43387337672884,2000000,-671.780452773099,-751.780452773099,-1.310058565423319,80.0,stop_loss
GBPUSD,short,2020-01-09 15:55:00-05:00,2020-01-09 17:00:00-05:00,1.30643,1.3067469456938106,1519000,-481.4405088982672,-560.8288245084452,-1.459638340398218,79.38831561017797,stop_loss
GBPUSD,short,2020-01-15 12:40:00-05:00,2020-01-15 12:45:00-05:00,1.30305,1.302741446515709,1514000,467.14997521663594,388.2466102161403,0.5691805428338362,78.90336500049568,take_profit
USDJPY,long,2020-01-20 14:50:00-05:00,2020-01-20 14:55:00-05:00,110.1645,110.15392934240208,1981000,-190.09143701423028,-269.3314370142303,-2.1182563661781115,79.24000000000001,stop_loss
USDJPY,long,2020-01-22 15:35:00-05:00,2020-01-22 15:45:00-05:00,109.8755,109.8577282837274,1974000,-319.3075984792806,-398.26759847928065,-1.5532685870170322,78.96000000000001,stop_loss
EURUSD,short,2020-01-22 15:10:00-05:00,2020-01-22 16:00:00-05:00,1.10904,1.1092100617174552,1781000,-302.8799187876221,-381.89398598599786,-1.5309445192125601,79.01406719837576,stop_loss
USDJPY,short,2020-01-28 12:05:00-05:00,2020-01-28 12:15:00-05:00,109.1325,109.16971724957581,1960000,-668.1426414776279,-746.542641477628,-1.2328845153083228,78.4,stop_loss
EURUSD,short,2020-01-28 15:35:00-05:00,2020-01-28 15:40:00-05:00,1.10174,1.1018949002134515,1765000,-273.3988767419815,-351.1871887195163,-1.593055015338011,77.78831197753485,stop_loss
USDJPY,short,2020-01-29 14:10:00-05:00,2020-01-29 14:20:00-05:00,109.19449999999999,109.22121675936035,1938000,-474.0448952644761,-551.5648952644761,-1.3387015551558046,77.52000000000001,stop_loss
GBPUSD,short,2020-01-29 15:05:00-05:00,2020-01-29 15:10:00-05:00,1.30173,1.3017523426934143,1480000,-33.067186253132874,-110.13026359685796,-0.18388794913030718,77.06307734372507,take_profit
GBPUSD,short,2020-02-11 13:50:00-05:00,2020-02-11 14:05:00-05:00,1.29534,1.2957781311884542,1486000,-651.062946043031,-728.0709769019519,-1.230633432613801,77.00803085892086,stop_loss
USDJPY,long,2020-02-11 14:00:00-05:00,2020-02-11 14:10:00-05:00,109.7855,109.75946233252357,1916000,-454.5412134740129,-531.1812134740129,-1.3504338935237787,76.64,stop_loss
USDJPY,long,2020-02-14 13:25:00-05:00,2020-02-14 13:45:00-05:00,109.7315,109.7469719361514,1900000,267.84640542003353,191.84640542003353,0.584159325651569,76.0,take_profit
USDJPY,long,2020-02-17 16:55:00-05:00,2020-02-17 17:00:00-05:00,109.8863,109.86742967694269,1903000,-326.81608658677686,-402.93608658677687,-1.714469613852605,76.12,stop_loss
GBPUSD,short,2020-03-03 11:15:00-05:00,2020-03-03 11:20:00-05:00,1.28225,1.2812183515138926,596000,614.862497719928,584.3059549698825,0.8228867635612086,30.5565427500456,take_profit
USDJPY,short,2020-03-04 16:05:00-05:00,2020-03-04 16:45:00-05:00,107.47749999999999,107.52808386993685,1633000,-768.0399029938295,-833.3599029938295,-1.1649681290991711,65.32000000000001,stop_loss
EURUSD,long,2020-03-10 12:05:00-04:00,2020-03-10 12:10:00-04:00,1.13563,1.1344278364670484,604000,-726.1067739027362,-753.5290725672583,-1.0643264822779899,27.422298664521946,stop_loss
EURUSD,long,2020-03-11 17:55:00-04:00,2020-03-11 18:00:00-04:00,1.125685,1.1252169583296996,1624000,-760.0996725679412,-833.2089681744899,-1.1847813839972579,73.10929560654864,stop_loss
USDJPY,short,2020-03-12 11:00:00-04:00,2020-03-12 11:15:00-04:00,105.0585,105.29041625169779,320000,-704.2436946602295,-717.0436946602294,-1.0308241236005742,12.8,stop_loss
EURUSD,short,2020-03-16 16:35:00-04:00,2020-03-16 16:50:00-04:00,1.1176300000000001,1.117123616275324,955000,483.59645706572474,440.912662994866,0.6377554243935226,42.683794070858696,take_profit
EURUSD,short,2020-03-22 17:25:00-04:00,2020-03-22 18:15:00-04:00,1.069745,1.068308189195804,743000,1067.5504275176265,1035.778957126177,1.4918582205349624,31.771470391449647,take_profit
EURUSD,short,2020-03-24 17:05:00-04:00,2020-03-24 17:10:00-04:00,1.0774979999999998,1.0774503300767988,863000,41.139143722500606,3.9447355453750568,0.005617839407113295,37.19440817712555,take_profit
EURUSD,short,2020-03-25 12:35:00-04:00,2020-03-25 12:45:00-04:00,1.0828900000000001,1.0839717503992692,668000,-722.6092667117285,-751.5585396970628,-1.0697287446326866,28.94927298533424,stop_loss
USDJPY,long,2020-03-25 14:15:00-04:00,2020-03-25 14:25:00-04:00,111.2245,111.13319074931778,883000,-725.4916933080962,-760.8116933080961,-1.0915436021648663,35.32,stop_loss
EURUSD,long,2020-03-30 12:10:00-04:00,2020-03-30 14:10:00-04:00,1.10186,1.1028729447428391,723000,732.3590490726575,700.478610691676,1.0133386092919532,31.88043838098146,take_profit
GBPUSD,long,2020-04-02 11:45:00-04:00,2020-04-02 12:15:00-04:00,1.23688,1.238674916542886,396000,710.7869509828975,691.1805560438778,0.9923016013679441,19.60639493901966,take_profit
USDJPY,short,2020-04-02 11:50:00-04:00,2020-04-02 12:40:00-04:00,107.8545,107.97331435805904,653000,-718.5398354515639,-744.6598354515638,-1.0666496103114833,26.12,stop_loss
GBPUSD,long,2020-04-07 11:10:00-04:00,2020-04-07 11:30:00-04:00,1.23214,1.233987429696533,492000,908.9354106942134,884.6687167859995,1.272785579987379,24.266693908213888,take_profit
USDJPY,long,2020-04-07 13:05:00-04:00,2020-04-07 13:25:00-04:00,108.90650000000001,108.93062988770664,1314000,291.03108371596187,238.47108371596184,0.33932703330434777,52.56,take_profit
USDJPY,long,2020-04-08 11:50:00-04:00,2020-04-08 12:30:00-04:00,108.7095,108.64886528651839,1341000,-748.0601933728108,-801.7001933728109,-1.1375241936549467,53.64000000000001,stop_loss
USDJPY,short,2020-04-16 16:05:00-04:00,2020-04-16 16:10:00-04:00,107.7145,107.75497785167734,1863000,-699.7331138060686,-774.2531138060685,-1.2106671941880145,74.52000000000001,stop_loss
USDJPY,short,2020-04-17 12:40:00-04:00,2020-04-17 13:20:00-04:00,107.58749999999999,107.54912730162829,1484000,529.5887022199686,470.22870221996857,0.6786180942421762,59.36000000000001,take_profit
EURUSD,short,2020-04-20 12:20:00-04:00,2020-04-20 12:30:00-04:00,1.08782,1.0876135206613482,1298000,268.01018157004995,211.53592737368135,0.3036831288781948,56.474254196368605,take_profit
USDJPY,short,2020-04-20 16:10:00-04:00,2020-04-20 16:15:00-04:00,107.7145,107.71232496110204,1861000,37.579702993224004,-36.86029700677601,-0.06532604941177456,74.44000000000001,take_profit
USDJPY,short,2020-04-21 13:10:00-04:00,2020-04-21 13:20:00-04:00,107.7465,107.79232031054642,1776000,-754.9575241714274,-825.9975241714274,-1.1842091157574781,71.04,stop_loss
EURUSD,short,2020-04-21 15:45:00-04:00,2020-04-21 18:45:00-04:00,1.08597,1.08566,1623000,503.1300000000527,432.6388902000527,0.6257458160105699,70.4911098,session_close
GBPUSD,short,2020-04-22 17:40:00-04:00,2020-04-22 18:40:00-04:00,1.2332299999999998,1.233631977600085,1502000,-603.7703553279728,-677.8748891350793,-1.246803226307439,74.10453380710655,stop_loss
USDJPY,short,2020-04-22 18:25:00-04:00,2020-04-22 18:40:00-04:00,107.7775,107.76034252636441,1848000,294.14449114583675,220.22449114583677,0.43138359849043684,73.92,take_profit
GBPUSD,short,2020-04-23 11:20:00-04:00,2020-04-23 11:35:00-04:00,1.23895,1.2380955556841116,532000,454.5643760526481,428.2086113401691,0.6195631978570248,26.35576471247895,take_profit
EURUSD,short,2020-04-24 11:00:00-04:00,2020-04-24 11:05:00-04:00,1.08132,1.0804683146133292,805000,685.6067362700812,650.8019444048066,0.9379012270083337,34.8047918652746,take_profit
GBPUSD,short,2020-04-24 14:50:00-04:00,2020-04-24 14:55:00-04:00,1.23543,1.2359535715570633,1446000,-757.0844715135099,-828.5568844029401,-1.1849316199949396,71.47241288943027,stop_loss
EURUSD,short,2020-04-26 17:10:00-04:00,2020-04-26 18:45:00-04:00,1.082165,1.08161,1698000,942.3900000001413,868.9082010001414,1.2532877777257143,73.48179900000001,session_close
EURUSD,long,2020-04-28 11:40:00-04:00,2020-04-28 12:00:00-04:00,1.08453,1.083786707553847,981000,-729.1698896761028,-771.7122634783093,-1.1028558966896882,42.54237380220648,stop_loss
GBPUSD,long,2020-04-28 17:05:00-04:00,2020-04-28 17:10:00-04:00,1.2426840000000001,1.2421972535998025,1489000,-724.7653898942788,-798.7651536264809,-1.2689499544382243,73.99976373220213,stop_loss
USDJPY,short,2020-04-30 11:35:00-04:00,2020-04-30 12:45:00-04:00,106.9175,107.02953221453322,677000,-708.8923399785664,-735.9723399785663,-1.0711098991054206,27.080000000000002,stop_loss
GBPUSD,long,2020-05-01 12:45:00-04:00,2020-05-01 13:00:00-04:00,1.25057,1.2519998653306685,780000,1115.294957921491,1076.2548680223324,1.57800013924492,39.04008989915843,take_profit
GBPUSD,short,2020-05-04 16:05:00-04:00,2020-05-04 16:20:00-04:00,1.24419,1.2441396298873229,1480000,74.54776676204311,0.8932097173783475,0.001458021043375435,73.65455704466476,take_profit
EURUSD,short,2020-05-07 14:20:00-04:00,2020-05-07 16:55:00-04:00,1.08276,1.0833058227484273,1370000,-747.7771653455445,-807.1273688888515,-1.16934788419419,59.35020354330692,stop_loss
USDJPY,long,2020-05-17 17:45:00-04:00,2020-05-17 18:15:00-04:00,107.08725,107.14766053238642,1825000,1028.789720477307,955.7897204773069,2.271803738496544,73.0,take_profit
USDJPY,long,2020-05-18 12:30:00-04:00,2020-05-18 14:00:00-04:00,107.2805,107.33790732515322,1563000,835.8654570177534,773.3454570177535,1.1185818889707244,62.52,take_profit
USDJPY,long,2020-05-21 16:05:00-04:00,2020-05-21 17:05:00-04:00,107.5875,107.60470056997059,1860000,297.26696782581314,222.86696782581316,0.6272348916899951,74.4,take_profit
GBPUSD,short,2020-05-22 11:05:00-04:00,2020-05-22 11:10:00-04:00,1.21864,1.2186394373992093,1094000,0.615485264939597,-52.7121888253551,-0.0753946136551586,53.3276740902947,take_profit
USDJPY,long,2020-05-26 15:25:00-04:00,2020-05-26 15:30:00-04:00,107.5545,107.53025059517516,1863000,-420.11104467087756,-494.63104467087754,-1.3762121906536326,74.52000000000001,stop_loss
USDJPY,long,2020-05-27 14:00:00-04:00,2020-05-27 14:25:00-04:00,107.68050000000001,107.71605724944133,1853000,611.8718375845137,537.7518375845139,1.1993270595747947,74.12,take_profit
USDJPY,long,2020-05-28 11:05:00-04:00,2020-05-28 11:15:00-04:00,107.66250000000001,107.61326458055737,1645000,-752.604305894477,-818.4043058944769,-1.171191509911486,65.80000000000001,stop_loss
USDJPY,long,2020-06-01 15:35:00-04:00,2020-06-01 16:00:00-04:00,107.5955,107.57301231696701,1848000,-386.26276392319744,-460.1827639231974,-1.4110304586942723,73.92,stop_loss
EURUSD,long,2020-06-11 14:25:00-04:00,2020-06-11 14:40:00-04:00,1.13218,1.1313445672264864,856000,-715.1304541276513,-753.8819947185688,-1.093453474727807,38.75154059091744,stop_loss
GBPUSD,short,2020-06-15 14:50:00-04:00,2020-06-15 15:20:00-04:00,1.25841,1.2592112242838465,898000,-719.4994068940991,-764.715884082237,-1.118693565619287,45.21647718813789,stop_loss
USDJPY,short,2020-06-15 18:20:00-04:00,2020-06-15 18:35:00-04:00,107.3815,107.41834140449663,1808000,-620.1690734128019,-692.4890734128019,-1.2338178941119191,72.32000000000001,stop_loss
USDJPY,short,2020-06-16 18:35:00-04:00,2020-06-16 18:40:00-04:00,107.3475,107.33682485549896,1794000,178.42132009333793,106.66132009333793,0.32170997685259767,71.76,take_profit
