trace_id,run_id,session_date,source_line,official_flag,source_artifact,source_row_key,event_class,event_phase,status,signal_or_event_id,event_time_ny,level,direction,risk_pips,pnl_r,news_affected,block_reason,guard_reason,fill_type,spread_proxy_pips,slippage_proxy_pips,cost_proxy_pips,cost_proxy_r,blocking_event_name,blocking_event_time_ny,blocking_rule_used,incident_code,ledger_ref,daily_status_ref,scoreboard_ref,tribunal_ref,notes
091542e5153d6d0c6c0e,dual_chain_2026-04-21,2026-04-20,SCBI_M5_GLOBAL,TRUE,scratch/prop_firm_risk_guards.py,SCBI_M5_GLOBAL:2026-04-20:DHL,GUARD_EVENT,PRECHECK,PASS,SCBI_M5_GLOBAL:2026-04-20:DHL,2026-04-20,,,,,,,Daily PnL for SCBI_M5_GLOBAL is safe: 0.0R,,,,,,,,,,results/SCBI_FORWARD_LEDGER.csv#session_date=2026-04-20,results/SCBI_FORWARD_DAILY_STATUS.csv#session_date=2026-04-20,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_M5_GLOBAL,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_M5_GLOBAL,guard:DHL
9d8f68ff4cbe7c6dac16,dual_chain_2026-04-21,2026-04-20,SCBI_M5_GLOBAL,TRUE,scratch/prop_firm_risk_guards.py,SCBI_M5_GLOBAL:2026-04-20:CONCENTRATION,GUARD_EVENT,PRECHECK,PASS,SCBI_M5_GLOBAL:2026-04-20:CONCENTRATION,2026-04-20,,,,,,,No positive profit concentration to evaluate.,,,,,,,,,,results/SCBI_FORWARD_LEDGER.csv#session_date=2026-04-20,results/SCBI_FORWARD_DAILY_STATUS.csv#session_date=2026-04-20,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_M5_GLOBAL,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_M5_GLOBAL,guard:CONCENTRATION
3231ebd63bca9c669c90,dual_chain_2026-04-21,2026-04-20,SCBI_M5_GLOBAL,TRUE,scratch/prop_firm_risk_guards.py,SCBI_M5_GLOBAL:2026-04-20:LOT_SIZE,GUARD_EVENT,PRECHECK,PASS,SCBI_M5_GLOBAL:2026-04-20:LOT_SIZE,2026-04-20,,,,,,,Lot size audit insufficient sample.,,,,,,,,,,results/SCBI_FORWARD_LEDGER.csv#session_date=2026-04-20,results/SCBI_FORWARD_DAILY_STATUS.csv#session_date=2026-04-20,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_M5_GLOBAL,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_M5_GLOBAL,guard:LOT_SIZE
d938e2bcb957e2570ab3,dual_chain_2026-04-21,2026-04-20,SCBI_CORE,TRUE,scratch/prop_firm_risk_guards.py,SCBI_CORE:2026-04-20:DHL,GUARD_EVENT,PRECHECK,PASS,SCBI_CORE:2026-04-20:DHL,2026-04-20,,,,,,,Daily PnL for SCBI_CORE is safe: 1.5R,,,,,,,,,,results/SCBI_CORE_PHASE1/core_phase1_ledger.csv#session_date=2026-04-20,results/SCBI_FORWARD_TELEMETRY_TRACE.csv#SCBI_CORE:daily:2026-04-20,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_CORE,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_CORE,guard:DHL
6848d1782983876f3ec2,dual_chain_2026-04-21,2026-04-20,SCBI_CORE,TRUE,scratch/prop_firm_risk_guards.py,SCBI_CORE:2026-04-20:CONCENTRATION,GUARD_EVENT,PRECHECK,WARNING,SCBI_CORE:2026-04-20:CONCENTRATION,2026-04-20,,,,,,,Profit concentration 1.000 exceeds 0.35,,,,,,,,,CONCENTRATION,results/SCBI_CORE_PHASE1/core_phase1_ledger.csv#session_date=2026-04-20,results/SCBI_FORWARD_TELEMETRY_TRACE.csv#SCBI_CORE:daily:2026-04-20,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_CORE,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_CORE,guard:CONCENTRATION
284f8236a5a4df1abeac,dual_chain_2026-04-21,2026-04-20,SCBI_CORE,TRUE,scratch/prop_firm_risk_guards.py,SCBI_CORE:2026-04-20:LOT_SIZE,GUARD_EVENT,PRECHECK,PASS,SCBI_CORE:2026-04-20:LOT_SIZE,2026-04-20,,,,,,,Lot size audit insufficient sample.,,,,,,,,,,results/SCBI_CORE_PHASE1/core_phase1_ledger.csv#session_date=2026-04-20,results/SCBI_FORWARD_TELEMETRY_TRACE.csv#SCBI_CORE:daily:2026-04-20,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_CORE,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_CORE,guard:LOT_SIZE
cb3e666c78e3398e1ff8,dual_chain_2026-04-21,2026-04-21,SCBI_M5_GLOBAL,TRUE,results/SCBI_FORWARD_LEDGER.csv,SCBI_2026-04-21_0800:SWEEP_DETECTED,SIGNAL_EVENT,DETECTED,DETECTED,SCBI_2026-04-21_0800,2026-04-21 08:00:00-04:00,london_l,long,,,FALSE,,,,0.3,,0.3,,,,,,results/SCBI_FORWARD_LEDGER.csv#signal_id=SCBI_2026-04-21_0800|event_type=SWEEP_DETECTED,results/SCBI_FORWARD_DAILY_STATUS.csv#session_date=2026-04-21,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_M5_GLOBAL,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_M5_GLOBAL,ledger:results/SCBI_FORWARD_LEDGER.csv#signal_id=SCBI_2026-04-21_0800|event_type=SWEEP_DETECTED
a8cae815011111f9e1b6,dual_chain_2026-04-21,2026-04-21,SCBI_M5_GLOBAL,TRUE,results/SCBI_FORWARD_LEDGER.csv,SCBI_2026-04-21_0800:PAPER_ENTRY,TRADE_EVENT,ENTRY,FILLED,SCBI_2026-04-21_0800,2026-04-21 09:05:00-04:00,london_l,long,4.7,,FALSE,,,PAPER_MARKET_PROXY,0.3,,0.3,0.06383,,,,,results/SCBI_FORWARD_LEDGER.csv#signal_id=SCBI_2026-04-21_0800|event_type=PAPER_ENTRY,results/SCBI_FORWARD_DAILY_STATUS.csv#session_date=2026-04-21,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_M5_GLOBAL,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_M5_GLOBAL,ledger:results/SCBI_FORWARD_LEDGER.csv#signal_id=SCBI_2026-04-21_0800|event_type=PAPER_ENTRY
c2b93117a7485e93f245,dual_chain_2026-04-21,2026-04-21,SCBI_M5_GLOBAL,TRUE,results/SCBI_FORWARD_LEDGER.csv,SCBI_2026-04-21_0800:PAPER_EXIT,TRADE_EVENT,EXIT,FILLED,SCBI_2026-04-21_0800,2026-04-21 09:30:00-04:00,london_l,long,4.7,1.5,FALSE,,,PAPER_MARKET_PROXY,0.3,,0.3,0.06383,,,,,results/SCBI_FORWARD_LEDGER.csv#signal_id=SCBI_2026-04-21_0800|event_type=PAPER_EXIT,results/SCBI_FORWARD_DAILY_STATUS.csv#session_date=2026-04-21,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_M5_GLOBAL,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_M5_GLOBAL,ledger:results/SCBI_FORWARD_LEDGER.csv#signal_id=SCBI_2026-04-21_0800|event_type=PAPER_EXIT
653732cf7f5e27a77de8,dual_chain_2026-04-21,2026-04-21,SCBI_M5_GLOBAL,TRUE,results/SCBI_FORWARD_LEDGER.csv,SCBI_2026-04-21_0900:SWEEP_DETECTED,SIGNAL_EVENT,DETECTED,DETECTED,SCBI_2026-04-21_0900,2026-04-21 09:00:00-04:00,london_l,long,,,FALSE,,,,0.3,,0.3,,,,,,results/SCBI_FORWARD_LEDGER.csv#signal_id=SCBI_2026-04-21_0900|event_type=SWEEP_DETECTED,results/SCBI_FORWARD_DAILY_STATUS.csv#session_date=2026-04-21,results/SCBI_DUAL_LINE_SCOREBOARD.csv#SCBI_M5_GLOBAL,results/SCBI_FORWARD_TRIBUNAL_SUMMARY.json#SCBI_M5_GLOBAL,ledger:results/SCBI_FORWARD_LEDGER.csv#signal_id=SCBI_2026-04-21_0900|event_type=SWEEP_DETECTED
