month,sample_total,auditables,PF_net_FTMO,total_R_net_FTMO,replay_status
2019-08,20,18,1.38,3.3816,FORENSIC_COMPLETE
2019-09,16,16,0.84,-1.292,FORENSIC_COMPLETE
2019-10,18,16,1.31,2.6579,FORENSIC_COMPLETE
2019-11,20,19,1.24,2.4067,FORENSIC_COMPLETE
2019-12,19,19,1.09,0.9486,FORENSIC_COMPLETE
