trade_id,P_outcome,P_R,P_entry_ts,Q_outcome,Q_R,Q_entry_ts,match,delta_R
2195,TP,1.4,2024-07-09 11:09:02.077000+00:00,TP,1.4,2024-07-09 11:09:02.077000+00:00,True,0.0
2196,TIME_EXIT,0.381818181818122,2024-07-10 11:30:03.153000+00:00,TIME_EXIT,0.34545454545479,2024-07-10 11:30:03.153000+00:00,True,0.03636363636333201
2197,BE,0.0,2024-07-12 11:54:01.526000+00:00,BE,0.0,2024-07-12 11:54:01.526000+00:00,True,0.0
2198,TP,1.4,2024-07-15 15:21:01.670000+00:00,TP,1.4,2024-07-15 15:21:01.670000+00:00,True,0.0
2199,BE,0.0,2024-07-16 13:39:01.290000+00:00,BE,0.0,2024-07-16 13:39:01.290000+00:00,True,0.0
2200,TP,1.4,2024-07-18 12:15:01.080000+00:00,TP,1.4,2024-07-18 12:15:01.080000+00:00,True,0.0
2201,TIME_EXIT,0.4109589041094875,2024-07-19 11:12:12.369000+00:00,TIME_EXIT,0.3013698630135438,2024-07-19 11:12:12.369000+00:00,True,0.1095890410959437
2202,TIME_EXIT,0.5000000000000321,2024-07-22 12:33:03.044000+00:00,TIME_EXIT,0.1857142857142335,2024-07-22 12:33:03.044000+00:00,True,0.31428571428579855
2203,BE,0.0,2024-07-23 13:03:02.223000+00:00,BE,0.0,2024-07-23 13:03:02.223000+00:00,True,0.0
2204,TP,1.4,2024-07-24 11:48:02.079000+00:00,TIME_EXIT,0.7156862745097032,2024-07-24 11:48:02.079000+00:00,False,0.6843137254902967
2205,TP,1.4,2024-07-25 17:27:04.890000+00:00,TIME_EXIT,0.8861788617884662,2024-07-25 17:27:04.890000+00:00,False,0.5138211382115337
2206,TIME_EXIT,0.6559999999999818,2024-07-26 14:24:01.156000+00:00,TIME_EXIT,0.3840000000000287,2024-07-26 14:24:01.156000+00:00,True,0.2719999999999531
2207,TIME_EXIT,0.7407407407401105,2024-07-29 11:00:02.447000+00:00,TP,1.4,2024-07-29 11:00:02.447000+00:00,False,-0.6592592592598894
2208,TIME_EXIT,0.4571428571426799,2024-07-30 11:06:05.855000+00:00,TP,1.4,2024-07-30 11:06:05.855000+00:00,False,-0.94285714285732
2209,TP,1.4,2024-07-31 11:42:03.552000+00:00,TP,1.4,2024-07-31 11:42:03.552000+00:00,True,0.0
2210,BE,0.0,2024-08-01 13:00:01.025000+00:00,BE,0.0,2024-08-01 13:00:01.025000+00:00,True,0.0
2211,TP,1.4,2024-08-02 11:00:01.052000+00:00,TP,1.4,2024-08-02 11:00:01.052000+00:00,True,0.0
2212,TIME_EXIT,0.5111111111109486,2024-08-06 11:00:01.285000+00:00,TIME_EXIT,0.922222222222096,2024-08-06 11:00:01.285000+00:00,True,-0.4111111111111474
2213,BE,0.0,2024-08-07 14:18:01.003000+00:00,BE,0.0,2024-08-07 14:18:01.003000+00:00,True,0.0
2214,TP,1.4,2024-08-08 12:30:01.161000+00:00,TP,1.4,2024-08-08 12:30:01.161000+00:00,True,0.0
2215,BE,0.0,2024-08-09 12:15:06.407000+00:00,BE,0.0,2024-08-09 12:15:06.407000+00:00,True,0.0
2216,TIME_EXIT,-0.7012987012985906,2024-08-12 11:03:02.869000+00:00,TIME_EXIT,-0.0779220779220116,2024-08-12 11:03:02.869000+00:00,True,-0.6233766233765791
2217,TIME_EXIT,1.2195121951217636,2024-08-13 11:09:05.057000+00:00,TP,1.4,2024-08-13 11:09:05.057000+00:00,False,-0.18048780487823635
2218,TIME_EXIT,0.4885057471264468,2024-08-14 12:03:02.363000+00:00,TIME_EXIT,0.0632183908045014,2024-08-14 12:03:02.363000+00:00,True,0.42528735632194536
2219,TIME_EXIT,0.8632075471697698,2024-08-15 12:30:01.021000+00:00,TIME_EXIT,1.0330188679245402,2024-08-15 12:30:01.021000+00:00,True,-0.16981132075477046
2220,BE,0.0,2024-08-16 14:00:01.030000+00:00,BE,0.0,2024-08-16 14:00:01.030000+00:00,True,0.0
2221,TIME_EXIT,0.7916666666669187,2024-08-19 11:45:13.652000+00:00,BE,0.0,2024-08-19 11:45:13.652000+00:00,False,0.7916666666669187
2222,TP,1.4,2024-08-20 12:21:02.758000+00:00,BE,0.0,2024-08-20 12:21:02.758000+00:00,False,1.4
2223,TP,1.4,2024-08-21 15:24:02.573000+00:00,TIME_EXIT,0.953488372092944,2024-08-21 15:24:02.573000+00:00,False,0.4465116279070559
2224,TIME_EXIT,0.4724409448818005,2024-08-22 12:42:01.899000+00:00,BE,0.0,2024-08-22 12:42:01.899000+00:00,False,0.4724409448818005
2225,TIME_EXIT,1.083333333332589,2024-08-23 13:57:01.466000+00:00,TP,1.4,2024-08-23 13:57:01.466000+00:00,False,-0.31666666666741095
2226,BE,0.0,2024-08-26 12:30:01.251000+00:00,BE,0.0,2024-08-26 12:30:01.251000+00:00,True,0.0
2227,TIME_EXIT,0.4019607843136677,2024-08-27 11:57:04.385000+00:00,TIME_EXIT,0.4313725490196038,2024-08-27 11:57:04.385000+00:00,True,-0.029411764705936094
2228,TIME_EXIT,0.9130434782608172,2024-08-29 15:09:02.438000+00:00,TP,1.4,2024-08-29 15:09:02.438000+00:00,False,-0.4869565217391827
2229,BE,0.0,2024-08-30 13:51:01.367000+00:00,BE,0.0,2024-08-30 13:51:01.367000+00:00,True,0.0
2250,BE,0.0,2024-10-01 12:15:01.969000+00:00,BE,0.0,2024-10-01 12:15:01.969000+00:00,True,0.0
2251,TP,1.4,2024-10-02 12:15:01.065000+00:00,TP,1.4,2024-10-02 12:15:01.065000+00:00,True,0.0
