trade_id,month,model,tick_outcome,tick_R,entry_exec,sl_exec,tp_exec,risk_exec,be_trig_exec,first_touch_time
2165,2024-05,B,TP,1.4,1.08572,1.08614,1.085132,0.00042,1.085552,2024-05-21 13:00:04.427000+00:00
2171,2024-05,B,TP,1.4,1.08326,1.08522,1.0805159999999998,0.0019600000000001,1.0824759999999998,2024-05-29 18:53:29.615000+00:00
2176,2024-06,B,TP,1.4,1.08966,1.0959500000000002,1.080854,0.0062900000000001,1.087144,2024-06-07 15:08:02.419000+00:00
2183,2024-06,B,TP,1.4,1.07147,1.0693499999999996,1.0744380000000004,0.0021200000000003,1.072318,2024-06-18 13:47:23.791000+00:00
2214,2024-08,B,TP,1.4,1.09284,1.0950000000000002,1.089816,0.0021600000000001,1.091976,2024-08-08 12:47:34.411000+00:00
2219,2024-08,B,TP,1.4,1.10114,1.1053800000000003,1.0952039999999996,0.0042400000000002,1.0994439999999999,2024-08-15 12:56:55.829000+00:00
2223,2024-08,B,TP,1.4,1.11292,1.1111999999999997,1.115328,0.0017200000000001,1.113608,2024-08-21 17:41:13.211000+00:00
2229,2024-08,B,BE,0.0,1.10648,1.1045399999999996,1.1091960000000003,0.0019400000000002,1.107256,2024-08-30 14:22:56.983000+00:00
2251,2024-10,B,TP,1.4,1.10727,1.1087500000000003,1.1051979999999995,0.0014800000000003,1.1066779999999998,2024-10-02 12:46:26.980000+00:00
2259,2024-10,B,TP,1.4,1.09155,1.09177,1.0912420000000003,0.0002199999999998,1.0914620000000002,2024-10-14 12:37:34.581000+00:00
2281,2024-11,B,BE,0.0,1.05779,1.0594600000000003,1.0554519999999998,0.0016700000000002,1.057122,2024-11-13 15:30:56.290000+00:00
2283,2024-11,B,BE,0.0,1.0584,1.0622,1.05308,0.0038,1.05688,2024-11-15 13:30:09.488000+00:00
2285,2024-11,B,BE,0.0,1.05178,1.0525800000000003,1.0506599999999995,0.0008000000000003,1.0514599999999998,2024-11-20 16:15:40.406000+00:00
2287,2024-11,B,TP,1.4,1.04889,1.0479899999999998,1.0501500000000006,0.0009000000000003,1.0492500000000002,2024-11-25 13:14:15.119000+00:00
2288,2024-11,B,TP,1.4,1.05155,1.0500999999999998,1.0535800000000002,0.0014500000000001,1.05213,2024-11-26 12:17:28.051000+00:00
2291,2024-11,B,TP,1.4,1.05524,1.0546999999999995,1.0559960000000006,0.0005400000000004,1.0554560000000002,2024-11-29 12:57:48.079000+00:00
2311,2025-01,B,TP,1.4,1.02987,1.0316400000000003,1.0273919999999999,0.0017700000000002,1.029162,2025-01-03 15:29:11.128000+00:00
2312,2025-01,B,TP,1.4,1.03929,1.0419500000000004,1.0355659999999995,0.0026600000000003,1.0382259999999999,2025-01-07 15:47:48.630000+00:00
2314,2025-01,B,FORCED_CLOSE,0.9804511278194982,1.03046,1.0371100000000002,1.0211499999999996,0.0066500000000002,1.0277999999999998,2025-01-10 13:42:00.151000+00:00
2317,2025-01,B,FORCED_CLOSE,1.0303030303028953,1.03271,1.0340300000000002,1.0308619999999997,0.0013200000000002,1.032182,2025-01-15 15:09:00.099000+00:00
2319,2025-01,B,FORCED_CLOSE,0.3294797687861679,1.02894,1.02548,1.033784,0.00346,1.030324,2025-01-17 15:51:00.042000+00:00
2322,2025-01,B,FORCED_CLOSE,0.44808743169384224,1.04361,1.0454400000000001,1.0410479999999998,0.0018300000000002,1.0428779999999997,2025-01-22 14:51:00.373000+00:00
2323,2025-01,B,BE,0.0,1.03971,1.043,1.0351039999999998,0.00329,1.0383939999999998,2025-01-23 16:14:07.110000+00:00
2349,2025-03,B,TP,1.4,1.04529,1.0444399999999998,1.0464800000000003,0.0008500000000002,1.04563,2025-03-03 12:13:21.624000+00:00
2351,2025-03,B,TP,1.4,1.07162,1.0691199999999998,1.07512,0.0025000000000001,1.0726200000000001,2025-03-05 14:29:24.998000+00:00
2353,2025-03,B,SL,-1.0,1.08444,1.0873100000000002,1.080422,0.0028700000000001,1.083292,2025-03-07 14:33:40.818000+00:00
2357,2025-03,B,FORCED_CLOSE,0.8309859154928703,1.08474,1.0833199999999998,1.0867280000000001,0.0014200000000001,1.0853080000000002,2025-03-13 14:18:00.203000+00:00
