"type","entry_time","exit_time","entry_price","exit_price","sl","tp","risk","status","be_triggered","outcome","r_result","entry_date","year","year_month","month_name","hour_ny","weekday"
"SHORT","2024-05-01 09:15:00-04:00","2024-05-01 09:30:00-04:00","1.06808","1.06808","1.06808","1.0673099999999995","0.0005500000000002","SL","True","BE","0.0","2024-05-01","2024","2024-05","Mayo","9","Miercoles"
"SHORT","2024-05-02 08:03:00-04:00","2024-05-02 11:15:00-04:00","1.06965","1.06965","1.06965","1.0673119999999996","0.0016700000000002","SL","True","BE","0.0","2024-05-02","2024","2024-05","Mayo","8","Jueves"
"SHORT","2024-05-03 07:39:00-04:00","2024-05-03 08:18:00-04:00","1.07453","1.07506","1.07506","1.0737879999999995","0.0005300000000001","SL","False","SL","-1.0","2024-05-03","2024","2024-05","Mayo","7","Viernes"
"LONG","2024-05-06 08:00:00-04:00","2024-05-06 08:18:00-04:00","1.0775","1.078032","1.0775","1.078032","0.00038","TP","True","TP","1.4","2024-05-06","2024","2024-05","Mayo","8","Lunes"
"LONG","2024-05-07 09:06:00-04:00","2024-05-07 09:51:00-04:00","1.078","1.078","1.078","1.0789660000000003","0.0006900000000003","SL","True","BE","0.0","2024-05-07","2024","2024-05","Mayo","9","Martes"
"LONG","2024-05-08 11:36:00-04:00","2024-05-08 12:12:00-04:00","1.07511","1.07511","1.07511","1.0762160000000005","0.0007900000000002","SL","True","BE","0.0","2024-05-08","2024","2024-05","Mayo","11","Miercoles"
"LONG","2024-05-09 08:03:00-04:00","2024-05-09 08:24:00-04:00","1.07325","1.07325","1.07325","1.0741600000000004","0.0006500000000002","SL","True","BE","0.0","2024-05-09","2024","2024-05","Mayo","8","Jueves"
"SHORT","2024-05-10 08:33:00-04:00","2024-05-10 09:12:00-04:00","1.07749","1.07749","1.07749","1.076468","0.0007300000000001","SL","True","BE","0.0","2024-05-10","2024","2024-05","Mayo","8","Viernes"
"LONG","2024-05-13 09:12:00-04:00","2024-05-13 10:06:00-04:00","1.08013","1.08013","1.08013","1.0809000000000004","0.0005500000000002","SL","True","BE","0.0","2024-05-13","2024","2024-05","Mayo","9","Lunes"
"SHORT","2024-05-14 07:06:00-04:00","2024-05-14 08:03:00-04:00","1.07959","1.07959","1.07959","1.0790299999999995","0.0004000000000001","SL","True","BE","0.0","2024-05-14","2024","2024-05","Mayo","7","Martes"
"LONG","2024-05-15 07:54:00-04:00","2024-05-15 08:30:00-04:00","1.08279","1.0837840000000003","1.08279","1.0837840000000003","0.0007100000000002","TP","True","TP","1.4","2024-05-15","2024","2024-05","Mayo","7","Miercoles"
"LONG","2024-05-16 08:18:00-04:00","2024-05-16 08:33:00-04:00","1.08699","1.08699","1.08699","1.088432","0.00103","SL","True","BE","0.0","2024-05-16","2024","2024-05","Mayo","8","Jueves"
"LONG","2024-05-17 07:12:00-04:00","2024-05-17 08:12:00-04:00","1.08401","1.08401","1.08401","1.08478","0.00055","SL","True","BE","0.0","2024-05-17","2024","2024-05","Mayo","7","Viernes"
"SHORT","2024-05-20 07:09:00-04:00","2024-05-20 07:36:00-04:00","1.0865","1.0865","1.0865","1.0854359999999998","0.00076","SL","True","BE","0.0","2024-05-20","2024","2024-05","Mayo","7","Lunes"
"SHORT","2024-05-21 09:00:00-04:00","2024-05-21 10:39:00-04:00","1.0845","1.08614","1.08614","1.082204","0.00164","SL","False","SL","-1.0","2024-05-21","2024","2024-05","Mayo","9","Martes"
"SHORT","2024-05-22 13:27:00-04:00","2024-05-22 14:00:00-04:00","1.08416","1.0832779999999995","1.08416","1.0832779999999995","0.0006300000000001","TP","True","TP","1.4","2024-05-22","2024","2024-05","Mayo","13","Miercoles"
"LONG","2024-05-23 07:33:00-04:00","2024-05-23 08:45:00-04:00","1.08477","1.08477","1.08477","1.0855680000000003","0.0005700000000001","SL","True","BE","0.0","2024-05-23","2024","2024-05","Mayo","7","Jueves"
"SHORT","2024-05-24 12:48:00-04:00","2024-05-26 17:00:00-04:00","1.08485","1.08485","1.08485","1.083408","0.00103","SL","True","BE","0.0","2024-05-24","2024","2024-05","Mayo","12","Viernes"
"LONG","2024-05-27 10:54:00-04:00","2024-05-27 20:00:00-04:00","1.08596","1.08624","1.08478","1.0876120000000002","0.0011800000000001","FORCED_CLOSE","False","FORCED_CLOSE","0.237288","2024-05-27","2024","2024-05","Mayo","10","Lunes"
"LONG","2024-05-28 07:03:00-04:00","2024-05-28 07:27:00-04:00","1.08839","1.08839","1.08839","1.0893280000000003","0.0006700000000001","SL","True","BE","0.0","2024-05-28","2024","2024-05","Mayo","7","Martes"
"SHORT","2024-05-29 10:21:00-04:00","2024-05-29 20:00:00-04:00","1.08231","1.07998","1.08231","1.0795659999999998","0.0019600000000001","FORCED_CLOSE","True","FORCED_CLOSE","1.188776","2024-05-29","2024","2024-05","Mayo","10","Miercoles"
"LONG","2024-05-30 08:30:00-04:00","2024-05-30 10:06:00-04:00","1.08227","1.0837820000000002","1.08227","1.0837820000000002","0.0010800000000001","TP","True","TP","1.4","2024-05-30","2024","2024-05","Mayo","8","Jueves"
"LONG","2024-05-31 07:03:00-04:00","2024-05-31 07:24:00-04:00","1.08523","1.08523","1.08523","1.085958","0.00052","SL","True","BE","0.0","2024-05-31","2024","2024-05","Mayo","7","Viernes"
