outcome,R,entry_p,exit_p,entry_ts,exit_ts,be_activated,sl_price,tp_price,be_trigger_price,log_events,trade_id,month
TP,1.4,1.06842,1.06765,2024-05-01 13:15:01.780000+00:00,2024-05-01 13:24:57.610000+00:00,True,1.06897,1.06765,1.0682,"[{'ts': Timestamp('2024-05-01 13:16:44.610000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0682}]",2151,2024_05
BE,0.0,1.07015,1.07015,2024-05-02 12:03:03.334000+00:00,2024-05-02 12:35:13.468000+00:00,True,1.07182,1.067812,1.069482,"[{'ts': Timestamp('2024-05-02 12:31:38.793000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.06948}]",2152,2024_05
BE,0.0,1.0747,1.0747,2024-05-03 11:39:01.911000+00:00,2024-05-03 11:48:14.842000+00:00,True,1.07506,1.074196,1.074556,"[{'ts': Timestamp('2024-05-03 11:39:40.928000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07455}]",2153,2024_05
TP,1.4,1.07726,1.077792,2024-05-06 12:00:03.651000+00:00,2024-05-06 12:13:15.923000+00:00,True,1.07688,1.077792,1.077412,"[{'ts': Timestamp('2024-05-06 12:02:30.248000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07742}]",2154,2024_05
TIME_EXIT,0.565217391304189,1.07779,1.07818,2024-05-07 13:06:01.207000+00:00,2024-05-07 14:05:58.908000+00:00,True,1.0771,1.078756,1.078066,"[{'ts': Timestamp('2024-05-07 13:30:15.968000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07807}]",2155,2024_05
BE,0.0,1.07487,1.07487,2024-05-08 15:36:01.066000+00:00,2024-05-08 16:25:52.900000+00:00,True,1.07408,1.075976,1.075186,"[{'ts': Timestamp('2024-05-08 15:45:30.284000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07519}]",2156,2024_05
TP,1.4,1.07301,1.07392,2024-05-09 12:03:01.400000+00:00,2024-05-09 12:30:00.363000+00:00,True,1.07236,1.07392,1.07327,"[{'ts': Timestamp('2024-05-09 12:09:28.810000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07327}]",2157,2024_05
TP,1.4,1.07781,1.076788,2024-05-10 12:33:01.112000+00:00,2024-05-10 12:45:59.887000+00:00,True,1.07854,1.076788,1.077518,"[{'ts': Timestamp('2024-05-10 12:35:57.717000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07751}]",2158,2024_05
BE,0.0,1.07999,1.07999,2024-05-13 13:12:01.111000+00:00,2024-05-13 14:08:03.299000+00:00,True,1.07944,1.08076,1.08021,"[{'ts': Timestamp('2024-05-13 13:15:20.529000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08021}]",2159,2024_05
BE,0.0,1.07973,1.07973,2024-05-14 11:06:01.041000+00:00,2024-05-14 11:11:25.544000+00:00,True,1.08013,1.07917,1.07957,"[{'ts': Timestamp('2024-05-14 11:09:12.264000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07957}]",2160,2024_05
TP,1.4,1.08243,1.083424,2024-05-15 11:54:13.088000+00:00,2024-05-15 12:05:49.054000+00:00,True,1.08172,1.083424,1.082714,"[{'ts': Timestamp('2024-05-15 11:55:41.230000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08272}]",2161,2024_05
BE,0.0,1.08661,1.08661,2024-05-16 12:18:05.694000+00:00,2024-05-16 12:30:42.921000+00:00,True,1.08558,1.088052,1.087022,"[{'ts': Timestamp('2024-05-16 12:30:04.989000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08704}]",2162,2024_05
TIME_EXIT,0.34545454545479,1.08387,1.08406,2024-05-17 11:12:03.533000+00:00,2024-05-17 12:12:03.051000+00:00,True,1.08332,1.08464,1.08409,"[{'ts': Timestamp('2024-05-17 11:23:12.728000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0841}]",2163,2024_05
TIME_EXIT,0.8421052631578604,1.08676,1.08612,2024-05-20 11:09:01.042000+00:00,2024-05-20 12:08:59.967000+00:00,True,1.08752,1.085696,1.086456,"[{'ts': Timestamp('2024-05-20 11:24:37.154000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08645}]",2164,2024_05
TP,1.4,1.0857,1.085112,2024-05-21 13:00:01.506000+00:00,2024-05-21 13:00:04.481000+00:00,True,1.08612,1.085112,1.085532,"[{'ts': Timestamp('2024-05-21 13:00:02.495000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.08545}]",2165,2024_05
