month,sample,PF_base,total_R_base,PF_net_FTMO,expectancy_net_FTMO,total_R_net_FTMO,avg_commission_R_FTMO,verdict_net_FTMO
2015-01,16,1.75,3.75,1.64,0.2076,3.32,0.0267,NET_FTMO_STRONG
2015-02,19,1.4,3.2,1.3,0.1327,2.52,0.0357,NET_FTMO_SURVIVES
2015-03,21,1.15,1.6,1.04,0.0196,0.41,0.0566,NET_FTMO_FAILS
2015-04,19,3.64,13.2,3.47,0.6678,12.69,0.0269,NET_FTMO_STRONG
2015-05,19,2.57,9.4,2.43,0.467,8.87,0.0277,NET_FTMO_STRONG
2015-06,20,3.64,13.2,3.43,0.635,12.7,0.025,NET_FTMO_STRONG
2015-07,19,1.4,3.6,1.32,0.156,2.96,0.0334,NET_FTMO_SURVIVES
2015-10,19,1.18,1.01,1.07,0.0222,0.42,0.0312,NET_FTMO_FRAGILE
2015-11,16,0.95,-0.43,0.9,-0.0561,-0.9,0.0293,NET_FTMO_FAILS
2017-05,20,4.56,8.82,4.02,0.3933,7.87,0.0476,NET_FTMO_STRONG
2017-08,19,3.32,5.47,2.51,0.2353,4.47,0.0525,NET_FTMO_STRONG
2020-04,19,6.23,12.49,5.67,0.6194,11.77,0.0377,NET_FTMO_STRONG
2024-10,22,2.51,6.84,2.03,0.2418,5.32,0.0692,NET_FTMO_STRONG
2025-02,19,2.33,8.0,2.08,0.3665,6.96,0.0545,NET_FTMO_STRONG
2025-11,17,0.77,-1.77,0.68,-0.1486,-2.53,0.0448,NET_FTMO_FAILS
