month,sample,PF,expectancy,winrate,total_R,TP,BE,SL,TIME_EXIT
2017-05,20,1.737023330026016,0.2211069990078048,30.0,4.422139980156096,5,8,6,1
2017-08,15,1.6276315732711037,0.2510526293084416,33.33333333333333,3.765789439626624,5,3,6,1
2020-04,19,1.819200893924993,0.25869501913420834,31.57894736842105,4.915205363549958,6,7,6,0
2024-10,22,3.153960959780757,0.3916292654146831,50.0,8.615843839123029,11,7,4,0
