outcome,R,entry_p,entry_ts,sl,tp,be_trig,first_touch_time,be_active,trade_id,original_outcome,original_R,match
BE,0.0,1.08011,2024-07-04 14:00:00.296000+00:00,1.0796999999999997,1.0806840000000002,1.080274,2024-07-04 14:10:15.419000+00:00,True,2192,BE,0.0,True
BE,0.0,1.08233,2024-07-05 11:03:00.673000+00:00,1.0827900000000001,1.081686,1.082146,2024-07-05 11:12:41.567000+00:00,True,2193,BE,0.0,True
BE,0.0,1.0843,2024-07-08 13:06:00.313000+00:00,1.0850100000000003,1.0833059999999997,1.0840159999999999,2024-07-08 13:13:57.597000+00:00,True,2194,BE,0.0,True
BE,0.0,1.08901,2024-07-12 11:54:01.526000+00:00,1.0893200000000005,1.0885759999999995,1.0888859999999998,2024-07-12 12:03:15.286000+00:00,True,2197,BE,0.0,True
TP,1.4,1.10114,2024-08-15 12:30:00.053000+00:00,1.1053800000000003,1.0952039999999996,1.0994439999999999,2024-08-15 12:56:55.829000+00:00,True,2219,TP,1.4,True
TP,1.4,1.09284,2024-08-08 12:30:00.025000+00:00,1.0950000000000002,1.089816,1.091976,2024-08-08 12:47:34.411000+00:00,True,2214,TP,1.4,True
SL,-1.0,1.08174,2024-10-22 12:00:00.371000+00:00,1.08213,1.0811939999999998,1.0815839999999999,2024-10-22 12:08:47.391000+00:00,False,2265,SL,-1.0,True
BE,0.0,1.0584,2024-11-15 13:30:00.198000+00:00,1.0622,1.05308,1.05688,2024-11-15 13:30:09.488000+00:00,True,2283,BE,0.0,True
BE,0.0,1.05779,2024-11-13 15:06:00.068000+00:00,1.0594600000000003,1.0554519999999998,1.057122,2024-11-13 15:30:56.290000+00:00,True,2281,BE,0.0,True
TIME_EXIT,0.9804511278194982,1.03046,2025-01-10 13:30:00.229000+00:00,1.0371100000000002,1.0211499999999996,1.0277999999999998,2025-01-10 13:42:00.151000+00:00,True,2314,FORCED_CLOSE,0.9804511278194982,False
TP,1.4,1.03929,2025-01-07 15:00:00.088000+00:00,1.0419500000000004,1.0355659999999995,1.0382259999999999,2025-01-07 15:47:48.630000+00:00,True,2312,TP,1.4,True
BE,0.0,1.03971,2025-01-23 16:09:00.379000+00:00,1.043,1.0351039999999998,1.0383939999999998,2025-01-23 16:14:07.110000+00:00,True,2323,BE,0.0,True
TP,1.4,1.07162,2025-03-05 14:03:00.663000+00:00,1.0691199999999998,1.07512,1.0726200000000001,2025-03-05 14:29:24.998000+00:00,True,2351,TP,1.4,True
SL,-1.0,1.08444,2025-03-07 14:00:00.029000+00:00,1.0873100000000002,1.080422,1.083292,2025-03-07 14:33:40.818000+00:00,False,2353,SL,-1.0,True
SL,-1.0,1.07889,2025-03-28 13:00:00.092000+00:00,1.0786599999999997,1.079212,1.0789819999999999,2025-03-28 13:00:11.019000+00:00,False,2365,SL,-1.0,True
