outcome,R,entry_p,sl,tp,be_active,trade_id
BE,0.0,1.10802,1.1092600000000001,1.1062839999999998,True,2250
TP,1.4,1.10727,1.1087500000000003,1.1051979999999995,True,2251
TP,1.4,1.10455,1.1052300000000002,1.1035979999999996,True,2252
BE,0.0,1.10299,1.1034000000000002,1.1024159999999996,True,2253
TIME_EXIT,0.728260869565003,1.09773,1.0968099999999998,1.0990180000000003,True,2254
TIME_EXIT,0.5810810810812087,1.09828,1.0975399999999997,1.099316,True,2255
BE,0.0,1.09376,1.0947900000000002,1.0923180000000001,True,2257
TIME_EXIT,0.565217391304189,1.09326,1.09395,1.0922939999999999,True,2258
TP,1.4,1.09155,1.09177,1.0912420000000003,True,2259
BE,0.0,1.0913,1.09207,1.0902219999999998,True,2260
TIME_EXIT,0.7319587628863596,1.08955,1.0905200000000004,1.0881919999999996,True,2261
BE,0.0,1.08649,1.0869900000000001,1.0857899999999998,True,2262
TP,1.4,1.085,1.0852800000000002,1.0846079999999998,True,2263
TP,1.4,1.08447,1.0853400000000002,1.0832519999999999,True,2264
SL,-1.0,1.08174,1.08213,1.0811939999999998,False,2265
TIME_EXIT,0.48648648648641,1.07847,1.0788400000000002,1.0779519999999998,True,2266
TIME_EXIT,-0.9324324324324138,1.08195,1.0826900000000002,1.080914,False,2267
TIME_EXIT,1.0636363636359767,1.083,1.0841000000000003,1.0814599999999996,True,2268
TIME_EXIT,-0.7837837837834938,1.0816,1.0827100000000005,1.080045999999999,False,2269
TP,1.4,1.08056,1.0810400000000002,1.0798879999999997,True,2270
BE,0.0,1.08332,1.0838800000000004,1.0825359999999997,True,2271
TP,1.4,1.08707,1.0874100000000002,1.0865939999999996,True,2272
