month,model,sample,auditables,PF,expectancy,winrate,total_R,delta_vs_original,pass
2017-05,19:00,20,16,2.3685176229404163,0.7373094610165136,62.5,11.796951376264218,2.9779584321954857,PASS
2017-05,19:45,20,16,1.9971707211354102,0.6528136973455612,56.25,10.445019157528979,1.6260262134602463,PASS
2017-05,20:00,20,16,2.00896369995012,0.6473117308389188,50.0,10.3569876934227,1.5379947493539685,PASS
2017-08,19:00,19,16,2.176468932711287,0.4987988409315749,31.25,7.980781454905198,2.5118441020742726,PASS
2017-08,19:45,19,16,1.9921356526572294,0.47903496292510833,31.25,7.664559406801733,2.1956220539708076,PASS
2017-08,20:00,19,16,1.9208333774915578,0.4618833430283763,31.25,7.390133488454021,1.921196135623095,PASS
2020-04,19:00,19,15,0.8475591904679233,-0.14199713451214574,46.666666666666664,-2.129957017682186,-14.616146297759512,FAIL
2020-04,19:45,19,15,0.6789161300105176,-0.3480334854067671,53.333333333333336,-5.220502281101506,-17.706691561178832,FAIL
2020-04,20:00,19,14,0.9412067018692098,-0.053733637510206864,57.14285714285714,-0.7522709251428961,-13.238460205220223,FAIL
2024-10,19:00,22,20,5.466435617341343,0.558859811992199,50.0,11.177196239843981,-0.06322849889925841,PASS
2024-10,19:45,22,20,4.3447775794076335,0.5294297526444709,45.0,10.588595052889419,-0.6518296858538211,PASS
2024-10,20:00,22,20,3.5954781898125665,0.5097279355274666,45.0,10.194558710549332,-1.0458660281939078,PASS
