trade_id,month,date,direction,entry_time_ny,exit_time_ny,entry_price_bar,entry_price_tick_side,sl,tp,be_trigger,bar_outcome,tick_outcome,bar_R,tick_R,first_touch,first_touch_time,auditable_yes_no,match_status,non_auditable_reason
2151,2024-05,2024-05-01,SHORT,2024-05-01T13:15:00+00:00,2024-05-01T13:30:00+00:00,1.06808,1.06842,1.06808,1.0673099999999995,1.0676429999999997,BE,SL,0.0,-1.0,STOP,2024-05-01T13:15:02.552000+00:00,YES,MISMATCH,
2152,2024-05,2024-05-02,SHORT,2024-05-02T12:03:00+00:00,2024-05-02T15:15:00+00:00,1.06965,1.07014,1.06965,1.0673119999999996,1.0681603999999998,BE,SL,0.0,-1.0,STOP,2024-05-02T12:03:03.334000+00:00,YES,MISMATCH,
2153,2024-05,2024-05-03,SHORT,2024-05-03T11:39:00+00:00,2024-05-03T12:18:00+00:00,1.07453,1.0747,1.07506,1.0737879999999995,1.0740615999999996,SL,FORCED_CLOSE,-1.0,-0.5000000000003084,NONE,,YES,MISMATCH,
2154,2024-05,2024-05-06,LONG,2024-05-06T12:00:00+00:00,2024-05-06T12:18:00+00:00,1.0775,1.07726,1.0775,1.078032,1.0778004,TP,SL,1.4,-1.0,STOP,2024-05-06T12:00:03.651000+00:00,YES,MISMATCH,
2155,2024-05,2024-05-07,LONG,2024-05-07T13:06:00+00:00,2024-05-07T13:51:00+00:00,1.078,1.07778,1.078,1.0789660000000003,1.0786102000000002,BE,SL,0.0,-1.0,STOP,2024-05-07T13:06:00.648000+00:00,YES,MISMATCH,
2156,2024-05,2024-05-08,LONG,2024-05-08T15:36:00+00:00,2024-05-08T16:12:00+00:00,1.07511,1.07487,1.07511,1.0762160000000005,1.0758122000000003,BE,SL,0.0,-1.0,STOP,2024-05-08T15:36:01.121000+00:00,YES,MISMATCH,
2157,2024-05,2024-05-09,LONG,2024-05-09T12:03:00+00:00,2024-05-09T12:24:00+00:00,1.07325,1.07299,1.07325,1.0741600000000004,1.0738090000000002,BE,SL,0.0,-1.0,STOP,2024-05-09T12:03:00.126000+00:00,YES,MISMATCH,
2158,2024-05,2024-05-10,SHORT,2024-05-10T12:33:00+00:00,2024-05-10T13:12:00+00:00,1.07749,1.07782,1.07749,1.076468,1.0768736,BE,SL,0.0,-1.0,STOP,2024-05-10T12:33:01.112000+00:00,YES,MISMATCH,
2159,2024-05,2024-05-13,LONG,2024-05-13T13:12:00+00:00,2024-05-13T14:06:00+00:00,1.08013,1.07992,1.08013,1.0809000000000004,1.0806060000000004,BE,SL,0.0,-1.0,STOP,2024-05-13T13:12:00.129000+00:00,YES,MISMATCH,
2160,2024-05,2024-05-14,SHORT,2024-05-14T11:06:00+00:00,2024-05-14T12:03:00+00:00,1.07959,1.07974,1.07959,1.0790299999999995,1.0792429999999995,BE,SL,0.0,-1.0,STOP,2024-05-14T11:06:01.041000+00:00,YES,MISMATCH,
2161,2024-05,2024-05-15,LONG,2024-05-15T11:54:00+00:00,2024-05-15T12:30:00+00:00,1.08279,1.08243,1.08279,1.0837840000000003,1.0833778000000003,TP,SL,1.4,-1.0,STOP,2024-05-15T11:54:15.875000+00:00,YES,MISMATCH,
2162,2024-05,2024-05-16,LONG,2024-05-16T12:18:00+00:00,2024-05-16T12:33:00+00:00,1.08699,1.08661,1.08699,1.088432,1.0878854,BE,SL,0.0,-1.0,STOP,2024-05-16T12:18:00.780000+00:00,YES,MISMATCH,
2163,2024-05,2024-05-17,LONG,2024-05-17T11:12:00+00:00,2024-05-17T12:12:00+00:00,1.08401,1.08387,1.08401,1.08478,1.084507,BE,SL,0.0,-1.0,STOP,2024-05-17T11:12:12.652000+00:00,YES,MISMATCH,
2164,2024-05,2024-05-20,SHORT,2024-05-20T11:09:00+00:00,2024-05-20T11:36:00+00:00,1.0865,1.08677,1.0865,1.0854359999999998,1.0858362,BE,SL,0.0,-1.0,STOP,2024-05-20T11:09:00.481000+00:00,YES,MISMATCH,
2165,2024-05,2024-05-21,SHORT,2024-05-21T13:00:00+00:00,2024-05-21T14:39:00+00:00,1.0845,1.08572,1.08614,1.082204,1.0832587999999999,SL,FORCED_CLOSE,-1.0,-0.619047619047317,NONE,,YES,MISMATCH,
2166,2024-05,2024-05-22,SHORT,2024-05-22T17:27:00+00:00,2024-05-22T18:00:00+00:00,1.08416,1.08429,1.08416,1.0832779999999995,1.0835815999999996,TP,SL,1.4,-1.0,STOP,2024-05-22T17:27:06.430000+00:00,YES,MISMATCH,
2167,2024-05,2024-05-23,LONG,2024-05-23T11:33:00+00:00,2024-05-23T12:45:00+00:00,1.08477,1.08445,1.08477,1.0855680000000003,1.0852326,BE,SL,0.0,-1.0,STOP,2024-05-23T11:33:00.216000+00:00,YES,MISMATCH,
2168,2024-05,2024-05-24,SHORT,2024-05-24T16:48:00+00:00,2024-05-26T21:00:00+00:00,1.08485,1.08495,1.08485,1.083408,1.0838706,BE,SL,0.0,-1.0,STOP,2024-05-24T16:48:08.628000+00:00,YES,MISMATCH,
