trade_id,month,date,direction,entry_time_ny,exit_time_ny,entry_price_bar,nearest_bid,nearest_ask,spread_entry,sl,tp,risk,be_trigger_price,be_trigger_touched,be_trigger_time,be_stop_price,bar_outcome,tick_outcome,bar_R,tick_R,first_touch,first_touch_time,auditable_yes_no,match_status,notes,non_auditable_reason,entry_diff
2314,2025-01,2025-01-10,SHORT,2025-01-10T13:30:00+00:00,2025-01-10T13:42:00+00:00,1.02463,1.03046,1.03063,1.7000000000000348,1.0371100000000002,1.0211499999999996,0.0066500000000002,1.0277999999999998,True,2025-01-10T13:30:01.220000+00:00,1.03046,SL,FORCED_CLOSE,0.0,0.9804511278194982,TIME,2025-01-10T13:42:00.151000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.006650,,0.005830000000000002
2176,2024-06,2024-06-07,SHORT,2024-06-07T12:30:00+00:00,2024-06-10T00:00:00+00:00,1.08393,1.08966,1.08982,1.5999999999993797,1.0959500000000002,1.080854,0.0062900000000001,1.087144,True,2024-06-07T12:30:02.228000+00:00,1.08966,FORCED_CLOSE,TP,0.950715,1.4,TP,2024-06-07T15:08:02.419000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.006290,,0.005730000000000013
2219,2024-08,2024-08-15,SHORT,2024-08-15T12:30:00+00:00,2024-08-15T14:15:00+00:00,1.09728,1.10114,1.10124,0.99999999999989,1.1053800000000005,1.0952039999999996,0.0042400000000002,1.099444,True,2024-08-15T12:30:12.999000+00:00,1.10114,SL,TP,0.0,1.4,TP,2024-08-15T12:56:55.829000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.004240,,0.0038599999999999746
2283,2024-11,2024-11-15,SHORT,2024-11-15T13:30:00+00:00,2024-11-15T17:00:00+00:00,1.0556,1.0584,1.05843,0.2999999999997449,1.0622,1.05308,0.0038,1.05688,True,2024-11-15T13:30:05.218000+00:00,1.0584,SL,BE,0.0,0.0,STOP,2024-11-15T13:30:09.488000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.003800,,0.0027999999999999137
2312,2025-01,2025-01-07,SHORT,2025-01-07T15:00:00+00:00,2025-01-07T15:48:00+00:00,1.03673,1.03929,1.03936,0.700000000000145,1.0419500000000004,1.0355659999999995,0.0026600000000003,1.038226,True,2025-01-07T15:00:00.489000+00:00,1.03929,SL,TP,0.0,1.4,TP,2025-01-07T15:47:48.630000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.002660,,0.0025600000000001177
2351,2025-03,2025-03-05,LONG,2025-03-05T14:03:00+00:00,2025-03-05T14:39:00+00:00,1.07377,1.07157,1.07162,0.5000000000010552,1.0691199999999998,1.07512,0.0025000000000001,1.07262,True,2025-03-05T14:05:15.589000+00:00,1.07162,TP,TP,1.4,1.4,TP,2025-03-05T14:29:24.998000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.002500,,0.0021999999999999797
2281,2024-11,2024-11-13,SHORT,2024-11-13T15:06:00+00:00,2024-11-14T01:00:00+00:00,1.056,1.05779,1.05782,0.2999999999997449,1.0594600000000003,1.0554519999999996,0.0016700000000002,1.057122,True,2024-11-13T15:06:38.284000+00:00,1.05779,FORCED_CLOSE,BE,-0.023121,0.0,STOP,2024-11-13T15:30:56.290000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.001670,,0.0017899999999999583
2183,2024-06,2024-06-18,LONG,2024-06-18T12:30:00+00:00,2024-06-18T14:27:00+00:00,1.07308,1.07139,1.07147,0.7999999999985796,1.0693499999999996,1.0744380000000004,0.0021200000000003,1.072318,True,2024-06-18T12:30:04.642000+00:00,1.07147,TP,TP,1.4,1.4,TP,2024-06-18T13:47:23.791000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.002120,,0.0016899999999999693
2214,2024-08,2024-08-08,SHORT,2024-08-08T12:30:00+00:00,2024-08-08T13:48:00+00:00,1.09119,1.09284,1.0929,0.5999999999994898,1.0950000000000002,1.089816,0.0021600000000001,1.091976,True,2024-08-08T12:31:11.675000+00:00,1.09284,TP,TP,1.4,1.4,TP,2024-08-08T12:47:34.411000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.002160,,0.0016499999999999293
2323,2025-01,2025-01-23,SHORT,2025-01-23T16:09:00+00:00,2025-01-23T17:42:00+00:00,1.0383,1.03971,1.03975,0.4000000000004,1.043,1.0351039999999998,0.00329,1.0383939999999998,True,2025-01-23T16:11:40.244000+00:00,1.03971,SL,BE,-1.0,0.0,STOP,2025-01-23T16:14:07.110000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.003290,,0.0014099999999999113
2151,2024-05,2024-05-01,SHORT,2024-05-01T13:15:00+00:00,2024-05-01T13:30:00+00:00,1.06808,1.06842,1.06845,0.2999999999997449,1.0689700000000002,1.0676499999999995,0.0005500000000002,1.0681999999999998,True,2024-05-01T13:16:56.892000+00:00,1.06842,SL,TP,0.0,1.4,TP,2024-05-01T13:24:57.610000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000550,,0.00034000000000000696
2154,2024-05,2024-05-06,LONG,2024-05-06T12:00:00+00:00,2024-05-06T12:18:00+00:00,1.0775,1.07724,1.07726,0.2000000000013102,1.07688,1.077792,0.00038,1.077412,True,2024-05-06T12:02:30.248000+00:00,1.07726,TP,TP,1.4,1.4,TP,2024-05-06T12:13:15.923000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000380,,0.00025999999999992696
2158,2024-05,2024-05-10,SHORT,2024-05-10T12:33:00+00:00,2024-05-10T13:12:00+00:00,1.07749,1.07782,1.07784,0.1999999999990898,1.07855,1.076798,0.0007300000000001,1.077528,True,2024-05-10T12:35:52.262000+00:00,1.07782,SL,TP,0.0,1.4,TP,2024-05-10T12:45:59.831000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000730,,0.00032999999999994145
2161,2024-05,2024-05-15,LONG,2024-05-15T11:54:00+00:00,2024-05-15T12:30:00+00:00,1.08279,1.08241,1.08243,0.1999999999990898,1.0817199999999998,1.0834240000000004,0.0007100000000002,1.0827140000000002,True,2024-05-15T11:55:41.230000+00:00,1.08243,TP,TP,1.4,1.4,TP,2024-05-15T12:05:49.054000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000710,,0.0003799999999998249
2165,2024-05,2024-05-21,SHORT,2024-05-21T13:00:00+00:00,2024-05-21T14:39:00+00:00,1.0845,1.08572,1.08573,0.1000000000006551,1.08614,1.085132,0.00042,1.085552,True,2024-05-21T13:00:02.495000+00:00,1.08572,SL,TP,-1.0,1.4,TP,2024-05-21T13:00:04.427000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000420,,0.0012199999999999989
2167,2024-05,2024-05-23,LONG,2024-05-23T11:33:00+00:00,2024-05-23T12:45:00+00:00,1.08477,1.08444,1.08445,0.0999999999984346,1.0838799999999995,1.085248,0.0005700000000001,1.084678,True,2024-05-23T11:34:13.578000+00:00,1.08445,SL,TP,0.0,1.4,TP,2024-05-23T11:59:04.544000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000570,,0.00032999999999994145
