trade_id,month_A,direction_A,entry_time_ny_A,historical_entry_A,executable_entry_A,entry_diff_pips_A,sl_A,tp_A,be_trigger_A,be_stop_A,tick_outcome_A,tick_R_A,first_touch_time_A,auditable_yes_no_A,notes_A,month_B,direction_B,entry_time_ny_B,historical_entry_B,executable_entry_B,entry_diff_pips_B,sl_B,tp_B,be_trigger_B,be_stop_B,tick_outcome_B,tick_R_B,first_touch_time_B,auditable_yes_no_B,notes_B,B_minus_A,changed_outcome
2151,2024-05,SHORT,2024-05-01T13:15:00+00:00,1.06808,1.06808,0.0,1.0689700000000002,1.0673099999999995,1.0678599999999998,1.06808,FORCED_CLOSE,0.1454545454542343,2024-05-01T13:30:00.122000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,SHORT,2024-05-01T13:15:00+00:00,1.06808,1.06842,3.4000000000000696,1.0689700000000002,1.0676499999999995,1.0681999999999998,1.06842,TP,1.4,2024-05-01T13:24:57.610000+00:00,YES,Audit Phase 50O-B: Model B,1.2545454545457657,True
2152,2024-05,SHORT,2024-05-02T12:03:00+00:00,1.06965,1.06965,0.0,1.0718100000000004,1.0673119999999998,1.068982,1.06965,FORCED_CLOSE,0.07185628742508,2024-05-02T15:15:02.372000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,SHORT,2024-05-02T12:03:00+00:00,1.06965,1.07014,4.900000000001015,1.0718100000000004,1.067802,1.069472,1.07014,BE,0.0,2024-05-02T12:35:13.312000+00:00,YES,Audit Phase 50O-B: Model B,-0.07185628742508,True
2153,2024-05,SHORT,2024-05-03T11:39:00+00:00,1.07453,1.07453,0.0,1.07506,1.074026,1.074386,1.07453,BE,0.0,2024-05-03T12:10:32.893000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,SHORT,2024-05-03T11:39:00+00:00,1.07453,1.0747,1.7000000000000348,1.07506,1.0741960000000002,1.074556,1.0747,BE,0.0,2024-05-03T11:48:14.842000+00:00,YES,Audit Phase 50O-B: Model B,0.0,False
2154,2024-05,LONG,2024-05-06T12:00:00+00:00,1.0775,1.0775,0.0,1.07688,1.078032,1.0776519999999998,1.0775,FORCED_CLOSE,1.02631578947398,2024-05-06T12:18:00.092000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,LONG,2024-05-06T12:00:00+00:00,1.0775,1.07726,2.3999999999979598,1.07688,1.077792,1.077412,1.07726,TP,1.4,2024-05-06T12:13:15.923000+00:00,YES,Audit Phase 50O-B: Model B,0.37368421052601986,True
2155,2024-05,LONG,2024-05-07T13:06:00+00:00,1.078,1.078,0.0,1.0770899999999997,1.0789660000000003,1.0782760000000002,1.078,FORCED_CLOSE,0.2318840579708238,2024-05-07T13:51:00.231000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,LONG,2024-05-07T13:06:00+00:00,1.078,1.07778,2.20000000000109,1.0770899999999997,1.0787460000000004,1.078056,1.07778,FORCED_CLOSE,0.5507246376809881,2024-05-07T13:51:00.231000+00:00,YES,Audit Phase 50O-B: Model B,0.31884057971016433,False
2156,2024-05,LONG,2024-05-08T15:36:00+00:00,1.07511,1.07511,0.0,1.0740799999999997,1.0762160000000005,1.075426,1.07511,FORCED_CLOSE,0.1139240506327856,2024-05-08T16:12:00.890000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,LONG,2024-05-08T15:36:00+00:00,1.07511,1.07487,2.40000000000018,1.0740799999999997,1.0759760000000005,1.075186,1.07487,FORCED_CLOSE,0.4177215189871618,2024-05-08T16:12:00.890000+00:00,YES,Audit Phase 50O-B: Model B,0.3037974683543762,False
2157,2024-05,LONG,2024-05-09T12:03:00+00:00,1.07325,1.07325,0.0,1.0723399999999998,1.0741600000000002,1.0735100000000002,1.07325,FORCED_CLOSE,0.1999999999998822,2024-05-09T12:24:02.893000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,LONG,2024-05-09T12:03:00+00:00,1.07325,1.07299,2.5999999999992696,1.0723399999999998,1.0739000000000003,1.0732500000000005,1.07299,FORCED_CLOSE,0.5999999999996468,2024-05-09T12:24:02.893000+00:00,YES,Audit Phase 50O-B: Model B,0.39999999999976465,False
2158,2024-05,SHORT,2024-05-10T12:33:00+00:00,1.07749,1.07749,0.0,1.07855,1.076468,1.077198,1.07749,FORCED_CLOSE,0.1780821917807475,2024-05-10T13:12:00.535000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,SHORT,2024-05-10T12:33:00+00:00,1.07749,1.07782,3.2999999999994145,1.07855,1.076798,1.077528,1.07782,TP,1.4,2024-05-10T12:45:59.831000+00:00,YES,Audit Phase 50O-B: Model B,1.2219178082192523,True
2159,2024-05,LONG,2024-05-13T13:12:00+00:00,1.08013,1.08013,0.0,1.0793699999999995,1.0809000000000004,1.08035,1.08013,FORCED_CLOSE,0.163636363636165,2024-05-13T14:06:00.119000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,LONG,2024-05-13T13:12:00+00:00,1.08013,1.07992,2.100000000000435,1.0793699999999995,1.0806900000000004,1.08014,1.07992,FORCED_CLOSE,0.5454545454542871,2024-05-13T14:06:00.119000+00:00,YES,Audit Phase 50O-B: Model B,0.3818181818181221,False
2160,2024-05,SHORT,2024-05-14T11:06:00+00:00,1.07959,1.07959,0.0,1.08014,1.07903,1.07943,1.07959,FORCED_CLOSE,0.1499999999998349,2024-05-14T12:03:00.351000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,SHORT,2024-05-14T11:06:00+00:00,1.07959,1.07974,1.4999999999987246,1.08014,1.0791799999999998,1.07958,1.07974,BE,0.0,2024-05-14T11:11:25.544000+00:00,YES,Audit Phase 50O-B: Model B,-0.1499999999998349,True
2161,2024-05,LONG,2024-05-15T11:54:00+00:00,1.08279,1.08279,0.0,1.0817199999999998,1.0837840000000003,1.083074,1.08279,FORCED_CLOSE,0.1267605633804509,2024-05-15T12:30:00.006000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,LONG,2024-05-15T11:54:00+00:00,1.08279,1.08243,3.5999999999991594,1.0817199999999998,1.0834240000000004,1.0827140000000002,1.08243,TP,1.4,2024-05-15T12:05:49.054000+00:00,YES,Audit Phase 50O-B: Model B,1.273239436619549,True
2162,2024-05,LONG,2024-05-16T12:18:00+00:00,1.08699,1.08699,0.0,1.08558,1.0884319999999998,1.087402,1.08699,BE,0.0,2024-05-16T12:30:32.962000+00:00,YES,Audit Phase 50O-B: Model A,2024-05,LONG,2024-05-16T12:18:00+00:00,1.08699,1.08661,3.799999999998249,1.08558,1.088052,1.0870220000000002,1.08661,BE,0.0,2024-05-16T12:30:42.921000+00:00,YES,Audit Phase 50O-B: Model B,0.0,False
