year,BE,FORCED_CLOSE,SL,TP
2015,115,8,32,70
2016,132,9,27,73
2017,115,6,35,66
2018,111,7,39,75
2019,106,8,38,69
2020,116,7,34,72
2021,113,13,33,73
2022,125,5,30,78
2023,117,14,33,68
2024,116,14,37,71
2025,121,6,48,62
2026,42,3,9,24
