outcome,R,entry_p,exit_p,entry_ts,exit_ts,be_activated,sl_price,tp_price,be_trigger_price,log_events,trade_id,month
BE,-0.2,1.06823,1.06823,2024-05-01 13:16:00.734000+00:00,2024-05-01 13:30:47.060000+00:00,True,1.06878,1.06746,1.06801,"[{'ts': Timestamp('2024-05-01 13:19:39.778000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.06801}]",2151,2024_05
BE,-0.2,1.07016,1.07016,2024-05-02 12:04:00.082000+00:00,2024-05-02 12:35:13.468000+00:00,True,1.07183,1.067822,1.069492,"[{'ts': Timestamp('2024-05-02 12:31:38.483000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.06949}]",2152,2024_05
BE,-0.2,1.07455,1.07455,2024-05-03 11:40:00.149000+00:00,2024-05-03 12:10:33.509000+00:00,True,1.07491,1.074046,1.074406,"[{'ts': Timestamp('2024-05-03 12:10:09.293000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0744}]",2153,2024_05
TP,1.2,1.07739,1.077922,2024-05-06 12:01:00.248000+00:00,2024-05-06 12:14:38.279000+00:00,True,1.07701,1.077922,1.077542,"[{'ts': Timestamp('2024-05-06 12:03:40.523000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07756}]",2154,2024_05
TIME_EXIT,0.2347826086956043,1.07788,1.07818,2024-05-07 13:07:01.117000+00:00,2024-05-07 14:05:58.908000+00:00,True,1.07719,1.078846,1.078156,"[{'ts': Timestamp('2024-05-07 13:32:10.734000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07816}]",2155,2024_05
BE,-0.2,1.07495,1.07495,2024-05-08 15:37:01.447000+00:00,2024-05-08 16:23:44.164000+00:00,True,1.07416,1.076056,1.075266,"[{'ts': Timestamp('2024-05-08 15:45:36.075000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07527}]",2156,2024_05
BE,-0.2,1.07317,1.07317,2024-05-09 12:04:02.438000+00:00,2024-05-09 12:28:32.609000+00:00,True,1.07252,1.07408,1.07343,"[{'ts': Timestamp('2024-05-09 12:22:30.004000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07343}]",2157,2024_05
TP,1.2,1.07771,1.076688,2024-05-10 12:34:00.389000+00:00,2024-05-10 12:52:01.667000+00:00,True,1.07844,1.076688,1.077418,"[{'ts': Timestamp('2024-05-10 12:36:51.318000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0774}]",2158,2024_05
BE,-0.2,1.07996,1.07996,2024-05-13 13:13:00.109000+00:00,2024-05-13 14:08:03.580000+00:00,True,1.07941,1.08073,1.08018,"[{'ts': Timestamp('2024-05-13 13:15:01.678000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.0802}]",2159,2024_05
BE,-0.2,1.07963,1.07963,2024-05-14 11:07:00.077000+00:00,2024-05-14 12:04:32.947000+00:00,True,1.08003,1.07907,1.07947,"[{'ts': Timestamp('2024-05-14 11:52:56.666000+0000', tz='UTC'), 'event': 'BE_TRIGGERED', 'price': 1.07947}]",2160,2024_05
