trade_id,month,date,direction,entry_time_ny,exit_time_ny,entry_price_bar,nearest_bid,nearest_ask,spread_entry,sl,tp,risk,be_trigger_price,be_trigger_touched,be_trigger_time,be_stop_price,bar_outcome,tick_outcome,bar_R,tick_R,first_touch,first_touch_time,auditable_yes_no,match_status,notes,non_auditable_reason
2151,2024-05,2024-05-01,SHORT,2024-05-01T13:15:00+00:00,2024-05-01T13:30:00+00:00,1.06808,1.06842,1.06845,0.2999999999997449,1.0689700000000002,1.0676499999999995,0.0005500000000002,1.0681999999999998,True,2024-05-01T13:16:56.892000+00:00,1.06842,SL,TP,0.0,1.4,TP,2024-05-01T13:24:57.610000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000550,
2152,2024-05,2024-05-02,SHORT,2024-05-02T12:03:00+00:00,2024-05-02T15:15:00+00:00,1.06965,1.07014,1.07016,0.1999999999990898,1.0718100000000004,1.067802,0.0016700000000002,1.069472,True,2024-05-02T12:31:39.358000+00:00,1.07014,SL,BE,0.0,0.0,STOP,2024-05-02T12:35:13.312000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.001670,
2153,2024-05,2024-05-03,SHORT,2024-05-03T11:39:00+00:00,2024-05-03T12:18:00+00:00,1.07453,1.0747,1.07471,0.10000000000065512,1.07506,1.0741960000000002,0.00035999999999991594,1.074556,True,2024-05-03T11:39:40.928000+00:00,1.0747,SL,BE,-1.0,0.0,STOP,2024-05-03T11:48:14.842000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000360,
2154,2024-05,2024-05-06,LONG,2024-05-06T12:00:00+00:00,2024-05-06T12:18:00+00:00,1.0775,1.07724,1.07726,0.20000000000131024,1.07688,1.077792,0.00038,1.077412,True,2024-05-06T12:02:30.248000+00:00,1.07726,TP,TP,1.4,1.4,TP,2024-05-06T12:13:15.923000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000380,
2155,2024-05,2024-05-07,LONG,2024-05-07T13:06:00+00:00,2024-05-07T13:51:00+00:00,1.078,1.07777,1.07778,0.10000000000065512,1.0770899999999997,1.0787460000000004,0.0006900000000003,1.0780560000000001,True,2024-05-07T13:30:15.968000+00:00,1.07778,SL,FORCED_CLOSE,0.0,0.5507246376809881,TIME,2024-05-07T13:51:00.231000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000690,
2156,2024-05,2024-05-08,LONG,2024-05-08T15:36:00+00:00,2024-05-08T16:12:00+00:00,1.07511,1.07485,1.07487,0.1999999999990898,1.0740799999999997,1.0759760000000003,0.0007900000000002,1.075186,True,2024-05-08T15:45:30.284000+00:00,1.07487,SL,FORCED_CLOSE,0.0,0.41772151898716187,TIME,2024-05-08T16:12:00.890000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000790,
2157,2024-05,2024-05-09,LONG,2024-05-09T12:03:00+00:00,2024-05-09T12:24:00+00:00,1.07325,1.07298,1.07299,0.10000000000065512,1.0723399999999998,1.0739000000000003,0.0006500000000002,1.0732500000000003,True,2024-05-09T12:06:17.684000+00:00,1.07299,SL,FORCED_CLOSE,0.0,0.5999999999996468,TIME,2024-05-09T12:24:02.893000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000650,
2158,2024-05,2024-05-10,SHORT,2024-05-10T12:33:00+00:00,2024-05-10T13:12:00+00:00,1.07749,1.07782,1.07784,0.1999999999990898,1.0785500000000001,1.076798,0.0007300000000001,1.077528,True,2024-05-10T12:35:52.262000+00:00,1.07782,SL,TP,0.0,1.4,TP,2024-05-10T12:45:59.831000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000730,
2159,2024-05,2024-05-13,LONG,2024-05-13T13:12:00+00:00,2024-05-13T14:06:00+00:00,1.08013,1.0799,1.07992,0.1999999999990898,1.0793699999999997,1.0806900000000004,0.0005500000000002,1.08014,True,2024-05-13T13:15:01.623000+00:00,1.07992,SL,FORCED_CLOSE,0.0,0.5454545454542871,TIME,2024-05-13T14:06:00.119000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000550,
2160,2024-05,2024-05-14,SHORT,2024-05-14T11:06:00+00:00,2024-05-14T12:03:00+00:00,1.07959,1.07974,1.07975,0.10000000000065512,1.08014,1.0791799999999998,0.0004000000000001,1.07958,True,2024-05-14T11:09:03.883000+00:00,1.07974,SL,BE,0.0,0.0,STOP,2024-05-14T11:11:25.544000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000400,
2161,2024-05,2024-05-15,LONG,2024-05-15T11:54:00+00:00,2024-05-15T12:30:00+00:00,1.08279,1.08241,1.08243,0.1999999999990898,1.0817199999999998,1.0834240000000004,0.0007100000000002,1.0827140000000002,True,2024-05-15T11:55:41.230000+00:00,1.08243,TP,TP,1.4,1.4,TP,2024-05-15T12:05:49.054000+00:00,YES,MATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000710,
2162,2024-05,2024-05-16,LONG,2024-05-16T12:18:00+00:00,2024-05-16T12:33:00+00:00,1.08699,1.0866,1.08661,0.10000000000065512,1.08558,1.088052,0.00103,1.0870220000000002,True,2024-05-16T12:30:04.989000+00:00,1.08661,SL,BE,0.0,0.0,STOP,2024-05-16T12:30:42.921000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.001030,
2163,2024-05,2024-05-17,LONG,2024-05-17T11:12:00+00:00,2024-05-17T12:12:00+00:00,1.08401,1.08385,1.08387,0.1999999999990898,1.0833199999999998,1.0846399999999998,0.00055,1.08409,True,2024-05-17T11:23:12.728000+00:00,1.08387,SL,FORCED_CLOSE,0.0,0.3636363636367273,TIME,2024-05-17T12:12:00.123000+00:00,YES,MISMATCH,Corrected BE model: Trigger 0.4R -> Stop 0.0R. Initial Risk: 0.000550,
