trade_id,entry_time_ny,direction,bar_outcome,tick_outcome_before_repair,tick_outcome_after_repair,match_before_repair,match_after_repair,diff_bid_pips,diff_ask_pips,first_touch_time,reclassified
2310,2025-01-02T08:00:00-05:00,SHORT,BE,SL,BE,False,True,3.1,3.3,2025-01-02T09:21:29.062000-05:00,True
2311,2025-01-03T10:12:00-05:00,SHORT,BE,SL,BE,False,True,9.7,10.0,2025-01-03T10:59:51.833000-05:00,True
2312,2025-01-07T10:00:00-05:00,SHORT,BE,SL,SL,False,False,25.6,26.3,2025-01-07T10:00:00.317000-05:00,False
2313,2025-01-09T11:42:00-05:00,LONG,FORCED_CLOSE,NONE,NONE,False,False,-4.0,-3.8,,False
2314,2025-01-10T08:30:00-05:00,SHORT,BE,SL,BE,False,True,59.2,60.3,2025-01-10T08:44:20.433000-05:00,True
2315,2025-01-13T11:24:00-05:00,LONG,TP,SL,TP,False,True,-3.0,-2.8,2025-01-13T13:46:26.982000-05:00,True
2316,2025-01-14T07:45:00-05:00,LONG,BE,NONE,NONE,False,False,4.9,5.2,,False
2317,2025-01-15T10:00:00-05:00,SHORT,BE,SL,BE,False,True,8.4,8.6,2025-01-15T10:10:48.197000-05:00,True
2318,2025-01-16T08:06:00-05:00,SHORT,BE,SL,BE,False,True,4.1,4.4,2025-01-16T08:32:20.293000-05:00,True
2319,2025-01-17T09:48:00-05:00,LONG,BE,SL,BE,False,True,-9.5,-9.4,2025-01-17T10:52:40.891000-05:00,True
2320,2025-01-20T07:27:00-05:00,SHORT,SL,BE,BE,False,False,3.1,3.3,2025-01-20T08:30:02.967000-05:00,False
2321,2025-01-21T12:57:00-05:00,SHORT,SL,SL,SL,True,True,5.5,5.7,2025-01-21T13:35:11.790000-05:00,False
2322,2025-01-22T08:36:00-05:00,SHORT,BE,SL,BE,False,True,7.4,7.7,2025-01-22T09:51:16.220000-05:00,True
2323,2025-01-23T11:09:00-05:00,SHORT,SL,SL,SL,True,True,14.0,14.4,2025-01-23T12:42:43.356000-05:00,False
2324,2025-01-24T12:48:00-05:00,SHORT,TP,SL,TP,False,True,3.0,3.3,2025-01-24T14:11:02.552000-05:00,True
2325,2025-01-27T07:00:00-05:00,LONG,BE,SL,BE,False,True,-5.2,-4.8,2025-01-27T08:00:26.814000-05:00,True
2326,2025-01-28T07:00:00-05:00,SHORT,BE,SL,BE,False,True,2.4,2.6,2025-01-28T07:13:13.753000-05:00,True
2327,2025-01-29T08:06:00-05:00,SHORT,TP,NONE,NONE,False,False,7.0,7.3,,False
2328,2025-01-30T07:27:00-05:00,LONG,TP,SL,TP,False,True,-2.8,-2.4,2025-01-30T08:27:43.093000-05:00,True
2329,2025-01-31T07:18:00-05:00,LONG,BE,SL,BE,False,True,-3.5,-3.1,2025-01-31T07:28:25.657000-05:00,True
