model,trades,pf,expectancy,total_r,winrate
A,169,3.3176291479119997,0.30270412107619016,51.15699646187613,78.69822485207101
B,169,18.105842281109833,0.67817864521242,114.61219104089898,68.04733727810651
C,169,17.896892613748356,0.6698946215437529,113.21219104089424,67.45562130177515
D_0.1R,169,9.075268782293767,0.5781786452124199,97.71219104089897,68.04733727810651
D_0.2R,169,5.6091800791237265,0.47817864521242,80.81219104089898,67.45562130177515
D_0.3R,169,3.7710369183769483,0.37817864521241995,63.91219104089897,66.86390532544378
