trade_id,month,direction,entry_time_ny,historical_entry,executable_entry,entry_diff_pips,sl,tp,be_trigger,be_stop,tick_outcome,tick_R,first_touch_time,auditable_yes_no,notes
2151,2024-05,SHORT,2024-05-01T13:15:00+00:00,1.06808,1.06808,0.0,1.0689700000000002,1.0673099999999995,1.0678599999999998,1.06808,FORCED_CLOSE,0.14545454545423434,2024-05-01T13:30:00.122000+00:00,YES,Audit Phase 50O-B: Model A
2152,2024-05,SHORT,2024-05-02T12:03:00+00:00,1.06965,1.06965,0.0,1.0718100000000004,1.0673119999999998,1.0689819999999999,1.06965,FORCED_CLOSE,0.07185628742508,2024-05-02T15:15:02.372000+00:00,YES,Audit Phase 50O-B: Model A
2153,2024-05,SHORT,2024-05-03T11:39:00+00:00,1.07453,1.07453,0.0,1.07506,1.0740260000000001,1.074386,1.07453,BE,0.0,2024-05-03T12:10:32.893000+00:00,YES,Audit Phase 50O-B: Model A
2154,2024-05,LONG,2024-05-06T12:00:00+00:00,1.0775,1.0775,0.0,1.07688,1.0780319999999999,1.0776519999999998,1.0775,FORCED_CLOSE,1.02631578947398,2024-05-06T12:18:00.092000+00:00,YES,Audit Phase 50O-B: Model A
2155,2024-05,LONG,2024-05-07T13:06:00+00:00,1.078,1.078,0.0,1.0770899999999997,1.0789660000000005,1.0782760000000002,1.078,FORCED_CLOSE,0.2318840579708238,2024-05-07T13:51:00.231000+00:00,YES,Audit Phase 50O-B: Model A
2156,2024-05,LONG,2024-05-08T15:36:00+00:00,1.07511,1.07511,0.0,1.0740799999999997,1.0762160000000003,1.075426,1.07511,FORCED_CLOSE,0.11392405063278567,2024-05-08T16:12:00.890000+00:00,YES,Audit Phase 50O-B: Model A
2157,2024-05,LONG,2024-05-09T12:03:00+00:00,1.07325,1.07325,0.0,1.0723399999999998,1.0741600000000002,1.0735100000000002,1.07325,FORCED_CLOSE,0.19999999999988227,2024-05-09T12:24:02.893000+00:00,YES,Audit Phase 50O-B: Model A
2158,2024-05,SHORT,2024-05-10T12:33:00+00:00,1.07749,1.07749,0.0,1.07855,1.076468,1.077198,1.07749,FORCED_CLOSE,0.1780821917807475,2024-05-10T13:12:00.535000+00:00,YES,Audit Phase 50O-B: Model A
2159,2024-05,LONG,2024-05-13T13:12:00+00:00,1.08013,1.08013,0.0,1.0793699999999995,1.0809000000000004,1.0803500000000001,1.08013,FORCED_CLOSE,0.16363636363616502,2024-05-13T14:06:00.119000+00:00,YES,Audit Phase 50O-B: Model A
2160,2024-05,SHORT,2024-05-14T11:06:00+00:00,1.07959,1.07959,0.0,1.08014,1.07903,1.0794300000000001,1.07959,FORCED_CLOSE,0.14999999999983496,2024-05-14T12:03:00.351000+00:00,YES,Audit Phase 50O-B: Model A
2161,2024-05,LONG,2024-05-15T11:54:00+00:00,1.08279,1.08279,0.0,1.0817199999999998,1.0837840000000003,1.083074,1.08279,FORCED_CLOSE,0.12676056338045094,2024-05-15T12:30:00.006000+00:00,YES,Audit Phase 50O-B: Model A
2162,2024-05,LONG,2024-05-16T12:18:00+00:00,1.08699,1.08699,0.0,1.08558,1.0884319999999998,1.087402,1.08699,BE,0.0,2024-05-16T12:30:32.962000+00:00,YES,Audit Phase 50O-B: Model A
2163,2024-05,LONG,2024-05-17T11:12:00+00:00,1.08401,1.08401,0.0,1.0833199999999998,1.0847799999999999,1.08423,1.08401,FORCED_CLOSE,0.10909090909122005,2024-05-17T12:12:00.123000+00:00,YES,Audit Phase 50O-B: Model A
2164,2024-05,SHORT,2024-05-20T11:09:00+00:00,1.0865,1.0865,0.0,1.08753,1.085436,1.086196,1.0865,FORCED_CLOSE,0.24999999999988481,2024-05-20T11:36:01.469000+00:00,YES,Audit Phase 50O-B: Model A
2165,2024-05,SHORT,2024-05-21T13:00:00+00:00,1.0845,1.0845,0.0,1.08614,1.083912,1.084332,1.0845,BE,0.0,2024-05-21T13:02:47.482000+00:00,YES,Audit Phase 50O-B: Model A
2166,2024-05,SHORT,2024-05-22T17:27:00+00:00,1.08416,1.08416,0.0,1.08492,1.083278,1.0839079999999999,1.08416,FORCED_CLOSE,0.5238095238093478,2024-05-22T18:00:00.094000+00:00,YES,Audit Phase 50O-B: Model A
2167,2024-05,LONG,2024-05-23T11:33:00+00:00,1.08477,1.08477,0.0,1.0838799999999995,1.085568,1.0849980000000001,1.08477,FORCED_CLOSE,0.0701754385965491,2024-05-23T12:45:10.483000+00:00,YES,Audit Phase 50O-B: Model A
