direction,entry_time,exit_time,entry_price,exit_price,sl,tp,risk,status,be_triggered,outcome,r_result,entry_date,year,month,month_name,hour_ny,weekday
SHORT,2024-05-01 13:15:00+00:00,2024-05-01 13:30:00+00:00,1.06808,1.06808,1.06808,1.0673099999999995,0.0005500000000002,SL,True,BE,0.0,2024-05-01,2024,2024-05,Mayo,9,Miercoles
SHORT,2024-05-02 12:03:00+00:00,2024-05-02 15:15:00+00:00,1.06965,1.06965,1.06965,1.0673119999999996,0.0016700000000002,SL,True,BE,0.0,2024-05-02,2024,2024-05,Mayo,8,Jueves
SHORT,2024-05-03 11:39:00+00:00,2024-05-03 12:18:00+00:00,1.07453,1.07506,1.07506,1.0737879999999995,0.0005300000000001,SL,False,SL,-1.0,2024-05-03,2024,2024-05,Mayo,7,Viernes
LONG,2024-05-06 12:00:00+00:00,2024-05-06 12:18:00+00:00,1.0775,1.078032,1.0775,1.078032,0.00038,TP,True,TP,1.4,2024-05-06,2024,2024-05,Mayo,8,Lunes
LONG,2024-05-07 13:06:00+00:00,2024-05-07 13:51:00+00:00,1.078,1.078,1.078,1.0789660000000003,0.0006900000000003,SL,True,BE,0.0,2024-05-07,2024,2024-05,Mayo,9,Martes
LONG,2024-05-08 15:36:00+00:00,2024-05-08 16:12:00+00:00,1.07511,1.07511,1.07511,1.0762160000000005,0.0007900000000002,SL,True,BE,0.0,2024-05-08,2024,2024-05,Mayo,11,Miercoles
LONG,2024-05-09 12:03:00+00:00,2024-05-09 12:24:00+00:00,1.07325,1.07325,1.07325,1.0741600000000004,0.0006500000000002,SL,True,BE,0.0,2024-05-09,2024,2024-05,Mayo,8,Jueves
SHORT,2024-05-10 12:33:00+00:00,2024-05-10 13:12:00+00:00,1.07749,1.07749,1.07749,1.076468,0.0007300000000001,SL,True,BE,0.0,2024-05-10,2024,2024-05,Mayo,8,Viernes
LONG,2024-05-13 13:12:00+00:00,2024-05-13 14:06:00+00:00,1.08013,1.08013,1.08013,1.0809000000000004,0.0005500000000002,SL,True,BE,0.0,2024-05-13,2024,2024-05,Mayo,9,Lunes
SHORT,2024-05-14 11:06:00+00:00,2024-05-14 12:03:00+00:00,1.07959,1.07959,1.07959,1.0790299999999995,0.0004000000000001,SL,True,BE,0.0,2024-05-14,2024,2024-05,Mayo,7,Martes
LONG,2024-05-15 11:54:00+00:00,2024-05-15 12:30:00+00:00,1.08279,1.0837840000000003,1.08279,1.0837840000000003,0.0007100000000002,TP,True,TP,1.4,2024-05-15,2024,2024-05,Mayo,7,Miercoles
LONG,2024-05-16 12:18:00+00:00,2024-05-16 12:33:00+00:00,1.08699,1.08699,1.08699,1.088432,0.00103,SL,True,BE,0.0,2024-05-16,2024,2024-05,Mayo,8,Jueves
LONG,2024-05-17 11:12:00+00:00,2024-05-17 12:12:00+00:00,1.08401,1.08401,1.08401,1.08478,0.00055,SL,True,BE,0.0,2024-05-17,2024,2024-05,Mayo,7,Viernes
SHORT,2024-05-20 11:09:00+00:00,2024-05-20 11:36:00+00:00,1.0865,1.0865,1.0865,1.0854359999999998,0.00076,SL,True,BE,0.0,2024-05-20,2024,2024-05,Mayo,7,Lunes
SHORT,2024-05-21 13:00:00+00:00,2024-05-21 14:39:00+00:00,1.0845,1.08614,1.08614,1.082204,0.00164,SL,False,SL,-1.0,2024-05-21,2024,2024-05,Mayo,9,Martes
SHORT,2024-05-22 17:27:00+00:00,2024-05-22 18:00:00+00:00,1.08416,1.0832779999999995,1.08416,1.0832779999999995,0.0006300000000001,TP,True,TP,1.4,2024-05-22,2024,2024-05,Mayo,13,Miercoles
LONG,2024-05-23 11:33:00+00:00,2024-05-23 12:45:00+00:00,1.08477,1.08477,1.08477,1.0855680000000003,0.0005700000000001,SL,True,BE,0.0,2024-05-23,2024,2024-05,Mayo,7,Jueves
SHORT,2024-05-24 16:48:00+00:00,2024-05-26 21:00:00+00:00,1.08485,1.08485,1.08485,1.083408,0.00103,SL,True,BE,0.0,2024-05-24,2024,2024-05,Mayo,12,Viernes
LONG,2024-05-27 14:54:00+00:00,2024-05-28 00:00:00+00:00,1.08596,1.08624,1.08478,1.0876120000000002,0.0011800000000001,FORCED_CLOSE,False,FORCED_CLOSE,0.237288,2024-05-27,2024,2024-05,Mayo,10,Lunes
LONG,2024-05-28 11:03:00+00:00,2024-05-28 11:27:00+00:00,1.08839,1.08839,1.08839,1.0893280000000003,0.0006700000000001,SL,True,BE,0.0,2024-05-28,2024,2024-05,Mayo,7,Martes
SHORT,2024-05-29 14:21:00+00:00,2024-05-30 00:00:00+00:00,1.08231,1.07998,1.08231,1.0795659999999998,0.0019600000000001,FORCED_CLOSE,True,FORCED_CLOSE,1.188776,2024-05-29,2024,2024-05,Mayo,10,Miercoles
LONG,2024-05-30 12:30:00+00:00,2024-05-30 14:06:00+00:00,1.08227,1.0837820000000002,1.08227,1.0837820000000002,0.0010800000000001,TP,True,TP,1.4,2024-05-30,2024,2024-05,Mayo,8,Jueves
LONG,2024-05-31 11:03:00+00:00,2024-05-31 11:24:00+00:00,1.08523,1.08523,1.08523,1.085958,0.00052,SL,True,BE,0.0,2024-05-31,2024,2024-05,Mayo,7,Viernes
LONG,2024-06-03 11:00:00+00:00,2024-06-03 11:15:00+00:00,1.08388,1.084272,1.08388,1.084272,0.00028,TP,True,TP,1.4,2024-06-03,2024,2024-06,Junio,7,Lunes
SHORT,2024-06-06 11:03:00+00:00,2024-06-06 11:21:00+00:00,1.08743,1.0869399999999996,1.08743,1.0869399999999996,0.0003500000000002,TP,True,TP,1.4,2024-06-06,2024,2024-06,Junio,7,Jueves
SHORT,2024-06-07 12:30:00+00:00,2024-06-10 00:00:00+00:00,1.08393,1.07795,1.08393,1.075124,0.0062900000000001,FORCED_CLOSE,True,FORCED_CLOSE,0.950715,2024-06-07,2024,2024-06,Junio,8,Viernes
LONG,2024-06-10 11:06:00+00:00,2024-06-10 11:18:00+00:00,1.07396,1.0744920000000004,1.07396,1.0744920000000004,0.0003800000000002,TP,True,TP,1.4,2024-06-10,2024,2024-06,Junio,7,Lunes
SHORT,2024-06-11 11:09:00+00:00,2024-06-11 11:18:00+00:00,1.07357,1.0726179999999996,1.07357,1.0726179999999996,0.0006800000000002,TP,True,TP,1.4,2024-06-11,2024,2024-06,Junio,7,Martes
LONG,2024-06-12 13:24:00+00:00,2024-06-12 13:36:00+00:00,1.08308,1.08308,1.08308,1.0848860000000005,0.0012900000000002,SL,True,BE,0.0,2024-06-12,2024,2024-06,Junio,9,Miercoles
LONG,2024-06-13 12:18:00+00:00,2024-06-13 12:30:00+00:00,1.07896,1.07896,1.07896,1.08036,0.0010000000000001,SL,True,BE,0.0,2024-06-13,2024,2024-06,Junio,8,Jueves
SHORT,2024-06-14 13:09:00+00:00,2024-06-14 13:27:00+00:00,1.06857,1.0675059999999998,1.06857,1.0675059999999998,0.00076,TP,True,TP,1.4,2024-06-14,2024,2024-06,Junio,9,Viernes
LONG,2024-06-17 15:06:00+00:00,2024-06-17 15:39:00+00:00,1.07192,1.07192,1.07192,1.07262,0.0005000000000001,SL,True,BE,0.0,2024-06-17,2024,2024-06,Junio,11,Lunes
LONG,2024-06-18 12:30:00+00:00,2024-06-18 14:27:00+00:00,1.07308,1.0760480000000006,1.07308,1.0760480000000006,0.0021200000000003,TP,True,TP,1.4,2024-06-18,2024,2024-06,Junio,8,Martes
SHORT,2024-06-20 11:24:00+00:00,2024-06-20 11:42:00+00:00,1.0727,1.0727,1.0727,1.0718459999999996,0.0006100000000002,SL,True,BE,0.0,2024-06-20,2024,2024-06,Junio,7,Jueves
SHORT,2024-06-25 11:03:00+00:00,2024-06-25 11:33:00+00:00,1.07203,1.071344,1.07203,1.071344,0.0004900000000001,TP,True,TP,1.4,2024-06-25,2024,2024-06,Junio,7,Martes
LONG,2024-06-26 11:42:00+00:00,2024-06-26 11:57:00+00:00,1.06851,1.0694340000000004,1.06851,1.0694340000000004,0.0006600000000003,TP,True,TP,1.4,2024-06-26,2024,2024-06,Junio,7,Miercoles
LONG,2024-06-27 12:18:00+00:00,2024-06-27 12:36:00+00:00,1.07014,1.0714980000000005,1.07014,1.0714980000000005,0.0009700000000003,TP,True,TP,1.4,2024-06-27,2024,2024-06,Junio,8,Jueves
