month,total_R_net_FTMO,auditables,verdict,status
2015-08,11.6,19,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2015-09,0.82,20,NET_FTMO_FRAGILE,LEGACY_OR_CANONICAL
2015-12,7.54,18,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2016-01,3.37,19,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2016-02,4.61,20,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2016-03,1.57,17,NET_FTMO_FRAGILE,LEGACY_OR_CANONICAL
2016-04,1.91,19,NET_FTMO_FRAGILE,LEGACY_OR_CANONICAL
2016-05,7.99,22,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2016-07,-8.95,21,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2016-08,9.13,21,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2016-09,1.05,22,NET_FTMO_FRAGILE,LEGACY_OR_CANONICAL
2016-10,4.02,19,NET_FTMO_FRAGILE,LEGACY_OR_CANONICAL
2016-11,-0.31,22,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2016-12,0.72,21,NET_FTMO_FRAGILE,LEGACY_OR_CANONICAL
2017-01,-2.26,18,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2017-02,0.53,18,NET_FTMO_FRAGILE,LEGACY_OR_CANONICAL
2017-03,2.8,21,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2017-04,8.82,15,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2017-05,3.79,20,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2017-06,-1.42,19,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2017-07,2.02,18,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2017-08,11.12,15,INCONCLUSIVE_WITH_WARNINGS,LEGACY_OR_CANONICAL
2017-09,5.79,18,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2017-10,-3.28,19,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2017-11,2.15,18,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2017-12,2.51,19,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2018-01,9.72,19,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2018-02,2.43,19,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2018-03,0.5,21,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2018-04,-8.45,18,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2018-05,-2.15,20,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2018-06,5.19,21,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2018-07,3.7,20,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2018-08,2.84,21,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2018-09,12.72,16,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2018-10,1.43,20,NET_FTMO_FRAGILE,LEGACY_OR_CANONICAL
2018-11,-4.81,19,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2018-12,-1.36,18,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2019-01,4.8,19,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2019-02,-4.07,16,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2019-03,-4.65,19,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2019-04,-3.77,18,NET_FTMO_FAILS,LEGACY_OR_CANONICAL
2019-05,5.18,19,NET_FTMO_STRONG,LEGACY_OR_CANONICAL
2019-06,2.98,16,NET_FTMO_SURVIVES,LEGACY_OR_CANONICAL
2019-07,3.4324,19,NET_FTMO_SURVIVES,FORENSIC_COMPLETE
2019-08,3.3816,18,N/A,FORENSIC_COMPLETE
2019-09,-1.292,16,N/A,FORENSIC_COMPLETE
2019-10,2.6579,16,N/A,FORENSIC_COMPLETE
2019-11,2.4067,19,N/A,FORENSIC_COMPLETE
2019-12,0.9486,19,N/A,FORENSIC_COMPLETE
