trade_id,date,direction,entry_time_ny,historical_entry,sl,tp,be_level,bar_outcome,tick_outcome,first_touch,first_touch_time,mismatch_type_preliminar
2312,2025-01-07,SHORT,2025-01-07T10:00:00-05:00,1.03673,1.03673,1.0330059999999994,1.03673,BE,SL,SL,2025-01-07T10:00:00.317000-05:00,ENTRY_PRICE_FEED_DIFFERENCE
2313,2025-01-09,LONG,2025-01-09T11:42:00-05:00,1.03008,1.0289999999999997,1.0315920000000007,1.03008,FORCED_CLOSE,NONE,NONE,,EXIT_TIME_MISSING_OR_UNCLEAR
2316,2025-01-14,LONG,2025-01-14T07:45:00-05:00,1.0255,1.0255,1.0278240000000003,1.0255,BE,NONE,NONE,,DATA_GAP_OR_LOW_TICK_DENSITY
2320,2025-01-20,SHORT,2025-01-20T07:27:00-05:00,1.03149,1.0327400000000002,1.0297399999999997,1.03149,SL,BE,BE,2025-01-20T08:30:02.967000-05:00,BE_SEQUENCE_DIFFERENCE
2327,2025-01-29,SHORT,2025-01-29T08:06:00-05:00,1.0397,1.0397,1.038356,1.0397,TP,NONE,NONE,,ENTRY_PRICE_FEED_DIFFERENCE
