month,sample,PF,total_R,TP,BE,SL,TIME_EXIT
2017-05,20,1.74,4.42,5,8,6,1
2017-08,15,1.63,3.77,5,3,6,1
2020-04,19,1.82,4.92,6,7,6,0
2024-10,22,3.15,8.62,11,7,4,0
2015-01,16,1.75,3.75,6,3,5,2
2015-10,19,1.18,1.01,4,6,5,4
2015-11,16,0.95,-0.43,0,0,0,16
2025-02,19,2.33,8.0,10,3,6,0
2025-11,17,0.77,-1.77,4,3,6,4
