year_month,entry_time,exit_time,duration_mins,exit_time_ny,r_result
2022-07,2022-07-25 11:57:00+00:00,2022-07-26 00:00:00+00:00,723.0,20:00,0.187713
2022-09,2022-09-14 19:57:00+00:00,2022-09-15 00:00:00+00:00,243.0,20:00,-0.280992
2022-12,2022-12-16 16:21:00+00:00,2022-12-19 01:00:00+00:00,3399.0,20:00,0.073276
2023-01,2023-01-18 17:09:00+00:00,2023-01-19 01:00:00+00:00,471.0,20:00,0.847926
2023-03,2023-03-16 13:51:00+00:00,2023-03-17 00:00:00+00:00,609.0,20:00,-0.068474
2023-04,2023-04-03 14:36:00+00:00,2023-04-04 00:00:00+00:00,564.0,20:00,-0.569536
2023-04,2023-04-12 12:30:00+00:00,2023-04-13 00:00:00+00:00,690.0,20:00,0.166415
2023-06,2023-06-12 13:15:00+00:00,2023-06-13 00:00:00+00:00,645.0,20:00,-0.30137
2023-07,2023-07-03 14:18:00+00:00,2023-07-04 00:00:00+00:00,582.0,20:00,-0.012245
2023-07,2023-07-05 15:42:00+00:00,2023-07-06 00:00:00+00:00,498.0,20:00,1.239316
2023-07,2023-07-14 14:00:00+00:00,2023-07-17 00:00:00+00:00,3480.0,20:00,-0.209821
2023-07,2023-07-26 19:33:00+00:00,2023-07-27 00:00:00+00:00,267.0,20:00,-0.865854
2023-09,2023-09-06 14:00:00+00:00,2023-09-07 00:00:00+00:00,600.0,20:00,-0.543478
2023-09,2023-09-13 12:33:00+00:00,2023-09-14 00:00:00+00:00,687.0,20:00,-0.462532
2023-09,2023-09-21 14:00:00+00:00,2023-09-22 00:00:00+00:00,600.0,20:00,-0.465517
2023-10,2023-10-05 12:03:00+00:00,2023-10-06 00:00:00+00:00,717.0,20:00,0.620339
2023-11,2023-11-29 15:00:00+00:00,2023-11-30 01:00:00+00:00,600.0,20:00,-0.223048
2024-01,2024-01-09 16:48:00+00:00,2024-01-10 01:00:00+00:00,492.0,20:00,-0.10917
2024-01,2024-01-17 15:06:00+00:00,2024-01-18 01:00:00+00:00,594.0,20:00,1.051793
2024-02,2024-02-02 13:30:00+00:00,2024-02-05 01:00:00+00:00,3570.0,20:00,0.89899
2024-02,2024-02-14 15:21:00+00:00,2024-02-15 01:00:00+00:00,579.0,20:00,0.822034
2024-03,2024-03-12 12:03:00+00:00,2024-03-13 00:00:00+00:00,717.0,20:00,-0.272464
2024-04,2024-04-05 12:30:00+00:00,2024-04-08 00:00:00+00:00,3570.0,20:00,-0.498871
2024-05,2024-05-27 14:54:00+00:00,2024-05-28 00:00:00+00:00,546.0,20:00,0.237288
2024-05,2024-05-29 14:21:00+00:00,2024-05-30 00:00:00+00:00,579.0,20:00,1.188776
2024-06,2024-06-07 12:30:00+00:00,2024-06-10 00:00:00+00:00,3570.0,20:00,0.950715
2024-07,2024-07-25 17:27:00+00:00,2024-07-26 00:00:00+00:00,393.0,20:00,0.455285
2024-11,2024-11-11 14:12:00+00:00,2024-11-12 01:00:00+00:00,648.0,20:00,0.027875
2024-11,2024-11-13 15:06:00+00:00,2024-11-14 01:00:00+00:00,594.0,20:00,-0.023121
2024-12,2024-12-11 15:12:00+00:00,2024-12-12 01:00:00+00:00,588.0,20:00,-0.060071
2024-12,2024-12-19 17:24:00+00:00,2024-12-20 01:00:00+00:00,456.0,20:00,-0.584541
2025-01,2025-01-09 16:42:00+00:00,2025-01-10 01:00:00+00:00,498.0,20:00,-0.462963
2025-03,2025-03-17 12:09:00+00:00,2025-03-18 00:00:00+00:00,711.0,20:00,0.663317
2025-04,2025-04-17 14:15:00+00:00,2025-04-18 00:00:00+00:00,585.0,20:00,-0.03125
2025-05,2025-05-14 16:39:00+00:00,2025-05-15 00:00:00+00:00,441.0,20:00,-0.052632
2025-08,2025-08-26 15:30:00+00:00,2025-08-27 00:00:00+00:00,510.0,20:00,0.798611
2025-12,2025-12-17 16:42:00+00:00,2025-12-18 01:00:00+00:00,498.0,20:00,0.293478
2026-01,2026-01-20 13:21:00+00:00,2026-01-21 01:00:00+00:00,699.0,20:00,-0.041237
2026-04,2026-04-01 14:09:00+00:00,2026-04-02 00:00:00+00:00,591.0,20:00,0.683258
2026-04,2026-04-16 16:03:00+00:00,2026-04-17 00:00:00+00:00,477.0,20:00,-0.256944
