file,line_num,content,issue
CHANGELOG.md,74,- Migración desde versión escritorio a `C:\BOT DE TRADING` como fuente oficial,Wrong absolute path
CLOUD_WORKFLOW.md,7,1. **Local (Fuente de Verdad)**: `C:\BOT DE TRADING`,Wrong absolute path
phase34_path_audit.py,37,"# ""C:\BOT DE TRADING""",Wrong absolute path
phase34_path_audit.py,38,"# ""C:\Users\alera\Desktop\BOT DE TRADING"" (without Bot\)",Wrong absolute path
README.md,3,> **Fuente oficial del proyecto:** `C:\BOT DE TRADING`,Wrong absolute path
README.md,14,| **Fuente de verdad** | Solo `C:\BOT DE TRADING`. No trabajar desde copias del escritorio. |,Wrong absolute path
README.md,25,C:\BOT DE TRADING\,Wrong absolute path
legacy_archive_2026\_audit_dest_extras.ps1,5,$SourceRoot = 'C:\Users\alera\Desktop\BOT DE TRADING ANTIGRABITY',Wrong absolute path
legacy_archive_2026\_audit_dest_extras.ps1,6,$DestRoot   = 'C:\Users\alera\Desktop\BOT DE TRADING CURSOR',Wrong absolute path
legacy_archive_2026\_temp_read_report.py,2,"with open(r'c:\Users\alera\Desktop\BOT DE TRADING CURSOR\reports\official_anchors\pipeline_run_report.json', 'r') as f:",Wrong absolute path
research_lab\README.md,42,$env:PYTHONPATH='C:\Users\alera\Desktop\BOT DE TRADING\.pkg',Wrong absolute path
research_lab\README.md,43,$env:MPLCONFIGDIR='C:\Users\alera\Desktop\BOT DE TRADING\.mplconfig',Wrong absolute path
research_lab\README.md,44,$env:TEMP='C:\Users\alera\Desktop\BOT DE TRADING\.tmp',Wrong absolute path
research_lab\README.md,45,$env:TMP='C:\Users\alera\Desktop\BOT DE TRADING\.tmp',Wrong absolute path
results\research_lab_level3_audit\20260411_100137_level3_audit\audit_level3_report.md,6,- repo: `C:\Users\alera\Desktop\BOT DE TRADING`,Wrong absolute path
results\research_lab_level3_audit\20260411_101004_level3_audit\audit_level3_report.md,6,- repo: `C:\Users\alera\Desktop\BOT DE TRADING`,Wrong absolute path
results\research_lab_level3_audit\20260411_101748_level3_audit\audit_level3_report.md,6,- repo: `C:\Users\alera\Desktop\BOT DE TRADING`,Wrong absolute path
ARCHIVE_SUPERSEDED\old_root_documents\ACCIONES_INMEDIATAS.md,7,"cd ""c:\Users\alera\Desktop\BOT DE TRADING ultimo""",Wrong absolute path
ARCHIVE_SUPERSEDED\old_root_documents\ACCIONES_INMEDIATAS.md,8,"$env:PYTHONPATH = ""c:\Users\alera\Desktop\BOT DE TRADING ultimo""",Wrong absolute path
ARCHIVE_SUPERSEDED\old_root_documents\ACCIONES_INMEDIATAS.md,225,"cd ""c:\Users\alera\Desktop\BOT DE TRADING ultimo""",Wrong absolute path
ARCHIVE_SUPERSEDED\old_root_documents\ACCIONES_INMEDIATAS.md,226,"$env:PYTHONPATH = ""c:\Users\alera\Desktop\BOT DE TRADING ultimo""",Wrong absolute path
ARCHIVE_SUPERSEDED\old_root_documents\ACCIONES_INMEDIATAS.md,227,"$env:MPLCONFIGDIR = ""c:\Users\alera\Desktop\BOT DE TRADING ultimo\.mplconfig""",Wrong absolute path
ARCHIVE_SUPERSEDED\old_root_documents\ARCHIVE_MANIFEST.md,7,- `C:\Users\alera\Desktop\BOT DE TRADING_ARCHIVE\2026-04-09_workspace_trim`,Wrong absolute path
ARCHIVE_SUPERSEDED\old_root_documents\LEGACY_CONFINEMENT_REPORT_W2.md,7,**Origen:** `C:\Users\alera\Desktop\BOT DE TRADING CURSOR\`,Wrong absolute path
ARCHIVE_SUPERSEDED\old_root_documents\LEGACY_CONFINEMENT_REPORT_W2.md,8,**Destino:** `C:\Users\alera\Desktop\BOT DE TRADING CURSOR\legacy_archive_2026\`,Wrong absolute path
ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\ACCIONES_INMEDIATAS.md,7,"cd ""c:\Users\alera\Desktop\BOT DE TRADING ultimo""",Wrong absolute path
ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\ACCIONES_INMEDIATAS.md,8,"$env:PYTHONPATH = ""c:\Users\alera\Desktop\BOT DE TRADING ultimo""",Wrong absolute path
ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\ACCIONES_INMEDIATAS.md,225,"cd ""c:\Users\alera\Desktop\BOT DE TRADING ultimo""",Wrong absolute path
ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\ACCIONES_INMEDIATAS.md,226,"$env:PYTHONPATH = ""c:\Users\alera\Desktop\BOT DE TRADING ultimo""",Wrong absolute path
ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\ACCIONES_INMEDIATAS.md,227,"$env:MPLCONFIGDIR = ""c:\Users\alera\Desktop\BOT DE TRADING ultimo\.mplconfig""",Wrong absolute path
ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\ARCHIVE_MANIFEST.md,7,- `C:\Users\alera\Desktop\BOT DE TRADING_ARCHIVE\2026-04-09_workspace_trim`,Wrong absolute path
ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\LEGACY_CONFINEMENT_REPORT_W2.md,7,**Origen:** `C:\Users\alera\Desktop\BOT DE TRADING CURSOR\`,Wrong absolute path
ARCHIVE_SUPERSEDED\temp_artifacts\temp_zip_staging\LEGACY_CONFINEMENT_REPORT_W2.md,8,**Destino:** `C:\Users\alera\Desktop\BOT DE TRADING CURSOR\legacy_archive_2026\`,Wrong absolute path
.venv_fixed\Scripts\activate.bat,11,"set ""VIRTUAL_ENV=C:\Users\alera\Desktop\BOT DE TRADING - Copia\.venv_fixed""",Wrong absolute path
