config_id,phase,entry_time,exit_time,entry_price,exit_price,direction,pnl_net_r,slippage
V49_7_0004,TRAIN,2021-06-14 14:00:00+00:00,2021-06-14 14:13:51.059000+00:00,1.21216,1.21231,SHORT,-1.4667,0.2
V49_7_0005,TRAIN,2021-06-02 15:33:00+00:00,2021-06-02 16:02:46.316000+00:00,1.22126,1.2214999999999998,SHORT,-1.2917,0.2
V49_7_0005,TRAIN,2021-06-10 14:57:00+00:00,2021-06-10 15:04:16.722000+00:00,1.21709,1.2174199999999997,SHORT,-1.2121,0.2
V49_7_0005,TRAIN,2021-06-14 14:00:00+00:00,2021-06-14 14:13:51.567000+00:00,1.21201,1.2123849999999998,SHORT,-1.1867,0.2
V49_7_0005,TRAIN,2021-06-16 15:39:00+00:00,2021-06-16 16:08:47.450000+00:00,1.21165,1.2117,LONG,-0.0784,0.2
V49_7_0005,TRAIN,2021-06-17 14:33:00+00:00,2021-06-17 15:10:12.456000+00:00,1.19279,1.1928400000000001,LONG,-0.0272,0.2
V49_7_0005,TRAIN,2021-06-24 13:45:00+00:00,2021-06-24 14:18:12.737000+00:00,1.19478,1.1947299999999998,SHORT,-0.0392,0.2
V49_7_0005,TRAIN,2021-06-25 15:03:00+00:00,2021-06-25 15:46:04.299000+00:00,1.19496,1.19406,SHORT,2.3056,0.2
V49_7_0006,TRAIN,2021-06-04 12:12:00+00:00,2021-06-04 12:25:19.539000+00:00,1.21168,1.2119499999999999,SHORT,-1.2593,0.2
V49_7_0006,TRAIN,2021-06-04 12:15:00+00:00,2021-06-04 12:22:59.743000+00:00,1.21174,1.2114475000000002,SHORT,1.141,0.2
V49_7_0006,TRAIN,2021-06-07 11:51:00+00:00,2021-06-07 11:58:38.482000+00:00,1.21679,1.2164300000000001,SHORT,1.2083,0.2
V49_7_0006,TRAIN,2021-06-08 12:30:00+00:00,2021-06-08 12:30:20.912000+00:00,1.21836,1.2184199999999998,SHORT,-2.1667,0.2
V49_7_0006,TRAIN,2021-06-09 12:51:00+00:00,2021-06-09 12:51:43.330000+00:00,1.21952,1.2196100000000003,SHORT,-1.7778,0.2
V49_7_0006,TRAIN,2021-06-10 11:48:00+00:00,2021-06-10 19:47:48.761000+00:00,1.21724,1.21732,SHORT,-0.0649,0.2
V49_7_0006,TRAIN,2021-06-14 14:00:00+00:00,2021-06-14 14:13:51.059000+00:00,1.21216,1.21231,SHORT,-1.4667,0.2
V49_7_0006,TRAIN,2021-06-16 11:03:00+00:00,2021-06-16 12:14:01.107000+00:00,1.21174,1.2124375,LONG,1.3495,0.2
V49_7_0006,TRAIN,2021-06-16 11:09:00+00:00,2021-06-16 12:10:31.025000+00:00,1.21165,1.2121449999999996,LONG,1.2879,0.2
V49_7_0006,TRAIN,2021-06-16 11:15:00+00:00,2021-06-16 12:10:31.025000+00:00,1.21163,1.2121249999999997,LONG,1.2879,0.2
V49_7_0006,TRAIN,2021-06-24 13:45:00+00:00,2021-06-24 14:31:37.701000+00:00,1.19479,1.1940475000000002,SHORT,1.3586,0.2
V49_7_0006,TRAIN,2021-06-25 12:24:00+00:00,2021-06-25 12:25:14.019000+00:00,1.19494,1.1951800000000001,SHORT,-1.2917,0.2
V49_7_0006,TRAIN,2021-06-30 11:21:00+00:00,2021-06-30 11:51:41.551000+00:00,1.18846,1.1889325000000002,LONG,1.2778,0.2
V49_7_0007,TRAIN,2021-06-02 15:33:00+00:00,2021-06-02 15:33:52.010000+00:00,1.22137,1.2214699999999998,SHORT,-1.7,0.2
V49_7_0007,TRAIN,2021-06-14 14:00:00+00:00,2021-06-14 14:13:51.465000+00:00,1.21216,1.2123599999999999,SHORT,-1.35,0.2
V49_7_0007,TRAIN,2021-06-14 14:09:00+00:00,2021-06-14 14:13:56.778000+00:00,1.21202,1.21242,SHORT,-1.175,0.2
V49_7_0007,TRAIN,2021-06-16 15:39:00+00:00,2021-06-16 15:41:00.502000+00:00,1.2116,1.2113599999999998,LONG,-1.2917,0.2
V49_7_0007,TRAIN,2021-06-24 13:45:00+00:00,2021-06-24 14:33:20.999000+00:00,1.19479,1.1938000000000002,SHORT,1.3939,0.2
V49_7_0007,TRAIN,2021-06-25 15:03:00+00:00,2021-06-25 15:06:45.410000+00:00,1.19496,1.19424,SHORT,1.3542,0.2
V49_7_0007,TRAIN,2021-06-25 15:51:00+00:00,2021-06-25 16:29:26.930000+00:00,1.19395,1.1933699999999998,LONG,-1.1207,0.2
V49_7_0008,TRAIN,2021-06-01 13:57:00+00:00,2021-06-01 13:59:04.815000+00:00,1.22365,1.2240950000000002,SHORT,-1.1573,0.2
V49_7_0008,TRAIN,2021-06-02 15:00:00+00:00,2021-06-02 15:19:38.537000+00:00,1.22071,1.2216025,LONG,1.3824,0.2
V49_7_0008,TRAIN,2021-06-08 13:54:00+00:00,2021-06-08 13:56:53.553000+00:00,1.21762,1.2183324999999996,LONG,1.3526,0.2
V49_7_0008,TRAIN,2021-06-10 12:21:00+00:00,2021-06-10 12:30:01.172000+00:00,1.21725,1.2166949999999999,SHORT,1.3108,0.2
V49_7_0008,TRAIN,2021-06-15 14:36:00+00:00,2021-06-15 14:43:22.999000+00:00,1.21242,1.2120349999999998,LONG,-1.1818,0.2
V49_7_0008,TRAIN,2021-06-25 12:24:00+00:00,2021-06-25 12:25:41.301000+00:00,1.19494,1.1952800000000001,SHORT,-1.2059,0.2
V49_7_0008,TRAIN,2021-06-28 14:33:00+00:00,2021-06-28 14:46:35.402000+00:00,1.19248,1.1934399999999998,LONG,1.3906,0.2
V49_7_0009,TRAIN,2021-06-04 12:12:00+00:00,2021-06-04 12:28:13.241000+00:00,1.21168,1.21163,SHORT,-0.0556,0.2
V49_7_0009,TRAIN,2021-06-08 12:30:00+00:00,2021-06-08 12:30:39.316000+00:00,1.21836,1.2184399999999997,SHORT,-1.875,0.2
V49_7_0009,TRAIN,2021-06-09 12:51:00+00:00,2021-06-09 12:51:43.533000+00:00,1.21952,1.2196400000000003,SHORT,-1.5833,0.2
V49_7_0009,TRAIN,2021-06-14 14:00:00+00:00,2021-06-14 14:08:06.277000+00:00,1.21216,1.2121099999999998,SHORT,-0.1,0.2
V49_7_0009,TRAIN,2021-06-24 13:45:00+00:00,2021-06-24 14:41:38.358000+00:00,1.19479,1.1931400000000003,SHORT,2.3939,0.2
V49_7_0009,TRAIN,2021-06-25 12:24:00+00:00,2021-06-25 12:25:39.603000+00:00,1.19494,1.1952600000000002,SHORT,-1.2187,0.2
V49_7_0010,TRAIN,2021-06-02 15:33:00+00:00,2021-06-02 15:33:47.190000+00:00,1.22137,1.221445,SHORT,-1.9333,0.2
