config_id,phase,slippage,net_r
V49_7_0005,TRAIN,0.3,-0.0588
V49_7_0005,TRAIN,0.3,2.2778
V49_7_0005,TRAIN,0.5,-1.4167
V49_7_0005,TRAIN,0.5,-1.303
V49_7_0005,TRAIN,0.5,-1.2667
V49_7_0005,TRAIN,0.5,-0.1961
V49_7_0005,TRAIN,0.5,-0.068
V49_7_0005,TRAIN,0.5,-0.098
V49_7_0005,TRAIN,0.5,2.2222
V49_7_0006,TRAIN,0.2,-1.2593
V49_7_0006,TRAIN,0.2,1.141
V49_7_0006,TRAIN,0.2,1.2083
V49_7_0006,TRAIN,0.2,-2.1667
V49_7_0006,TRAIN,0.2,-1.7778
V49_7_0006,TRAIN,0.2,-0.0649
V49_7_0006,TRAIN,0.2,-1.4667
V49_7_0006,TRAIN,0.2,1.3495
V49_7_0006,TRAIN,0.2,1.2879
V49_7_0006,TRAIN,0.2,1.2879
V49_7_0006,TRAIN,0.2,1.3586
V49_7_0006,TRAIN,0.2,-1.2917
V49_7_0006,TRAIN,0.2,1.2778
V49_7_0006,TRAIN,0.3,-1.2963
V49_7_0006,TRAIN,0.3,1.0897
V49_7_0006,TRAIN,0.3,1.1667
V49_7_0006,TRAIN,0.3,-2.3333
V49_7_0006,TRAIN,0.3,-1.8889
V49_7_0006,TRAIN,0.3,-0.0693
V49_7_0006,TRAIN,0.3,-1.5333
V49_7_0006,TRAIN,0.3,1.328
V49_7_0006,TRAIN,0.3,1.2576
V49_7_0006,TRAIN,0.3,1.2576
V49_7_0006,TRAIN,0.3,1.3384
V49_7_0006,TRAIN,0.3,-1.3333
V49_7_0006,TRAIN,0.3,1.246
V49_7_0006,TRAIN,0.5,-1.3704
V49_7_0006,TRAIN,0.5,0.9872
V49_7_0006,TRAIN,0.5,1.0833
V49_7_0006,TRAIN,0.5,-2.6667
V49_7_0006,TRAIN,0.5,-2.1111
V49_7_0006,TRAIN,0.5,-0.0779
V49_7_0006,TRAIN,0.5,-1.6667
V49_7_0006,TRAIN,0.5,1.2849
V49_7_0006,TRAIN,0.5,1.197
V49_7_0006,TRAIN,0.5,1.197
V49_7_0006,TRAIN,0.5,1.298
V49_7_0006,TRAIN,0.5,-1.4167
V49_7_0006,TRAIN,0.5,1.1825
V49_7_0007,TRAIN,0.2,-1.7
V49_7_0007,TRAIN,0.2,-1.35
V49_7_0007,TRAIN,0.2,-1.175
V49_7_0007,TRAIN,0.2,-1.2917
V49_7_0007,TRAIN,0.2,1.3939
V49_7_0007,TRAIN,0.2,1.3542
V49_7_0007,TRAIN,0.2,-1.1207
V49_7_0007,TRAIN,0.3,-1.8
V49_7_0007,TRAIN,0.3,-1.4
V49_7_0007,TRAIN,0.3,-1.2
V49_7_0007,TRAIN,0.3,-1.3333
V49_7_0007,TRAIN,0.3,1.3788
V49_7_0007,TRAIN,0.3,1.3333
V49_7_0007,TRAIN,0.3,-1.1379
V49_7_0007,TRAIN,0.5,-2.0
V49_7_0007,TRAIN,0.5,-1.5
V49_7_0007,TRAIN,0.5,-1.25
V49_7_0007,TRAIN,0.5,-1.4167
V49_7_0007,TRAIN,0.5,1.3485
V49_7_0007,TRAIN,0.5,1.2917
V49_7_0007,TRAIN,0.5,-1.1724
V49_7_0008,TRAIN,0.2,-1.1573
V49_7_0008,TRAIN,0.2,1.3824
V49_7_0008,TRAIN,0.2,1.3526
V49_7_0008,TRAIN,0.2,1.3108
V49_7_0008,TRAIN,0.2,-1.1818
