path,size_mb,tracked_status,should_be_in_git,action
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_11.parquet,32.08,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_12.parquet,34.46,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_01.parquet,37.34,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_02.parquet,52.54,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_03.parquet,47.59,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_04.parquet,32.65,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_05.parquet,32.75,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_06.parquet,37.41,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_07.parquet,69.03,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_08.parquet,120.5,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_09.parquet,141.81,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_10.parquet,92.53,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_11.parquet,40.26,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_12.parquet,34.36,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_01.parquet,38.53,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_02.parquet,30.91,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_03.parquet,34.72,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_04.parquet,23.83,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_05.parquet,30.85,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_06.parquet,30.26,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_07.parquet,34.01,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_08.parquet,31.02,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_09.parquet,36.49,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_10.parquet,33.0,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_11.parquet,29.37,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_12.parquet,29.2,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_01.parquet,42.61,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_02.parquet,42.77,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_03.parquet,37.59,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_04.parquet,34.28,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_05.parquet,42.78,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_06.parquet,38.75,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_07.parquet,39.19,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_08.parquet,37.9,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_09.parquet,31.3,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_10.parquet,40.35,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_11.parquet,39.37,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2018_12.parquet,45.5,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_01.parquet,61.8,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_02.parquet,48.69,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_03.parquet,47.29,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_04.parquet,47.18,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_05.parquet,42.07,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_06.parquet,44.59,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_07.parquet,38.77,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_08.parquet,43.38,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_09.parquet,32.4,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_10.parquet,33.23,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_11.parquet,24.99,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2019_12.parquet,25.08,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_01.parquet,28.88,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_02.parquet,27.2,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_03.parquet,102.42,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_04.parquet,48.2,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_05.parquet,34.23,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_06.parquet,51.49,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_07.parquet,49.85,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_08.parquet,49.38,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_09.parquet,58.37,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_10.parquet,52.02,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_11.parquet,44.55,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2020_12.parquet,36.43,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_01.parquet,34.58,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_02.parquet,28.64,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_03.parquet,33.69,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_04.parquet,21.5,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_05.parquet,23.95,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_06.parquet,23.42,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_07.parquet,24.01,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_08.parquet,16.78,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_09.parquet,21.97,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_10.parquet,20.55,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_11.parquet,25.78,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2021_12.parquet,24.04,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_01.parquet,24.46,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_02.parquet,30.23,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_03.parquet,46.45,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_04.parquet,36.69,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_05.parquet,46.35,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_06.parquet,42.57,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_07.parquet,52.26,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_08.parquet,62.46,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_09.parquet,75.57,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_10.parquet,85.58,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_11.parquet,77.54,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2022_12.parquet,60.45,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_01.parquet,52.92,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_02.parquet,48.0,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2023_03.parquet,58.24,Unknown,NO,Exclude
