trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
281,2016-04-01T12:12:00+00:00,2016-04-01T13:18:13.990000,LONG,SL,-1.0,-1.0106,0.0106
282,2016-04-04T12:00:00+00:00,2016-04-04T12:14:29.810000,LONG,BE_STOP,0.0,-0.1,0.1
284,2016-04-06T12:51:00+00:00,2016-04-06T19:00:00.094000,LONG,TP,1.4,1.378,0.022
285,2016-04-07T11:51:00+00:00,2016-04-07T14:00:52.528000,SHORT,BE_STOP,0.0,-0.0131,0.0131
286,2016-04-08T14:00:00+00:00,2016-04-08T14:23:54.792000,LONG,BE_STOP,0.0,-0.0327,0.0327
287,2016-04-11T11:00:00+00:00,2016-04-11T12:21:59.459000,SHORT,SL,-1.0,-1.0275,0.0275
288,2016-04-12T14:21:00+00:00,2016-04-12T14:45:11.506000,LONG,BE_STOP,0.0,-0.0258,0.0258
289,2016-04-14T13:27:00+00:00,2016-04-14T14:49:11.420000,SHORT,BE_STOP,0.0,-0.0236,0.0236
290,2016-04-15T11:00:00+00:00,2016-04-15T11:09:50.510000,LONG,BE_STOP,0.0,-0.0847,0.0847
291,2016-04-18T12:33:00+00:00,2016-04-18T14:24:07.376000,SHORT,SL,-1.0,-1.0269,0.0269
292,2016-04-19T12:33:00+00:00,2016-04-19T13:18:31.831000,LONG,TP,1.4,1.358,0.042
293,2016-04-20T11:33:00+00:00,2016-04-20T12:02:08.520000,LONG,BE_STOP,0.0,-0.0424,0.0424
294,2016-04-21T13:30:00+00:00,2016-04-21T13:56:25.987000,SHORT,TP,1.4,1.3892,0.0108
295,2016-04-22T11:45:00+00:00,2016-04-22T12:03:45.035000,SHORT,BE_STOP,0.0,-0.0272,0.0272
296,2016-04-25T12:48:00+00:00,2016-04-25T13:10:14.507000,SHORT,BE_STOP,0.0,-0.0352,0.0352
297,2016-04-26T11:27:00+00:00,2016-04-26T12:11:46.044000,SHORT,BE_STOP,0.0,-0.0769,0.0769
298,2016-04-27T17:00:00+00:00,2016-04-27T18:00:32.149000,SHORT,TP,1.4,1.3798,0.0202
299,2016-04-29T11:57:00+00:00,2016-04-29T13:18:26.338000,LONG,TP,1.4,1.379,0.021
