pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,short,2016-01-14 13:35:00-05:00,2016-01-14 13:40:00-05:00,118.1985,118.17029106701031,2000000,477.3165872465669,397.3165872465669,0.5924940212910921,80.0,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2017-11-06 13:30:00-05:00,2017-11-06 13:35:00-05:00,113.8225,113.83693702576139,2007000,254.49803870896147,174.2180387089615,0.4406757440029614,80.28,take_profit,usdjp_session_playbook,core_reversion|mon_tue|core|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,short,2018-02-07 12:20:00-05:00,2018-02-07 12:25:00-05:00,109.5145,109.48519930762086,2011000,538.0766005629431,457.63660056294304,0.6078621835070949,80.44000000000001,take_profit,usdjp_session_playbook,core_reversion|wed_thu|early|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2018-04-02 12:20:00-04:00,2018-04-02 12:25:00-04:00,106.05250000000001,106.0738162232626,2020000,405.91230111923227,325.11230111923226,0.550233470360233,80.80000000000001,take_profit,usdjp_session_playbook,core_reversion|mon_tue|early|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,long,2018-06-07 13:45:00-04:00,2018-06-07 13:55:00-04:00,109.6495,109.67835255373609,2027000,533.3174640304946,452.2374640304946,0.6049599274717287,81.08000000000001,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,short,2019-03-12 13:05:00-04:00,2019-03-12 13:15:00-04:00,111.3475,111.33687316704844,2036000,194.39212133989852,112.95212133989853,0.3498510790552631,81.44000000000001,take_profit,usdjp_session_playbook,core_reversion|mon_tue|core|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2019-06-11 12:25:00-04:00,2019-06-11 12:30:00-04:00,108.52550000000001,108.50133697897603,2038000,-453.8304719179438,-535.3504719179438,-1.3796279476477356,81.52000000000001,stop_loss,usdjp_session_playbook,core_reversion|mon_tue|early|balanced|deep|long,core_reversion,1,1.0,0.550233470360233
USDJPY,short,2019-08-28 13:35:00-04:00,2019-08-28 13:40:00-04:00,105.9575,105.97962288386556,2027000,-423.02403255944915,-504.1040325594492,-1.4150563460707817,81.08000000000001,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|core|calm|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2019-09-02 13:00:00-04:00,2019-09-02 13:05:00-04:00,106.13850000000001,106.15069548009478,2017000,231.70734404499515,151.02734404499515,0.4050640433641704,80.68,take_profit,usdjp_session_playbook,core_reversion|mon_tue|core|balanced|deep|long,core_reversion,1,1.0,0.4406757440029614
USDJPY,long,2020-02-14 13:25:00-05:00,2020-02-14 13:30:00-05:00,109.7315,109.73710398240779,2020000,103.14391310923513,22.343913109235118,0.10665663137017384,80.80000000000001,take_profit,usdjp_session_playbook,core_reversion|fri|core|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,long,2020-04-08 12:20:00-04:00,2020-04-08 12:25:00-04:00,108.7255,108.68891049948532,2021000,-680.3262419284196,-761.1662419284195,-1.2374977592556848,80.84,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|early|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,short,2020-04-22 12:20:00-04:00,2020-04-22 12:35:00-04:00,107.8485,107.83051100603872,2005000,334.55710979120784,254.35710979120782,0.5093868361898043,80.2,take_profit,usdjp_session_playbook,core_reversion|wed_thu|early|balanced|deep|short,core_reversion,1,1.0,0.6078621835070949
USDJPY,long,2020-05-28 12:40:00-04:00,2020-05-28 13:00:00-04:00,107.66250000000001,107.63978928513075,2010000,-424.16406696912793,-504.5640669691279,-1.4067698196212481,80.4,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,1,1.0,0.6049599274717287
USDJPY,short,2021-07-12 12:00:00-04:00,2021-07-12 12:05:00-04:00,110.3565,110.38013908453546,2000000,-428.3723311399349,-508.3723311399349,-1.3929504959079417,80.0,stop_loss,usdjp_session_playbook,core_reversion|mon_tue|early|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,short,2021-08-20 13:55:00-04:00,2021-08-20 14:00:00-04:00,109.8245,109.81989432794472,1990000,83.45052208434147,3.8505220843414634,0.02097396676224703,79.60000000000001,take_profit,usdjp_session_playbook,core_reversion|fri|core|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2021-12-08 13:45:00-05:00,2021-12-08 13:55:00-05:00,113.6575,113.66995462576013,1990000,217.9890873343621,138.38908733436207,0.39634305146606164,79.60000000000001,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,2,0.5,-0.40090494607475974
