trade_id,entry_time,side,outcome,pnl_r_base,commission_r,pnl_r_net
N/A,2016-04-01T12:12:00+00:00,SHORT,TP,1.4,0.0106,1.3894
N/A,2016-04-04T12:00:00+00:00,SHORT,TP,1.4,0.1,1.3
N/A,2016-04-05T11:00:00+00:00,SHORT,SL,-1.0,0.0481,-1.0481
N/A,2016-04-06T12:51:00+00:00,SHORT,SL,-1.0,0.022,-1.022
N/A,2016-04-07T11:51:00+00:00,SHORT,SL,-1.0,0.0131,-1.0131
N/A,2016-04-08T14:00:00+00:00,SHORT,TP,1.4,0.0327,1.3673
N/A,2016-04-11T11:00:00+00:00,SHORT,SL,-1.0,0.0275,-1.0275
N/A,2016-04-12T14:21:00+00:00,SHORT,TP,1.4,0.0258,1.3742
N/A,2016-04-14T13:27:00+00:00,SHORT,SL,-1.0,0.0236,-1.0236
N/A,2016-04-15T11:00:00+00:00,SHORT,TP,1.4,0.0847,1.3153
N/A,2016-04-18T12:33:00+00:00,SHORT,SL,-1.0,0.0269,-1.0269
N/A,2016-04-19T12:33:00+00:00,SHORT,TP,1.4,0.042,1.358
N/A,2016-04-20T11:33:00+00:00,SHORT,TP,1.4,0.0424,1.3576
N/A,2016-04-21T13:30:00+00:00,SHORT,SL,-1.0,0.0108,-1.0108
N/A,2016-04-22T11:45:00+00:00,SHORT,SL,-1.0,0.0272,-1.0272
N/A,2016-04-25T12:48:00+00:00,SHORT,SL,-1.0,0.0352,-1.0352
N/A,2016-04-26T11:27:00+00:00,SHORT,SL,-1.0,0.0769,-1.0769
N/A,2016-04-27T17:00:00+00:00,SHORT,TP,1.4,0.0202,1.3798
N/A,2016-04-29T11:57:00+00:00,SHORT,TP,1.4,0.021,1.379
