trade_id,entry_time,side,outcome,pnl_r_base,commission_r,pnl_r_net
N/A,2016-05-02T12:06:00+00:00,SHORT,TP,1.4,0.0321,1.3679
N/A,2016-05-03T18:03:00+00:00,SHORT,SL,-1.0,0.1087,-1.1087
N/A,2016-05-04T12:54:00+00:00,SHORT,SL,-1.0,0.0118,-1.0118
N/A,2016-05-05T11:12:00+00:00,SHORT,TP,1.4,0.0388,1.3612
N/A,2016-05-06T19:15:00+00:00,SHORT,TP,1.4,0.0455,1.3545
N/A,2016-05-09T18:09:00+00:00,SHORT,TP,1.4,0.0847,1.3153
N/A,2016-05-10T20:06:00+00:00,SHORT,TP,1.4,0.1316,1.2684
N/A,2016-05-11T16:24:00+00:00,SHORT,SL,-1.0,0.0309,-1.0309
N/A,2016-05-12T16:33:00+00:00,SHORT,TP,1.4,0.0431,1.3569
N/A,2016-05-13T13:36:00+00:00,SHORT,SL,-1.0,0.0345,-1.0345
N/A,2016-05-16T11:03:00+00:00,SHORT,TP,1.4,0.0442,1.3558
N/A,2016-05-17T12:30:00+00:00,SHORT,SL,-1.0,0.0246,-1.0246
N/A,2016-05-18T11:03:00+00:00,SHORT,TP,1.4,0.0658,1.3342
N/A,2016-05-19T11:21:00+00:00,SHORT,SL,-1.0,0.0685,-1.0685
N/A,2016-05-20T13:51:00+00:00,SHORT,TP,1.4,0.045,1.355
N/A,2016-05-23T11:06:00+00:00,SHORT,TP,1.4,0.0735,1.3265
N/A,2016-05-24T13:51:00+00:00,SHORT,TP,1.4,0.061,1.339
N/A,2016-05-25T16:57:00+00:00,SHORT,TP,1.4,0.0568,1.3432
N/A,2016-05-26T13:39:00+00:00,SHORT,SL,-1.0,0.0376,-1.0376
N/A,2016-05-27T11:30:00+00:00,SHORT,SL,-1.0,0.0365,-1.0365
N/A,2016-05-30T11:30:00+00:00,SHORT,SL,-1.0,0.0909,-1.0909
N/A,2016-05-31T13:42:00+00:00,SHORT,TP,1.4,0.0435,1.3565
