context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
wed_thu|core|balanced|deep|long,1,1,0,100.0,inf,265.5951208681639,0.5613224203329992
mon_tue|late|balanced|deep|short,1,0,1,0.0,0.0,-17.18956187144927,-0.0396178296450218
