config_id,htf,ltf,liquidity_level,direction_filter,confirmation,entry_type,sl_type,tp_r,be_rule,val_pf_original,val_n_original,reason_selected
CFG_002,H4,M5,ASIA_HIGH_LOW,D3_PREMIUM_DISCOUNT,C1_CHOCH_DISPLACEMENT,E1_STOP_CONFIRMATION,SL1_STRUCTURE_EXTREME,2.5,1.25R,0.8181,54,Rank 1 by MANIPULANTE3_PILOT_RESULTS_VAL.csv PF_net at slippage 0.0; TEST not read for selection.
CFG_005,H1,M3,PDH_PDL,D3_PREMIUM_DISCOUNT,C1_CHOCH_DISPLACEMENT,E1_STOP_CONFIRMATION,SL0_SWEEP_EXTREME,2.5,1.25R,0.4484,33,Rank 2 by MANIPULANTE3_PILOT_RESULTS_VAL.csv PF_net at slippage 0.0; TEST not read for selection.
CFG_001,H1,M3,PDH_PDL,D0_NO_BIAS,C0_CHOCH,E0_MARKET_ON_CLOSE,SL0_SWEEP_EXTREME,2.0,NONE,0.0,61,Rank 3 by MANIPULANTE3_PILOT_RESULTS_VAL.csv PF_net at slippage 0.0; TEST not read for selection.
CFG_003,H1,M5,LONDON_HIGH_LOW,D4_SWEEP_DIRECTION_ONLY,C2_CHOCH_FVG,E2_FVG_50_PERCENT,SL0_SWEEP_EXTREME,2.5,1.5R,0.0,61,Rank 4 by MANIPULANTE3_PILOT_RESULTS_VAL.csv PF_net at slippage 0.0; TEST not read for selection.
CFG_004,H4,M3,PREV_WEEK_HIGH_LOW,D0_NO_BIAS,C0_CHOCH,E0_MARKET_ON_CLOSE,SL1_STRUCTURE_EXTREME,2.0,NONE,0.0,59,Rank 5 by MANIPULANTE3_PILOT_RESULTS_VAL.csv PF_net at slippage 0.0; TEST not read for selection.
