day_of_week,trades_count,win_rate,pf_net_0.2,status
LUNES,52,0.558,1.26,HOMOGENEOUS
MARTES,50,0.540,1.21,HOMOGENEOUS
MIERCOLES,55,0.564,1.28,HOMOGENEOUS
JUEVES,49,0.531,1.18,HOMOGENEOUS
VIERNES,49,0.510,1.10,VOLATILE_TAIL
