config_id,slippage_pips,pf_net_train,pf_net_val,pf_net_test,expectancy_net_test,status
cfg_r1_gauntlet_final,0.0,1.38,1.34,1.18,0.19,OPTIMAL_ZERO
cfg_r1_gauntlet_final,0.2,1.24,1.21,1.12,0.17,ROBUST_BASE
cfg_r1_gauntlet_final,0.3,1.17,1.14,1.03,0.11,STRESSED_PASSED
cfg_r1_gauntlet_final,0.5,1.03,1.00,0.91,0.04,DEGRADED_BREAK_EVEN
