param_test_id,varied_parameter,tested_value,N_trades,total_pnl_r,trade_set_hash,hash_changed_vs_base,status
PT_BASE,none,base,28,-0.003,1b88710b883dbf0619fd34248e79dd26,False,BASE_CONTROL
PT_ENTRY_1,entry_type,NEXT_OPEN,28,-0.003,1b88710b883dbf0619fd34248e79dd26,False,IGNORED
PT_ENTRY_2,entry_type,LIMIT_50_REJECTION,28,2.6046,6247f35843604a4a7014a8136c7f6572,True,HONORED
PT_ENTRY_3,entry_type,MIDPOINT_STOP,27,2.0318,266a3a100b744ef0e738b672dfc9ad72,True,HONORED
PT_SL_1,sl_model,WICK_PLUS_1_0,28,-0.003,1b88710b883dbf0619fd34248e79dd26,False,IGNORED
PT_SL_2,sl_model,WICK_PLUS_1_5,28,4.1651,6d8e54ee9f874950b6bd8a184a3e1d18,True,HONORED
PT_SL_3,sl_model,WICK_PLUS_2_0,28,0.6236,97e94ebff8bada2b5d1fc0af40890ba7,True,HONORED
PT_SL_4,sl_model,MICROSTRUCTURE_PLUS_1_5,28,0.6389,e767c4bc7512c540a359231fbe61d1fa,True,HONORED
PT_TP_1,target,1.25R,28,-0.003,1b88710b883dbf0619fd34248e79dd26,False,IGNORED
PT_TP_2,target,1.5R,28,3.747,39a2939ca2bbdf85698f0be6b95e1b91,True,HONORED
PT_TP_3,target,2.0R,28,8.247,b22093f43a671ec36bcf3859deb73cde,True,HONORED
PT_TP_4,target,2.5R,28,4.747,ca8c3f2f64ea12c849507c37cf4086fa,True,HONORED
PT_BE_1,be_model,none,28,-0.003,1b88710b883dbf0619fd34248e79dd26,False,IGNORED
PT_BE_2,be_model,1.0R,28,1.0863,7ac0169b09fbf9643f37211811ab60ff,True,HONORED
PT_BE_3,be_model,1.25R,28,-0.003,1b88710b883dbf0619fd34248e79dd26,False,IGNORED
PT_BE_4,be_model,1.5R,28,-0.003,1b88710b883dbf0619fd34248e79dd26,False,IGNORED
