pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,long,2020-01-20 13:00:00-05:00,2020-01-20 13:05:00-05:00,110.18350000000001,110.17495395616575,2000000,-155.13017606364087,-235.13017606364087,-2.567071740753788,80.0,stop_loss,usdjp_session_playbook,compression_breakout|mon_tue|core|balanced|mild|long,compression_breakout,0,0.0,0.0
USDJPY,short,2020-01-22 15:25:00-05:00,2020-01-22 15:35:00-05:00,109.8485,109.86311127284938,1995000,-265.2992458134877,-345.09924581348764,-1.7102402620741497,79.80000000000001,stop_loss,usdjp_session_playbook,compression_breakout|wed_thu|late|active|deep|short,compression_breakout,0,0.0,0.0
USDJPY,long,2020-02-05 14:20:00-05:00,2020-02-05 14:25:00-05:00,109.7865,109.79144742902703,1988000,89.57803334969066,10.058033349690646,0.03945140189009745,79.52000000000001,take_profit,usdjp_session_playbook,compression_breakout|wed_thu|core|active|mild|long,compression_breakout,0,0.0,0.0
USDJPY,long,2020-04-10 15:25:00-04:00,2020-04-10 15:30:00-04:00,108.40650000000001,108.40932789352294,1988000,51.84441033588489,-27.675589664115122,-0.14311131814676134,79.52000000000001,take_profit,usdjp_session_playbook,compression_breakout|fri|late|active|mild|long,compression_breakout,0,0.0,0.0
USDJPY,long,2020-05-08 14:15:00-04:00,2020-05-08 14:20:00-04:00,106.6375,106.61137642023932,1988000,-487.01366846619135,-566.5336684661913,-1.3432345855718815,79.52000000000001,stop_loss,usdjp_session_playbook,compression_breakout|fri|core|active|deep|long,compression_breakout,0,0.0,0.0
USDJPY,long,2020-08-27 13:55:00-04:00,2020-08-27 14:00:00-04:00,106.6215,106.58164368857656,1976000,-738.890027608502,-817.930027608502,-1.2139599752244539,79.04,stop_loss,usdjp_session_playbook,compression_breakout|wed_thu|core|balanced|deep|long,compression_breakout,0,0.0,0.0
USDJPY,long,2020-08-28 14:45:00-04:00,2020-08-28 15:00:00-04:00,105.4585,105.42771280992193,1960000,-572.3937371044195,-650.7937371044196,-1.283313362715803,78.4,stop_loss,usdjp_session_playbook,compression_breakout|fri|late|active|mild|long,compression_breakout,1,0.0,-0.14311131814676134
USDJPY,short,2020-09-17 14:10:00-04:00,2020-09-17 14:15:00-04:00,104.7405,104.7331787686536,1947000,136.10003753694613,58.22003753694613,0.17367081311344473,77.88000000000001,take_profit,usdjp_session_playbook,compression_breakout|wed_thu|core|active|mild|short,compression_breakout,0,0.0,0.0
USDJPY,long,2020-09-24 15:05:00-04:00,2020-09-24 15:15:00-04:00,105.43650000000001,105.4131084283983,1948000,-432.2157862398687,-510.13578623986865,-1.388205407379355,77.92,stop_loss,usdjp_session_playbook,compression_breakout|wed_thu|late|balanced|mild|long,compression_breakout,0,0.0,0.0
USDJPY,long,2020-10-16 14:05:00-04:00,2020-10-16 14:10:00-04:00,105.4235,105.40757290936533,1938000,-292.80017501591306,-370.32017501591304,-1.6209780962047955,77.52000000000001,stop_loss,usdjp_session_playbook,compression_breakout|fri|core|balanced|deep|long,compression_breakout,0,0.0,0.0
USDJPY,short,2020-10-19 13:15:00-04:00,2020-10-19 13:25:00-04:00,105.3785,105.3956316286618,1930000,-313.7214361226612,-390.92143612266125,-1.5658525581747302,77.2,stop_loss,usdjp_session_playbook,compression_breakout|mon_tue|core|balanced|deep|short,compression_breakout,0,0.0,0.0
