pb_breakout_compression_atr_max,pb_breakout_trigger_range_atr_min,stop_atr_multiple,pb_take_profit_rr_cap,pb_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
0.35,0.8,0.8,0.6,5,-45.35933715248381,-49.595408898680695,-52.51272891807461,0.06206607577292228,-6.534698222195578,-3.1165871964689744,8.205242043205624,0.0,0.04411953157887503,100000.0,87254.30073938642,-12.745699260613574,13.010266968427912,-3.1403558948176586,0.09495459028396434,62,23,39,0,37.096774193548384,2.9523809523809526,0.14285714285714285,-606.9380600292207,-205.57579452602636,9.596774193548388,5.0,4,6
0.35,0.8,0.8,0.6,3,-49.53450353612397,-57.5256783309861,-57.96529223254716,0.05395193939381057,-6.897410827273365,-3.2706437404668858,8.948680288442192,0.0,0.04350801875113797,100000.0,86566.77930573882,-13.433220694261184,13.695664504504546,-3.3115404133900044,0.07708981222571293,62,21,41,0,33.87096774193548,2.9523809523809526,0.14285714285714285,-639.6771759171958,-216.6648499074373,8.951612903225806,5.0,3,6
0.35,0.6,0.8,0.6,5,-50.14256681858773,-70.38903795523629,-61.829801146294336,0.04311873806786897,-9.31004872529368,-3.748033146147111,11.827973896294163,0.0,0.03713462219376249,100000.0,83265.25963496821,-16.734740365031787,16.987171515297668,-3.649927057003111,0.09482743661283982,74,23,51,0,31.08108108108108,3.217391304347826,0.043478260869565216,-727.5974071752964,-226.1451400679976,10.135135135135135,10.0,3,7
0.35,1.0,0.8,0.6,5,-51.81380031377725,-45.15062873814413,-57.805964230352096,0.080198549260676,-4.651757281567825,-2.594085827858695,6.375079122367781,0.0,0.06869504433274101,100000.0,90892.5336922229,-9.107466307777102,9.382947670643334,-2.5921471303786245,0.1322716598910023,51,19,32,0,37.254901960784316,2.55,0.25,-455.3733153888578,-178.5777707407285,10.392156862745098,10.0,3,7
0.35,0.6,0.8,0.6,3,-53.29350349806413,-74.62463251221209,-66.48783375189501,0.04282753960571069,-9.650658331945845,-3.8341001426383827,12.717903949342565,0.0,0.036878765416340525,100000.0,82928.70463648737,-17.07129536351263,17.32266456499303,-3.757885336303819,0.08271243282923318,74,22,52,0,29.72972972972973,3.217391304347826,0.043478260869565216,-742.230233196202,-230.69318058800874,9.527027027027026,10.0,3,7
0.35,1.0,0.8,0.6,3,-56.85133995969277,-54.810522461372045,-64.12625409695839,0.06754031199759407,-5.021363644621157,-2.7650845464388345,7.13246465300284,0.0,0.054322269063066746,100000.0,90175.57235561183,-9.824427644388168,10.097794356425133,-2.791279174606984,0.10611764320731094,51,17,34,0,33.33333333333333,2.55,0.25,-491.2213822194126,-192.63583616447548,9.607843137254902,10.0,3,7
0.35,1.0,0.6,0.6,3,-76.03861291453849,-78.95038367496367,-86.57416924225085,0.050290792571785876,-5.342772096190323,-3.2529639348516453,7.772492874865143,0.0,0.046538119269867166,100000.0,89550.73287928414,-10.449267120715856,10.644074606875176,-3.2962645664364048,0.03929301306284832,51,12,39,0,23.52941176470588,2.55,0.15,-522.4633560357927,-204.88759060227173,8.03921568627451,5.0,3,7
0.35,1.0,0.6,0.6,5,-76.17254971923695,-78.70882013550926,-86.43551612208277,0.0504154348370108,-5.227224629593168,-3.2069633913434865,7.54180848162617,0.0,0.04674847608589802,100000.0,89774.17909393263,-10.225820906067373,10.421038932182025,-3.242847630173201,0.04071598670845702,51,12,39,0,23.52941176470588,2.55,0.15,-511.29104530336815,-200.50629227583065,8.235294117647058,5.0,3,7
0.35,0.6,0.6,0.6,3,-79.44984253541,-117.30823954693189,-98.5796333570924,0.04306091713090375,-9.36529425509491,-4.285908879904521,12.457567902398004,0.0,0.03716918939806434,100000.0,83280.89298398305,-16.71910701601694,16.90031822313109,-4.164784678066412,0.0430161315030468,74,14,60,0,18.91891891891892,3.217391304347826,0.043478260869565216,-726.9176963485639,-225.9338785948239,8.04054054054054,5.0,2,16
0.35,0.8,0.6,0.6,3,-83.81796820445919,-109.7016427261582,-98.89739375385687,0.04682266012865029,-7.097491201138234,-3.798192818052483,9.616305312843222,0.0,0.041432699648874194,100000.0,86224.2577811084,-13.775742218891596,13.963237558508599,-3.841983492709694,0.025316963163931217,62,10,52,0,16.129032258064516,2.9523809523809526,0.09523809523809523,-655.9877247091238,-222.1893906272839,7.580645161290323,5.0,1,13
0.35,0.8,0.6,0.6,5,-83.98707102816273,-109.48356271639548,-98.77224821707797,0.046932822388081136,-6.984285391299433,-3.75617583069618,9.390304233120958,0.0,0.04161494835001389,100000.0,86440.00777667991,-13.559992223320094,13.74805595507301,-3.7948519718776113,0.026157659366091063,62,10,52,0,16.129032258064516,2.9523809523809526,0.09523809523809523,-645.7139153961961,-218.7095519890342,7.741935483870968,5.0,1,13
0.35,0.6,0.6,0.6,5,-84.13198826527581,-120.0854567328748,-104.35050941074354,0.043071929371136464,-9.352459267110724,-4.26636016648265,12.431873385455532,0.0,0.03718849605831259,100000.0,83306.14918230551,-16.69385081769449,16.875062024808635,-4.143695528605148,0.04282662590021409,74,13,61,0,17.56756756756757,3.217391304347826,0.043478260869565216,-725.8196007693259,-225.59257861749325,8.243243243243244,5.0,2,16
0.35,0.6,0.8,0.4,3,-89.58674991621723,-130.38677172881665,-111.85890316807388,0.043350735295202614,-9.508584132071196,-3.9694791867314283,12.988478034743311,0.0,0.0371152774050596,100000.0,83200.31968148328,-16.799680318516717,16.95685840838001,-3.918045921756764,0.0419081591862524,74,13,61,0,17.56756756756757,3.217391304347826,0.043478260869565216,-730.4208834137709,-227.02270700698284,8.783783783783784,5.0,2,20
