file,line,match,keyword,severity
BOT_V2_DAYTIME_LAB\src\phase26b_preflight.py,10,"root = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase26c_full_pipeline.py,5,"ROOT = r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo""",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase27_full_historical_validation.py,8,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase28_winrate_frequency_study.py,6,"ROOT=Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,27,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,1643,"if any(token in name for token in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,1643,"if any(token in name for token in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,1711,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,1711,"secrets = [n for n in names if any(tok in n.lower() for tok in ["".env"", ""secret"", ""password"", ""token",token,WARNING
BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,21,"ROOT = Path(r""C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo"")",C:\\Users\\,WARNING
BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,948,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",password,WARNING
BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,948,"if any(tok in name for tok in [""secret"", ""password"", ""token"", ""credential"", ""apikey"", ""api_key""]):",token,WARNING
