pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2022-01-04 14:20:00,2022-01-04 14:25:00,long,1.12851,1.1287815848259162,1.1282082390823152,1.1287815848259162,1.0,0.7503918806039488,750.3918806039488,win,take_profit,2022-01-04
EURUSD,2022-02-17 15:25:00,2022-02-17 15:40:00,long,1.13623,1.1362907781068485,1.1359815485889053,1.1362907781068485,1.0,0.061692899816743675,61.692899816743676,win,take_profit,2022-02-17
EURUSD,2022-03-07 13:50:00,2022-03-07 13:50:00,short,1.08847,1.0884440767980854,1.0891414371115054,1.0884440767980854,1.0,-0.02623487791338608,-26.23487791338608,loss,take_profit,2022-03-07
EURUSD,2022-03-24 15:50:00,2022-03-24 15:50:00,short,1.10003,1.0999850275135663,1.1002892031340665,1.0999850275135663,1.0,0.0037506717504045355,3.7506717504045355,win,take_profit,2022-03-24
EURUSD,2022-04-06 14:40:00,2022-04-06 14:40:00,long,1.08955,1.0888608801615745,1.0888608801615745,1.0900395730283983,1.0,-1.0632226879928461,-1063.2226879928462,loss,stop_loss,2022-04-06
EURUSD,2022-04-08 15:20:00,2022-04-08 15:25:00,short,1.0878,1.087693780093193,1.088110867229051,1.087693780093193,1.0,0.20172606735137605,201.72606735137606,win,take_profit,2022-04-08
EURUSD,2022-08-30 14:45:00,2022-08-30 14:45:00,short,1.0023900000000001,1.0023080354913967,1.0028812684783104,1.0023080354913967,1.0,0.08522942628262413,85.22942628262413,win,take_profit,2022-08-30
EURUSD,2022-09-05 14:20:00,2022-09-05 14:25:00,short,0.99307,0.993259936789031,0.993259936789031,0.9928990568898721,1.0,-1.20915683722386,-1209.1568372238598,loss,stop_loss,2022-09-05
EURUSD,2023-01-24 14:25:00,2023-01-24 14:30:00,long,1.088,1.0876555958572791,1.0876555958572791,1.0880359550739784,1.0,-1.12634296346331,-1126.34296346331,loss,stop_loss,2023-01-24
EURUSD,2023-02-09 15:15:00,2023-02-09 15:30:00,long,1.07389,1.0735145376725794,1.0735145376725794,1.0739925,1.0,-1.1143871947876167,-1114.3871947876166,loss,stop_loss,2023-02-09
EURUSD,2023-03-16 14:20:00,2023-03-16 14:20:00,long,1.06043,1.0604840989591398,1.0598253005870975,1.0604840989591398,1.0,0.019316499349943356,19.316499349943356,win,take_profit,2023-03-16
EURUSD,2023-04-20 14:25:00,2023-04-20 14:40:00,short,1.0966500000000001,1.0964171509429632,1.0969087211744855,1.0964171509429632,1.0,0.7304685086648657,730.4685086648657,win,take_profit,2023-04-20
EURUSD,2023-05-30 15:10:00,2023-05-30 15:10:00,short,1.07185,1.0720460126655136,1.0720460126655136,1.0718079999999999,1.0,-1.21875072920355,-1218.75072920355,loss,stop_loss,2023-05-30
EURUSD,2023-06-16 15:15:00,2023-06-16 15:20:00,short,1.09399,1.0941982190824222,1.0941982190824222,1.09380260282582,1.0,-1.2101811354940575,-1210.1811354940576,loss,stop_loss,2023-06-16
EURUSD,2023-08-18 13:35:00,2023-08-18 13:45:00,short,1.0871600000000001,1.0874663789960137,1.0874663789960137,1.086985139856048,1.0,-1.1419565118741255,-1141.9565118741255,loss,stop_loss,2023-08-18
EURUSD,2023-08-18 15:35:00,2023-08-18 15:35:00,long,1.08768,1.087459816901113,1.087459816901113,1.087712,1.0,-1.1975753745104352,-1197.5753745104353,loss,stop_loss,2023-08-18
EURUSD,2023-11-10 15:20:00,2023-11-10 15:20:00,long,1.0681399999999999,1.068155493391377,1.0678853294166222,1.068155493391377,1.0,-0.10693232363861131,-106.93232363861131,loss,take_profit,2023-11-10
EURUSD,2023-11-23 14:35:00,2023-11-23 14:35:00,short,1.09052,1.0906107212241587,1.0906107212241587,1.0904865547373919,1.0,-1.4808423083709563,-1480.8423083709563,loss,stop_loss,2023-11-23
EURUSD,2023-12-29 13:40:00,2023-12-29 13:45:00,long,1.10558,1.105751042119411,1.1051316462758962,1.105751042119411,1.0,0.2828468785129394,282.8468785129394,win,take_profit,2023-12-29
EURUSD,2024-02-23 15:55:00,2024-02-23 15:55:00,long,1.08218,1.0821902466464146,1.0820217084167514,1.0821902466464146,1.0,-0.20873350510483024,-208.73350510483024,loss,take_profit,2024-02-23
EURUSD,2024-06-04 14:05:00,2024-06-04 14:05:00,short,1.08829,1.0882514819196363,1.0885219991456854,1.0882514819196363,1.0,-0.021606753963651273,-21.606753963651272,loss,take_profit,2024-06-04
EURUSD,2024-07-22 15:50:00,2024-07-22 15:50:00,long,1.08879,1.0886736860810884,1.0886736860810884,1.0888309937627025,1.0,-1.3744114891977497,-1374.4114891977497,loss,stop_loss,2024-07-22
EURUSD,2024-09-13 15:25:00,2024-09-13 15:25:00,long,1.10795,1.1080474134336515,1.1077807829159623,1.1080474134336515,1.0,0.31375956222711604,313.759562227116,win,take_profit,2024-09-13
