block_id,symbol,event_time,event_name,impact_tier,buffer_pre_min,buffer_post_min,signals_blocked
nb_exp_001,EURUSD,2020-01-03 08:30:00,US Nonfarm Payrolls,TIER_1,30,30,2
nb_exp_002,EURUSD,2020-01-14 08:30:00,US CPI YoY,TIER_1,30,30,1
