config_id,slippage_pips,pf_net_train,pf_net_val,pf_net_test,expectancy_net_test,status
cfg_r1_expansion_opt1,0.0,1.38,1.34,1.17,0.18,OPTIMAL_ZERO
cfg_r1_expansion_opt1,0.1,1.31,1.27,1.14,0.17,ROBUST
cfg_r1_expansion_opt1,0.2,1.24,1.21,1.11,0.16,ROBUST_BASE
cfg_r1_expansion_opt1,0.3,1.17,1.14,1.05,0.12,STRESSED_OK
cfg_r1_expansion_opt1,0.4,1.10,1.07,0.98,0.08,DEGRADED
cfg_r1_expansion_opt1,0.5,1.03,1.00,0.92,0.05,EDGE_DESTROYED
